Name_lang,FemaleName_lang,Description_lang,ID,ClassID,OrderIndex,PetTalentType,Role,Flags,SpellIconFileID,PrimaryStatPriority,AnimReplacements,MasterySpellID[0],MasterySpellID[1]
Arcane,Arcane,"Manipulate the arcane, destroying enemies with overwhelming power.",62,8,0,0,2,3,135932,0,0,76547,0
Fire,Fire,Ignite enemies with balls of fire and combustive flames.,63,8,1,0,2,3,135810,0,0,12846,0
Frost,Frost,Freezes enemies in their tracks and shatters them with Frost magic.,64,8,2,0,2,3,135846,0,0,76613,0
Holy,Holy,Invokes the power of the Light to protect and to heal.,65,2,0,0,1,3,135920,1,0,76669,0
Protection,Protection,Uses Holy magic to shield $Ghimself:herself; and defend allies from attackers.,66,2,1,0,0,4,236264,5,0,76671,0
Retribution,Retribution,A righteous crusader who judges and punishes opponents with weapons and Holy magic.,70,2,2,0,2,4,135873,5,0,76672,0
Arms,Arms,"A battle-hardened master of two-handed weapons, using mobility and overpowering attacks to strike $Ghis:her; opponents down.",71,1,0,0,2,4,132355,5,0,76838,0
Fury,Fury,"A furious berserker wielding a weapon in each hand, unleashing a flurry of attacks to carve $Ghis:her; opponents to pieces.",72,1,1,0,2,20,132347,5,0,76856,0
Protection,Protection,A stalwart protector who uses a shield to safeguard $Ghimself:herself; and $Ghis:her; allies.,73,1,2,0,0,4,132341,5,0,76857,0
Ferocity,Ferocity,,74,0,0,0,2,0,236159,0,0,0,0
Cunning,Cunning,,79,0,2,2,2,0,132150,0,0,0,0
Tenacity,Tenacity,,81,0,1,1,0,0,132121,0,0,0,0
Balance,Balance,"Can take on the form of a powerful Moonkin, balancing the power of Arcane and Nature magic to destroy enemies at a distance.",102,11,0,0,2,11,136096,0,0,77492,0
Feral,Feral,Takes on the form of a great cat to deal damage with bleeds and bites.,103,11,1,0,2,4,132115,3,0,77493,0
Guardian,Guardian,Takes on the form of a mighty bear to absorb damage and protect allies.,104,11,2,0,0,4,132276,3,0,77494,0
Restoration,Restoration,Uses heal-over-time Nature spells to keep allies alive.,105,11,3,0,1,3,136041,0,0,77495,0
Blood,Blood,A dark guardian who manipulates and corrupts life energy to sustain $Ghimself:herself; in the face of an enemy onslaught.,250,6,0,0,0,4,135770,5,0,77513,0
Frost,Frost,"An icy harbinger of doom, channeling runic power and delivering vicious weapon strikes.",251,6,1,0,2,4,135773,5,0,77514,0
Unholy,Unholy,"A master of death and decay, spreading infection and controlling undead minions to do $Ghis:her; bidding.",252,6,2,0,2,4,135775,5,0,77515,0
Beast Mastery,Beast Mastery,A master of the wild who can tame a wide variety of beasts to assist $Ghim:her; in combat.,253,3,0,0,2,2,461112,2,0,76657,0
Marksmanship,Marksmanship,A master archer or sharpshooter who excels in bringing down enemies from afar.,254,3,1,0,2,2,236179,2,0,76659,0
Survival,Survival,"A rugged tracker who favors using animal venom, explosives and traps as deadly weapons.",255,3,2,0,2,2,461113,2,0,76658,0
Discipline,Discipline,Uses magic to shield allies from taking damage as well as heal their wounds.,256,5,0,0,1,3,135940,0,0,77484,0
Holy,Holy,A versatile healer who can reverse damage on individuals or groups and even heal from beyond the grave.,257,5,1,0,1,3,237542,0,0,77485,0
Shadow,Shadow,"Uses sinister Shadow magic, especially damage-over-time spells, to eradicate enemies.",258,5,2,0,2,11,136207,0,0,77486,0
Assassination,Assassination,A deadly master of poisons who dispatches victims with vicious dagger strikes.,259,4,0,0,2,4,132292,3,0,76803,0
Combat,Combat,A swashbuckler who uses agility and guile to stand toe-to-toe with enemies.,260,4,1,0,2,4,132090,3,0,76806,0
Subtlety,Subtlety,A dark stalker who leaps from the shadows to ambush $Ghis:her; unsuspecting prey.,261,4,2,0,2,4,132320,3,0,76808,0
Elemental,Elemental,A spellcaster who harnesses the destructive forces of nature and the elements.,262,7,0,0,2,11,136048,0,0,77222,0
Enhancement,Enhancement,A totemic warrior who strikes foes with weapons imbued with elemental power.,263,7,1,0,2,4,237581,2,0,77223,0
Restoration,Restoration,A healer who calls upon ancestral spirits and the cleansing power of water to mend allies' wounds.,264,7,2,0,1,3,136052,0,0,77226,0
Affliction,Affliction,A master of shadow magic who specializes in drains and damage-over-time spells.,265,9,0,0,2,3,136145,0,0,77215,0
Demonology,Demonology,A master of demonic magic who transforms into a demon and compels demonic powers to aid him.,266,9,1,0,2,3,136172,0,0,77219,0
Destruction,Destruction,A master of chaos who calls down fire to burn and demolish enemies.,267,9,2,0,2,3,136186,0,0,77220,0
Brewmaster,Brewmaster,A sturdy brawler who uses liquid fortification and unpredictable movement to avoid damage and protect allies.,268,10,0,0,0,4,608951,2,0,117906,0
Windwalker,Windwalker,A martial artist without peer who pummels foes with hands and fists.,269,10,2,0,2,4,608953,2,0,1247280,0
Mistweaver,Mistweaver,A healer who mixes traditional herbal medicine with Pandaren martial arts.,270,10,1,0,1,5,608952,0,0,117907,0
Initial,Initial,,1444,7,4,0,2,3,136048,0,0,0,0
Initial,Initial,,1446,1,4,0,2,68,132355,5,0,0,0
Initial,Initial,,1447,11,4,0,2,331,136096,0,0,0,0
Initial,Initial,,1448,3,4,0,2,66,461112,2,0,0,0
Initial,Initial,,1449,8,4,0,2,67,135846,0,0,0,0
Initial,Initial,,1450,10,4,0,2,68,608953,2,0,0,0
Initial,Initial,,1451,2,4,0,2,68,135873,5,0,0,0
Initial,Initial,,1452,5,4,0,1,67,135940,0,0,0,0
Initial,Initial,,1453,4,4,0,2,68,236270,3,0,0,0
Initial,Initial,,1454,9,4,0,2,67,136145,0,0,0,0
Initial,Initial,,1455,6,4,0,2,68,135775,5,0,0,0
