NameGlobalStringTag,CostGlobalStringTag,ID,PowerTypeEnum,MinPower,MaxBasePower,CenterPower,DefaultPower,DisplayModifier,RegenInterruptTimeMS,RegenPeace,RegenCombat,Flags
MANA,MANA_COST,1,0,0,0,0,0,1,0,0,0,12480
RAGE,RAGE_COST,2,1,0,1000,0,0,10,0,-12.5,0,8192
FOCUS,FOCUS_COST,3,2,0,100,0,100,1,0,5,5,25728
ENERGY,ENERGY_COST,4,3,0,100,0,100,1,0,10,10,29824
COMBO_POINTS,COMBO_POINTS_COST,5,4,0,5,0,0,1,10000,-0.1,0,186
RUNES,RUNE_COST,6,5,0,6,0,6,1,0,0.1,0.1,9728
RUNIC_POWER,RUNIC_POWER_COST,7,6,0,1000,0,0,10,0,-12.5,0,0
SOUL_SHARDS,SOUL_SHARDS_COST,8,7,0,50,30,30,10,12000,-5,0,12371
LUNAR_POWER,LUNAR_POWER_COST,9,8,0,1000,0,0,10,20000,-40,0,34
HOLY_POWER,HOLY_POWER_COST,10,9,0,3,0,0,1,10000,-0.1,0,27
ALTERNATE,ALTERNATE_COST,12,10,0,0,0,0,1,0,0,0,128
MAELSTROM,MAELSTROM_COST,13,11,0,100,0,0,1,0,-1,0,48
CHI,CHI_COST,14,12,0,4,0,0,1,10000,-0.1,0,26
ARCANE_CHARGES,ARCANE_CHARGES_COST,16,16,0,4,0,0,1,30000,-0.2,0,58
FURY,FURY_COST,17,17,0,100,0,0,1,10000,-1,0,0
PAIN,PAIN_COST,18,18,0,1000,0,0,10,10000,60,60,0
INSANITY,INSANITY_COST,19,13,0,10000,0,0,100,30000,-100,0,546
ESSENCE,ESSENCE_COST,130,19,0,5,0,5,1,0,0.2,0.2,22016
ALTERNATE,ALTERNATE_COST,142,25,0,0,0,0,1,0,0,0,128
ALTERNATE,ALTERNATE_COST,143,23,0,100,0,0,1,0,0,0,128
ALTERNATE,ALTERNATE_COST,144,24,0,100,0,0,1,0,0,0,128
