ID,ChrRacesID,ChrModelID,Sex,AllowedTransmogSlots
43,22,43,0,0
44,22,44,1,0
45,23,45,0,0
46,23,46,1,0
182,1,1,0,0
183,1,2,1,0
184,2,3,0,0
185,2,4,1,0
186,3,5,0,0
187,3,6,1,0
188,4,7,0,0
189,4,8,1,0
190,5,9,0,0
191,5,10,1,0
192,6,11,0,0
193,6,12,1,0
194,7,13,0,0
195,7,14,1,0
196,8,15,0,0
197,8,16,1,0
198,9,17,0,0
199,9,18,1,0
200,10,19,0,0
201,10,20,1,0
202,11,21,0,0
203,11,22,1,0
204,12,23,0,0
205,12,24,1,0
206,13,25,0,0
207,13,26,1,0
208,14,27,0,0
209,14,28,1,0
210,15,29,0,0
211,15,30,1,0
212,18,35,0,0
213,18,36,1,0
246,19,37,0,0
247,19,38,1,0
248,20,39,0,0
249,20,40,1,0
250,21,41,0,0
251,21,42,1,0
252,16,31,0,0
253,16,32,1,0
254,17,33,0,0
255,17,34,1,0
285,24,47,0,0
286,24,48,1,0
287,25,47,0,0
288,25,48,1,0
289,26,47,0,0
290,26,48,1,0
