Name_lang,Description_lang,Objective_lang,ID,BattlemasterListID,LFGDungeonsID,RewardsQuestID
Test Brawl,Test brawl description.,,1,0,2041,0
Brawl: Southshore vs. Tarren Mill,Team Deathmatch,"- Slay enemy players to earn points
- Honorable kills increase your rank
- Higher ranked kills reward more points",2,789,0,0
Brawl: Temple of Hotmogu,Orbs of Power,"- Haste increased
- Movement speed increased
- Respawn times decreased",3,858,0,0
Brawl: Gravity Lapse,Elevated Domination,"- Gravity changes at regular intervals
- The flag carrier will be weighed down
- Everyone else will be launched up",4,859,0,0
Brawl: Arathi Blizzard,Frosty Domination,"- Capture objectives
- Visbility is reduced
- Terrain has frozen",5,847,0,0
Brawl: Deepwind Dunk,Dunkball,"- Pick up balls at the mines
- Bring balls to the enemy base
- Shoot or dunk the balls",6,860,0,0
Brawl: Eye of the Horn,Goat Domination,"- Enjoy your goat mount!
- Your goat has a knockback
- Distance strengthens the knockback",7,862,0,0
Brawl: Packed House,15v15 Arena,"- Team Deathmatch
- 15 players per team
- Last team standing wins",8,866,0,0
Brawl: Warsong Scramble,Capture the Flags,"- Each team has multiple flags
- Capture only requires one flag
- Grab random buff cubes",9,861,0,0
Brawl: Shado-Pan Showdown,5v5 Arena,"- 5v5 Arena
- Defeat opposing team's Mogu boss to win
- Collect the summoned chest for a power-up",10,853,0,0
Brawl: Deep Six,6v6 Battlegrounds,"- 6 players per team
- New game modes",11,879,0,0
Brawl: Deep Six  - The Battle for Gilneas,6v6 Battlegrounds,"- 6 players per team
- New game modes",12,885,0,0
Brawl: Deep Six  - Warsong Gulch,6v6 Battlegrounds,"- 6 players per team
- New game modes",13,886,0,0
Brawl: Deep Six  - Silvershard Mines,6v6 Battlegrounds,"- 6 players per team
- New game modes",14,883,0,0
Brawl: Deep Six  - Temple of Kotmogu,6v6 Battlegrounds,"- 6 players per team
- New game modes",15,884,0,0
Brawl: Deep Six  - Eye of the Storm,6v6 Battlegrounds,"- 6 players per team
- New game modes",16,882,0,0
Brawl: Cooking: Impossible,Gathering Race,"- Gather ingredients around the farm, and bring them back to your cook
- First to gather enough ingredients wins!
- Defeat the opposing faction's Thumper to gain their allegiance",17,887,0,0
Brawl: Stocked House,Team Deathmatch,"- Team Deathmatch
- 3 players per team
- First two deaths on each team are instantly resurrected",18,0,0,0
Seething Shore,Collect Azerite,Large quantities of Azerite has been discovered off the coast of Feralas in a forgotten unexplored island now known as the Seething Shore.,19,894,0,0
Brawl: Classic Ashran,Endless Epic Battleground,"- The battle in Ashran never ends!
- Slay the opposing faction's leader and dominate events for rewards
- Gather Artifact Fragments from creatures and turn-in for buffs for your faction",120,1021,0,0
Brawl: Comp Stomp,Domination,"- Capture objectives
- Slay enemies
- Win",121,0,1966,0
Wintergrasp,Defend or Assault Wintergrasp,"- Defend the Fortress as Defense
- Destroy the final wall in the Fortress as Offense",122,1030,0,0
Brawl: Teeming Island,10 v 10 Island,We're going to need a bigger boat...,123,0,2025,0
Korrak's Revenge,WoW Anniversary Event,"- Experience the Alterac Valley of old
- Slay Korrak the Bloodrager and push back the troll invasion!
- Complete quests and objectives for rewards",124,1033,0,63953
Deepwind Gorge,Capture the objectives,"- Capture and hold the objectives
- Earn 1500 resources",125,1039,0,0
Brawl: Korrak's Revenge,Classic Alterac Valley,"- Experience the Alterac Valley of old
- Slay Korrak the Bloodrager and push back the troll invasion!
- Complete quests and objectives for rewards",126,1033,0,0
Solo Shuffle,Shuffled team arena matches,"- 6 players play 6 rounds of 3v3 Arena
- Teams are shuffled at the end of each round
- Solo player queues only",130,1065,0,0
Solo Shuffle: Enigma Arena,Shuffled team arena matches,"- 6 players play 6 rounds of 3v3 Arena
- Teams are shuffled at the end of each round
- Solo player queues only",132,0,0,0
Brawl: Deepwind Detonation,Seek & Destroy,"-Pick up bomb at Market
-Escort bomb to bases
-Plant and defend",133,1075,0,0
Brawl: Battleground Blitz,Battleground Blitz,"- Solo queue except Healers can duo queue
- 8 players per team
- Battle alongside members of both factions
- Global mount speed increased
- Faster game modes",136,1101,0,0
Brawl: Battleground Blitz - Warsong Gulch,Battleground Blitz,,137,1102,0,0
Brawl: Battleground Blitz - Twin Peaks,Battleground Blitz,,138,1103,0,0
Brawl: Battleground Blitz - Battle for Gilneas,Battleground Blitz,,139,1104,0,0
Brawl: Battleground Blitz - Silvershard Mines,Battleground Blitz,,140,1105,0,0
Brawl: Battleground Blitz - Temple of Kotmogu,Battleground Blitz,,141,1106,0,0
Brawl: Battleground Blitz - Deepwind Gorge,Battleground Blitz,,142,1109,0,0
Brawl: Battleground Blitz - Arathi Basin,Battleground Blitz,,143,1108,0,0
Brawl: Battleground Blitz - Eye of the Storm,Battleground Blitz,,144,1107,0,0
Brawl: The Heat of Battle,3v3 Arena,"- 3v3 Arena
- Damaging enemy players to low health increases your team's damage dealt
- Healers receive a Canteen that can be used in combat to restore mana",145,1111,0,0
Brawl: Battleground Blitz - Deephaul Ravine,Battleground Blitz,,147,1118,0,0
Deephaul Ravine,Deephaul Ravine,"- Capture and hold the mine carts
- Capture the center gem
- Earn 1500 resources",148,1110,0,0
