Name_lang,Description_lang,ID,DisplayIndex,UiCameraID,AltHandUICameraID,ForgeAttachmentOverride,Flags,ArtifactID
Crystal Form,,1,1,72,0,-1,0,1
Spiky Form,,2,2,0,0,-1,0,1
Ashbringer,,3,1,62,0,-1,0,2
Greatsword of the Righteous,,4,2,65,0,-1,0,2
Burning Reprisal,,5,3,63,0,-1,0,2
Fallen Hope,,6,4,66,0,-1,0,2
Shattered Reckoning,,7,5,64,0,-1,0,2
Twinblades of the Deceiver,,8,1,72,161,-1,0,3
Hand of the Illidari,,9,2,76,928,-1,0,3
Darkenblade,,10,3,75,930,-1,0,3
Flamereaper,,11,5,77,931,-1,0,3
Demon's Touch,,12,4,73,929,-1,0,3
"G'Hanir, the Mother Tree",,13,1,61,0,-1,0,13
Eldertree,,14,2,68,0,-1,0,13
Crystalline Awakening,,15,3,60,0,-1,0,13
Deadwood Keeper,,16,4,69,0,-1,0,13
Warden's Crown,,17,6,70,0,-1,1,13
Scale of the Earth-Warder,,20,1,183,71,-1,0,11
Fangs of the Devourer,,21,1,168,169,-1,0,17
Demon's Embrace,,22,3,172,173,-1,0,17
Shadowblade,,23,2,170,171,-1,0,17
Bloodfeaster,,24,4,174,175,-1,0,17
Iceshear,,25,5,176,177,-1,0,17
Maw of the Damned,,32,1,163,0,-1,0,15
Apocalypse,,33,1,162,0,-1,0,16
Blades of the Fallen Prince,,39,1,166,167,-1,0,12
The Fist of Ra-den,,40,1,191,192,-1,0,40
"Thas'dorah, Legacy of the Windrunners",,41,1,719,0,-1,0,55
The Kingslayers,,42,1,391,392,-1,0,43
"Sharas'dal, Scepter of Tides",,43,1,195,958,-1,0,42
Doomhammer,,44,1,189,0,-1,0,41
"T'uure, Beacon of the Naaru",,45,1,194,0,-1,0,45
Blade of the Black Empire,,46,1,570,952,-1,0,47
The Silver Hand,,47,1,198,199,-1,0,48
Claws of Ursoc,,48,1,188,638,-1,0,57
Scepter of Sargeras,,49,1,357,0,-1,0,38
"Sheilun, Staff of the Mists",,50,1,196,0,-1,0,51
Felo'melorn,,51,1,190,935,-1,0,54
Talonclaw,,52,1,197,0,-1,0,34
Aluneth,,53,1,178,0,-1,0,4
Guardian Spire,,54,2,179,0,-1,0,4
Magna Unleashed,,55,3,181,0,-1,0,4
Aegwynn's Fall,,56,4,180,0,-1,0,4
Eternal Magus,,57,5,182,0,-1,0,4
Deathguard's Gaze,,58,4,184,965,-1,0,11
Last Breath of the Worldbreaker,,59,6,185,966,-1,1,11
Unbroken Stand,,60,3,186,967,-1,0,11
Arm of the Fallen King,,61,2,187,968,-1,0,11
Ebonchill,,64,1,344,0,-1,0,53
Guardian's Focus,,65,2,346,0,-1,0,53
Archmagi's Will,,66,4,351,0,-1,0,53
Frostfire Remembrance,,67,6,353,0,-1,1,53
Flow of the First,,68,3,354,0,-1,0,53
Hubris of the Dark Titan,,69,2,359,0,-1,0,38
Echo of Gul'dan,,70,3,360,0,-1,0,38
Shadow of the Destroyer,,71,4,362,0,-1,0,38
Legionterror,,72,6,361,0,-1,1,38
Ranger-General's Guard,,73,4,933,0,-1,0,55
Phoenix's Rebirth,,74,3,722,0,-1,0,55
A Sister's Bond,,75,2,720,0,-1,0,55
Ravenguard,,76,6,721,0,-1,1,55
Cursed Hand,,77,2,858,863,-1,0,43
Heartstopper,,78,3,860,864,-1,0,43
Magekiller's Edge,,79,4,859,865,-1,0,43
Bonebreaker,,80,6,861,866,-1,1,43
Scythe of Elune,,81,1,631,0,-1,0,59
Embrace of the Old Gods,,82,2,773,957,-1,0,47
The Fallen Blade,,83,3,774,953,-1,0,47
Vision of Madness,,84,4,776,955,-1,0,47
Twisted Reflection,,85,5,775,954,-1,0,47
Stonepaw,,86,2,188,638,-1,0,57
Avatar of Ursol,,87,3,188,638,-1,0,57
Fallen to Nightmare,,88,4,188,638,-1,0,57
Guardian of the Glade,,89,6,188,638,-1,1,57
Aldrachi Warblades,,90,1,753,759,-1,0,60
Fangs of Ashamane,,91,1,636,637,-1,0,58
Bloodmaw,,92,2,701,0,-1,0,15
Bonejaw,,93,5,702,0,-1,0,15
Soulreaper,,94,3,704,0,-1,0,15
Executioner,,95,4,703,0,-1,0,15
Frostmourne's Legacy,,96,2,662,663,-1,0,12
Soul Collector,,97,5,664,665,-1,0,12
Gravekeeper,,98,4,700,699,-1,0,12
Sindragosa's Fury,,99,3,667,666,-1,0,12
Faminebearer,,100,4,658,0,-1,0,16
Herald of Pestilence,,101,3,661,0,-1,0,16
Unholy War,,102,2,659,0,-1,0,16
Bone Reaper,,103,6,660,0,-1,1,16
Illidari Crest,,104,2,901,902,-1,0,60
Boneterror,,105,4,903,904,-1,0,60
Dreadlord's Bite,,106,3,905,906,-1,0,60
Iron Warden,,107,6,907,908,-1,1,60
Envoy of Goldrinn,,108,2,831,0,-1,0,59
Lunarcall,,109,3,832,0,-1,0,59
Sunkeeper's Reach,,110,6,834,0,-1,1,59
Nightmare's Affliction,,111,4,833,0,-1,0,59
Nature's Fury,,112,2,636,637,-1,0,58
Primal Stalker,,113,3,636,637,-1,0,58
Ghost of the Pridemother,,114,5,636,637,-1,0,58
Incarnation of Nightmare,,115,4,636,637,-1,0,58
Titanstrike,,116,1,754,0,-1,0,56
Eaglewatch,,117,2,789,0,-1,0,56
Boarshot Cannon,,118,4,791,0,-1,0,56
Elekk's Thunder,,119,3,790,0,-1,0,56
Serpentbite,,120,5,792,0,-1,0,56
Eagle's Rebirth,,121,2,715,0,-1,0,34
Spear of the Alpha,,122,3,717,0,-1,0,34
Serpentstrike,,123,4,716,0,-1,0,34
Bear's Fortitude,,124,6,718,0,-1,1,34
Pride of the Sunstriders,,125,2,838,937,-1,0,54
Phoenix's Rebirth,,126,3,840,940,-1,0,54
Lavaborn Edge,,127,4,839,939,-1,0,54
Timebender's Blade,,128,5,841,941,-1,0,54
"Fu Zan, the Wanderer's Companion",,129,1,710,0,-1,0,52
The Monkey King's Burden,,130,2,711,0,-1,0,52
Dragonfire's Grasp,,131,4,713,0,-1,0,52
Heart of the Ox,,132,3,712,0,-1,0,52
Bearer of the Mist,,133,5,714,0,-1,0,52
Toll of the Deep Mist,,134,2,845,0,-1,0,51
Breath of the Undying Serpent,,135,6,846,0,-1,1,51
Sha's Torment,,136,4,847,0,-1,0,51
Chi-Ji's Spirit,,137,3,848,0,-1,0,51
Fists of the Heavens,,138,1,629,630,-1,0,50
Al'Akir's Touch,,139,2,691,692,-1,0,50
Spirit's Reach,,140,3,694,693,-1,0,50
Shado-Pan Legacy,,141,4,696,695,-1,0,50
Stormfist,,142,6,698,697,-1,1,50
