ID,PlayerConditionID,SkySceneID
1,80795,239
2,80796,209
3,81025,237
4,80796,236
6,80795,242
7,80796,259
8,80795,260
9,80796,13
10,80795,292
11,83941,245
12,5703,343
21,5703,352
23,5793,356
44,0,390
129,97700,297
130,97700,298
131,97700,308
132,97700,307
165,0,1017
203,142001,1087
208,144665,1143
209,144664,1144
210,144760,1142
211,144665,1146
212,142001,1147
213,142001,1148
214,144664,1149
215,142001,1150
216,142001,1152
217,144665,1153
226,148678,1171
227,148784,1172
228,148785,1173
229,148786,1174
230,142001,1154
231,150385,1182
232,150389,1183
