ID,Duration,MaxDuration,DurationPerResource
1,10000,10000,0
2,30000,30000,0
3,60000,60000,0
4,120000,120000,0
5,300000,300000,0
6,600000,600000,0
7,5000,5000,0
8,15000,15000,0
9,30000,30000,0
10,60000,60000,0
11,10000,15000,0
12,30000,40000,0
13,60000,80000,0
14,120000,180000,0
15,300000,420000,0
16,230000,230000,0
17,5000,7000,0
18,20000,20000,0
19,30000,40000,0
20,60000,80000,0
21,-1,-1,0
22,45000,45000,0
23,90000,90000,0
24,160000,160000,0
25,180000,180000,0
26,240000,240000,0
27,3000,3000,0
28,5000,5000,0
29,12000,12000,0
30,1800000,1800000,0
31,8000,8000,0
32,6000,6000,0
35,4000,4000,0
36,1000,1000,0
37,1,1,0
38,11000,11000,0
39,2000,2000,0
40,1200000,1200000,0
41,360000,360000,0
42,3600000,3600000,0
62,75000,75000,0
63,25000,25000,0
64,40000,40000,0
65,1500,1500,0
66,2500,2500,0
85,18000,18000,0
86,21000,21000,0
105,9000,9000,0
106,24000,24000,0
125,35000,35000,0
145,2700000,2700000,0
165,7000,7000,0
185,6000,21000,3000
186,2000,22000,4000
187,0,5000,1000
205,27000,27000,0
225,604800000,604800000,0
245,50000,50000,0
265,55000,55000,0
285,1000,6000,1000
305,14000,14000,0
325,36000,36000,0
326,44000,44000,0
327,500,500,0
328,250,250,0
347,900000,900000,0
367,7200000,7200000,0
387,16000,16000,0
407,100,100,0
427,600000,600000,0
447,2000,6000,1000
467,22000,22000,0
468,26000,26000,0
487,1700,1700,0
527,14400000,14400000,0
547,5400000,5400000,0
548,10800000,10800000,0
549,3800,3800,0
552,210000,210000,0
553,6000,16000,2000
576,43200000,43200000,0
587,31000,31000,0
629,86400000,86400000,0
685,50,50,0
839,5200,5200,0
1073,13000,13000,0
1152,1296000000,1296000000,0
1247,5000,30000,5000
1248,10000,30000,4000
1270,3500,3500,0
1273,9000,34000,5000
1276,0,30000,6000
1286,2000,12000,2000
1314,259200000,259200000,0
1318,24500,24500,0
1320,100000,100000,0
1338,5500,0,0
1345,4500,4500,0
1347,4000,14000,2000
1374,17000,17000,0
1382,7500,7500,0
1396,2940000,2940000,0
1400,840000,840000,0
1402,330000,330000,0
1414,1260000,1260000,0
1450,480000,0,0
1474,750,750,0
1476,600,600,0
1477,42000,42000,0
1478,63000,63000,0
1479,84000,84000,0
1480,3800,3800,0
1481,121200000,12120000,0
1485,1860000,1860000,0
1491,420000,420000,0
1492,1020000,1020000,0
1493,150,150,0
1494,350,350,0
1495,385,385,0
1503,5000,8000,0
1522,180000,180000,0
1566,19000,19000,0
1567,20500,20500,0
1568,18500,18500,0
1578,604800000,604800000,0
1579,561600000,561600000,0
1581,480000,480000,0
1586,125000,125000,0
1598,21600000,21600000,0
1602,85000,85000,0
1604,30000,30000,0
1606,90000,90000,0
1607,110000,110000,0
