FullName_lang,ShortName_lang,ID,GroupFinderCategoryID,OrderIndex,GroupFinderActivityGrpID,Flags,MinGearLevelSuggestion,PlayerConditionID,MapID,DifficultyID,AreaID,ExpansionID,MaxPlayers,DisplayType,Field_11_0_7_57361_013,Field_11_0_7_57361_014,Field_11_0_7_57361_015,Field_11_0_7_57361_016,OverrideContentTuningID,MapChallengeModeID
Wailing Caverns,Wailing Caverns,796,2,0,285,66,0,0,43,1,0,0,5,1,0,0,15,24,0,0
Scholomance,Scholomance,797,2,0,285,66,0,0,289,1,0,0,5,1,0,0,58,60,0,0
Ragefire Chasm,Ragefire Chasm,798,2,0,285,66,0,923,389,1,0,0,5,1,0,0,13,18,0,0
Deadmines,Deadmines,799,2,0,285,66,0,0,36,1,0,0,5,1,0,0,17,26,0,0
Shadowfang Keep,Shadowfang Keep,800,2,0,285,66,0,0,33,1,0,0,5,1,0,0,20,30,0,0
Blackfathom Deeps,Blackfathom Deeps,801,2,0,285,66,0,116976,48,1,0,0,5,1,0,0,24,32,0,0
Stormwind Stockades,Stormwind Stockades,802,2,0,285,66,0,924,34,1,0,0,5,1,0,0,24,32,0,0
Gnomeregan,Gnomeregan,803,2,0,285,66,0,116976,90,1,0,0,5,1,0,0,29,38,0,0
Razorfen Kraul,Razorfen Kraul,804,2,0,285,66,0,0,47,1,0,0,5,1,0,0,29,38,0,0
Scarlet Monastery - Graveyard,Scarlet Graveyard,805,2,0,285,66,0,0,189,1,0,0,5,1,0,0,30,38,0,0
Razorfen Downs,Razorfen Downs,806,2,0,285,66,0,0,129,1,0,0,5,1,0,0,37,46,0,0
Uldaman,Uldaman,807,2,0,285,66,0,0,70,1,0,0,5,1,0,0,41,51,0,0
Zul'Farrak,Zul'Farrak,808,2,0,285,66,0,0,209,1,0,0,5,1,0,0,44,54,0,0
Maraudon,Maraudon,809,2,0,285,66,0,67461,349,1,0,0,5,1,0,0,46,55,0,0
Sunken Temple,Sunken Temple,810,2,0,285,66,0,116976,109,1,0,0,5,1,0,0,50,60,0,0
Blackrock Depths,Blackrock Depths,811,2,0,285,66,0,0,230,1,0,0,5,1,0,0,52,60,0,0
Lower Blackrock Spire,Lower Blackrock Spire,812,2,0,285,66,0,0,229,1,0,0,5,1,0,0,55,60,0,0
Dire Maul (East),Dire Maul (East),813,2,0,285,66,0,67462,429,1,0,0,5,1,0,0,54,60,0,0
