ID,DifficultyID,MaxLevel,MaxPassiveAuraLevel,BaseLevel,SpellLevel,SpellID
97395,0,0,0,20,20,543
97396,0,22,0,0,9,134
97397,0,0,0,0,1,10074
97398,0,0,0,0,1,459
97400,0,0,0,10,10,633
97401,0,1,0,0,1,428
97402,0,9,0,4,4,172
97404,0,37,0,0,24,184
97405,0,6,0,1,1,403
97406,0,21,0,12,12,597
97407,0,19,0,14,14,598
97409,0,1,0,0,1,14
97410,0,13,0,8,8,139
97411,0,1,0,0,1,446
97412,0,1,0,0,1,447
97413,0,0,0,0,1,450
97414,0,0,0,0,30,556
97415,0,0,0,12,12,136
97416,0,0,0,0,30,512
97417,0,0,0,0,30,513
97419,0,0,0,6,6,498
97421,0,0,0,0,22,126
97422,0,0,0,36,36,128
97423,0,0,0,12,12,130
97424,0,0,0,0,26,132
97425,0,0,0,10,10,71
97426,0,0,0,0,30,228
97427,0,0,0,0,28,246
97429,0,0,0,0,1,581
97430,0,6,0,1,1,585
97431,0,18,0,8,8,586
97432,0,15,0,6,6,587
97433,0,0,0,0,10,113
97434,0,0,0,1,1,688
97435,0,20,0,10,10,99
97436,0,25,0,20,20,10
97437,0,0,0,0,20,11
97438,0,0,0,6,6,467
97439,0,0,0,0,1,468
97442,0,8,0,4,4,116
97443,0,1,0,0,1,34
97444,0,1,0,0,1,35
97446,0,0,0,0,45,45
97447,0,0,0,0,1,47
97448,0,1,0,0,1,50
97450,0,0,0,0,60,553
97452,0,0,0,0,20,555
97453,0,5,0,1,1,133
97454,0,10,0,6,6,143
97455,0,16,0,12,12,145
97456,0,0,0,0,0,433
97458,0,0,0,0,28,546
97459,0,17,0,12,12,547
97460,0,19,0,14,14,548
97462,0,1,0,0,1,27
97463,0,0,0,0,12,101
97464,0,0,0,0,1,108
97465,0,28,0,18,18,491
97466,0,0,0,0,1,578
97467,0,0,0,0,1,579
97468,0,0,0,0,1,580
97471,0,5,0,1,1,635
97473,0,0,0,34,34,642
97477,0,0,0,0,60,89
97479,0,9,0,1,1,465
97481,0,0,0,4,4,589
97482,0,0,0,0,1,96
97483,0,0,0,4,4,53
97485,0,0,0,0,7,2374
97486,0,0,0,60,60,603
97488,0,0,0,0,1,110
97489,0,0,0,0,1,111
97490,0,17,0,12,12,678
97491,0,11,0,6,6,679
97493,0,19,0,14,14,689
97495,0,11,0,6,6,591
97496,0,0,0,0,18,509
97497,0,1,0,0,1,443
97498,0,1,0,0,1,444
97499,0,1,0,0,1,445
97500,0,0,0,8,8,339
97501,0,46,0,40,40,724
97502,0,39,0,30,30,596
97503,0,0,0,0,26,550
97504,0,0,0,32,32,552
97505,0,0,0,10,10,594
97507,0,0,0,0,1,31817
97508,0,0,0,0,1,458
97509,0,1,0,0,1,16
97510,0,0,0,1,1,75
97512,0,0,0,0,1,77
97513,0,0,0,0,15,437
97514,0,0,0,30,30,408
97515,0,0,0,0,7,409
97516,0,0,0,0,17,410
97517,0,0,0,0,30,411
97518,0,37,0,32,32,421
97519,0,11,0,6,6,639
97521,0,0,0,16,16,526
97522,0,0,0,0,6,457
97524,0,0,0,1,1,78
97525,0,0,0,0,1,81
97526,0,0,0,4,4,100
97527,0,1,0,0,1,33
97528,0,0,0,20,20,453
97529,0,28,0,0,15,455
97530,0,15,0,10,10,122
97531,0,0,0,0,17,507
97532,0,0,0,16,16,285
97533,0,0,0,0,12,302
97534,0,0,0,0,25,438
97535,0,0,0,0,5,439
97536,0,0,0,0,15,440
97537,0,0,0,0,25,441
97538,0,1,0,0,1,442
97539,0,1,0,0,1,31
97540,0,0,0,30,30,602
97541,0,43,0,0,99,606
97542,0,0,0,4,4,921
97544,0,23,0,18,18,913
97545,0,0,0,0,10,1139
97546,0,0,0,10,10,982
97547,0,27,0,22,22,984
97548,0,0,0,0,1,470
97549,0,0,0,0,1,471
97550,0,0,0,0,1,472
97551,0,0,0,18,18,527
97552,0,32,0,14,14,528
97554,0,0,0,18,18,693
97555,0,0,0,8,8,853
97556,0,0,0,0,34,855
97557,0,0,0,10,10,696
97561,0,0,0,0,50,56
97562,0,0,0,0,12,65
97563,0,0,0,0,99,66
97564,0,31,0,0,25,1096
97566,0,0,0,10,10,697
97567,0,0,0,20,20,698
97568,0,26,0,0,20,711
97569,0,0,0,16,16,779
97571,0,0,0,0,1,823
97573,0,27,0,22,22,1026
97575,0,11,0,6,6,695
97576,0,0,0,0,1,818
97577,0,0,0,0,5,819
97578,0,0,0,0,5,820
97579,0,0,0,24,24,780
97580,0,30,0,20,20,781
97581,0,45,0,40,40,930
97582,0,5,0,1,1,686
97583,0,15,0,10,10,707
97584,0,35,0,30,30,709
97585,0,19,0,14,14,647
97588,0,0,0,0,1,824
97589,0,0,0,0,1,825
97590,0,0,0,0,1,826
97591,0,0,0,0,35,877
97592,0,0,0,0,5,821
97593,0,0,0,0,1,822
97594,0,0,0,0,14,833
97595,0,0,0,30,30,783
97596,0,0,0,1,1,687
97597,0,0,0,0,8,700
97598,0,7,0,0,1,701
97600,0,0,0,4,4,772
97601,0,25,0,20,20,915
97603,0,43,0,0,30,932
97604,0,25,0,20,20,1094
97605,0,0,0,0,1,668
97606,0,0,0,0,1,669
97607,0,0,0,0,1,671
97608,0,0,0,0,1,830
97609,0,0,0,0,1,831
97610,0,0,0,0,25,806
97611,0,0,0,0,1,813
97612,0,0,0,0,1,814
97613,0,35,0,30,30,1042
97614,0,0,0,0,31,867
97615,0,0,0,0,10,745
97616,0,13,0,0,0,746
97618,0,0,0,14,14,703
97620,0,0,0,0,5,430
97621,0,0,0,0,15,431
97622,0,0,0,0,25,432
97623,0,0,0,0,0,435
97624,0,0,0,0,1,5683
97625,0,13,0,8,8,529
97627,0,0,0,14,14,782
97628,0,31,0,26,26,943
97629,0,0,0,14,14,1002
97630,0,35,0,30,30,1004
97631,0,0,0,12,12,604
97632,0,42,0,30,30,605
97633,0,18,0,14,14,837
97634,0,0,0,0,22,839
97638,0,0,0,0,35,1138
97639,0,0,0,12,12,72
97642,0,26,0,0,20,424
97643,0,1,0,0,1,427
97644,0,0,0,26,26,1714
97646,0,0,0,20,20,845
97647,0,40,0,30,30,857
97649,0,0,0,0,1,815
97650,0,33,0,28,28,680
97653,0,15,0,0,9,690
97654,0,0,0,30,30,691
97655,0,0,0,0,1,692
97656,0,0,0,12,12,588
97657,0,0,0,18,18,1008
97658,0,15,0,0,10,1009
97659,0,0,0,0,38,1010
97660,0,0,0,0,1,816
97661,0,0,0,0,1,817
97663,0,0,0,0,1,672
97664,0,9,0,0,1,673
97665,0,0,0,0,10,883
97666,0,5,0,1,1,348
97667,0,0,0,10,10,355
97669,0,0,0,12,12,370
97670,0,0,0,1,1,379
97671,0,0,0,18,18,676
97672,0,25,0,20,20,879
97673,0,0,0,0,62,26025
97674,0,0,0,20,20,712
97675,0,16,0,0,10,834
97676,0,0,0,0,8,748
97677,0,0,0,0,5,749
97678,0,0,0,0,28,758
97679,0,0,0,28,28,759
97681,0,0,0,28,28,871
97682,0,0,0,8,8,284
97685,0,0,0,0,1,751
97686,0,0,0,0,25,752
97687,0,0,0,0,13,753
97688,0,0,0,12,12,755
97691,0,0,0,0,30,863
97692,0,31,0,26,26,865
97693,0,0,0,0,20,27891
97694,0,0,0,0,8,474
97695,0,21,0,16,16,1430
97701,0,29,0,24,24,939
97702,0,0,0,0,1,827
97703,0,0,0,0,1,828
97704,0,0,0,0,1,829
97705,0,0,0,18,18,475
97706,0,0,0,18,18,1044
97707,0,0,0,24,24,905
97709,0,0,0,8,8,324
97710,0,5,0,1,1,331
97711,0,11,0,6,6,332
97717,0,0,0,0,40,835
97720,0,0,0,50,50,1020
97721,0,12,0,8,8,205
97722,0,70,0,0,1,271
97723,0,0,0,12,12,1108
97725,0,0,0,0,30,1112
97728,0,30,0,20,20,1735
97729,0,0,0,24,24,1075
97731,0,0,0,36,36,3034
97733,0,60,0,50,50,1122
97734,0,0,0,0,40,1933
97736,0,0,0,30,30,1760
97737,0,35,0,0,25,1754
97740,0,45,0,40,40,2060
97741,0,25,0,20,20,2061
97746,0,25,0,20,20,1866
97751,0,0,0,32,32,1671
97752,0,0,0,52,52,1672
97753,0,16,0,6,6,1454
97754,0,0,0,0,22,1825
97756,0,0,0,0,40,27546
97761,0,0,0,0,0,1885
97762,0,0,0,0,0,1886
97763,0,0,0,0,0,1887
97764,0,0,0,4,4,1978
97766,0,0,0,30,30,1842
97769,0,36,0,26,26,1456
97770,0,0,0,12,12,1766
97771,0,0,0,0,20,27555
97772,0,0,0,6,6,1776
97773,0,0,0,0,99,1826
97776,0,0,0,26,26,1767
97777,0,0,0,42,42,1768
97778,0,0,0,58,58,1769
97779,0,22,0,12,12,1244
97789,0,0,0,0,8,1940
97791,0,0,0,10,10,2687
97792,0,0,0,0,1,2689
97795,0,0,0,26,26,1161
97796,0,0,0,0,24,1462
97797,0,0,0,0,6,1516
97798,0,0,0,0,1,1522
97799,0,0,0,0,1,1523
97801,0,9,0,4,4,774
97802,0,0,0,0,40,895
97803,0,0,0,0,28,27565
97804,0,0,0,20,20,1082
97805,0,23,0,0,17,1084
97810,0,0,0,26,26,3045
97811,0,0,0,0,1,898
97812,0,37,0,32,32,959
97814,0,0,0,0,32,2797
97817,0,46,0,36,36,2791
97818,0,25,0,20,20,1088
97819,0,0,0,0,25,2599
97820,0,0,0,0,28,1698
97821,0,0,0,0,39,1050
97822,0,10,0,1,1,1459
97823,0,24,0,14,14,1460
97824,0,0,0,0,7,2564
97825,0,0,0,0,20,1090
97831,0,0,0,20,20,768
97838,0,0,0,0,1,1524
97839,0,22,0,0,9,3052
97840,0,37,0,0,24,3053
97841,0,0,0,34,34,769
97842,0,0,0,18,18,770
97843,0,0,0,0,25,849
97848,0,0,0,0,15,2832
97849,0,0,0,1,1,2098
97850,0,0,0,0,35,2600
97851,0,45,0,0,37,2601
97852,0,0,0,0,99,885
97853,0,0,0,18,18,1014
97854,0,0,0,0,25,2833
97857,0,0,0,18,18,1062
97858,0,45,0,40,40,1064
97859,0,0,0,0,5,2597
97867,0,0,0,12,12,2589
97868,0,0,0,20,20,2590
97869,0,0,0,0,35,2023
97870,0,0,0,0,35,2024
97871,0,0,0,16,16,2565
97872,0,0,0,0,0,1894
97874,0,0,0,28,28,3029
97875,0,45,0,0,35,1755
97876,0,55,0,0,45,1756
97879,0,19,0,14,14,1449
97880,0,0,0,16,16,1495
97881,0,0,0,36,36,1680
97882,0,0,0,6,6,1757
97883,0,0,0,14,14,1758
97884,0,1,0,0,1,1936
97885,0,0,0,28,28,2591
97886,0,26,0,16,16,1455
97887,0,0,0,22,22,1725
97888,0,0,0,0,26,1731
97890,0,0,0,0,35,1732
97891,0,23,0,0,0,1159
97892,0,24,0,14,14,1160
97893,0,0,0,36,36,988
97894,0,31,0,22,22,990
97895,0,59,0,40,40,1786
97897,0,0,0,0,1,1302
97898,0,0,0,10,10,7386
97899,0,79,0,60,60,1787
97900,0,27,0,22,22,699
97901,0,36,0,30,30,740
97902,0,0,0,0,1,742
97904,0,0,0,0,20,744
97905,0,19,0,1,1,1784
97906,0,10,0,0,4,1794
97907,0,0,0,0,20,7389
97908,0,0,0,16,16,1066
97912,0,0,0,38,38,2819
97914,0,59,0,50,50,974
97915,0,39,0,20,20,1785
97916,0,40,0,10,10,1178
97917,0,0,0,34,34,1706
97918,0,0,0,30,30,976
97919,0,0,0,0,38,1116
97920,0,10,0,1,1,1243
97921,0,0,0,0,1,1114
97923,0,0,0,0,31,1708
97924,0,0,0,0,39,1709
97926,0,0,0,44,44,775
97927,0,0,0,20,20,1499
97932,0,0,0,0,1,2585
97933,0,0,0,0,1,1525
97934,0,0,0,0,1,1526
97935,0,0,0,0,32,1536
97939,0,0,0,0,99,776
97940,0,0,0,30,30,778
97941,0,0,0,34,34,2094
97942,0,0,0,6,6,1130
97943,0,0,0,0,0,1131
97944,0,0,0,0,1,1132
97945,0,0,0,0,35,1133
97946,0,0,0,0,1,1527
97947,0,0,0,0,20,1528
97952,0,0,0,0,1,1179
97953,0,0,0,0,15,1181
97955,0,34,0,24,24,1245
97956,0,0,0,30,30,1086
97963,0,18,0,0,12,1795
97964,0,26,0,0,20,1796
97965,0,34,0,0,28,1797
97967,0,0,0,0,60,1056
97968,0,0,0,20,20,1463
97969,0,42,0,0,36,1798
97970,0,33,0,28,28,1106
97971,0,38,0,28,28,1461
97972,0,0,0,0,0,1127
97974,0,15,0,10,10,1058
97975,0,0,0,30,30,1464
97978,0,0,0,18,18,1777
97980,0,0,0,0,21,1450
97981,0,0,0,0,29,1451
97982,0,0,0,0,35,1452
97983,0,0,0,0,40,1453
97984,0,0,0,0,40,2602
97987,0,0,0,10,10,2006
97988,0,0,0,1,1,1494
97990,0,0,0,0,45,1135
97991,0,0,0,0,20,1663
97992,0,0,0,0,28,1664
97993,0,0,0,0,36,1665
97995,0,0,0,24,24,1608
97997,0,0,0,0,14,1513
97998,0,0,0,10,10,1022
97999,0,0,0,26,26,1038
98000,0,43,0,30,30,1098
98001,0,0,0,0,40,968
