ID,RankIndex,SpellID,ItemBonusListID,AuraPointsOverride,ArtifactPowerID
2301,0,179497,0,0,1
2302,0,166305,477,0,2
2303,0,0,707,0,3
2304,0,0,3569,0,4
2305,0,166733,0,0,5
2306,0,179499,0,0,6
2307,0,199420,0,0,7
2308,0,0,3569,0,8
2309,0,178162,0,0,9
2310,1,179226,0,0,9
2311,2,179227,0,0,9
2312,0,166734,0,0,10
2313,0,166738,0,0,11
2316,0,205273,0,0,40
2317,0,186941,0,8,41
2320,0,184759,0,6,42
2323,0,184843,0,4,43
2326,0,186934,0,15,44
2329,0,184778,0,-10000,47
2332,0,186773,0,0,49
2333,0,186927,0,8,50
2336,0,185368,0,2,51
2339,0,186944,0,-10,52
2342,0,186945,0,2000,53
2345,0,186788,0,0,54
2380,0,187304,0,3,72
2383,0,188006,0,0,73
2384,0,187258,0,2,74
2387,0,187321,0,1,75
2393,0,187313,0,3,77
2396,0,187310,0,0,78
2399,0,187287,0,2,79
2402,0,215463,0,0,80
2405,0,187276,0,1,81
2408,0,187264,0,1000,82
2411,0,187301,0,1,83
2414,0,210716,0,20,84
2420,0,210725,0,0,86
2421,0,187680,0,0,87
2422,0,203524,0,0,91
2423,0,189059,0,0,92
2424,0,203576,0,0,93
2425,0,188778,0,0,94
2426,0,188635,0,2,95
2429,0,216272,0,6,96
2432,0,188651,0,0,97
2433,0,188683,0,10,98
2436,0,203230,0,-2000,99
2439,0,203225,0,2,100
2442,0,203227,0,100,101
2445,0,188639,0,5,102
2448,0,203261,0,0,103
2449,0,188672,0,0,104
2450,0,188632,0,1,105
2453,0,188644,0,10,106
2457,0,189080,0,1,108
2460,0,189086,0,6,109
2463,0,189092,0,10,110
2466,0,189097,0,30,111
2472,0,189144,0,12,113
2475,0,189147,0,15,114
2478,0,189154,0,100,115
2484,0,189164,0,5,117
2490,0,189179,0,0,119
2491,0,189180,0,0,120
2493,0,189186,0,0,122
2494,0,189185,0,0,123
2495,0,190778,0,0,124
2496,0,208253,0,0,125
2497,0,189849,0,0,126
2498,0,189857,0,0,127
2499,0,189870,0,0,128
2500,0,189787,0,0,129
2501,0,189772,0,2,130
2504,0,189768,0,8,131
2507,0,189760,0,5,132
2510,0,189757,0,-2,133
