ID,Name_lang,Description_lang,IconFileDataID,PetTypeEnum,Cooldown,BattlePetVisualID,Flags
7,Alexander's Hand,Rushes at the enemy to inflict damage.,132109,2,0,0,0
70,Heal Back Line Test,"Heal's back line 50, but has a 2-round cooldown",135915,0,2,0,0
71,Damage Test,,135807,6,0,0,0
72,MultiEffect Test,,135817,0,0,0,0
73,Multi Turn Test,"Bites the target, dealing [StandardDamage(1,1)] damage immediately, then [StandardDamage(2,1)] damage on the next round.

Lasts [numTurns()] |4round:rounds;.",0,1,0,0,0
74,MultiEffect and Multi Turn Test,,0,1,0,0,0
77,Strong Trap,Attempt to catch a pet below 35% health.  Capture chance is increased by 25% each time you fail.,646380,0,0,0,6
78,Apply Timed Dot Test,,0,0,5,0,0
79,Aura Damage10 Test,,0,-1,0,0,0
80,Apply Bomb Test,,0,0,0,0,0
81,Aura Bomb 75 Test,,0,-1,0,0,0
82,Apply Dot until cancel test,,0,6,0,0,0
83,Apply Pad Aura Test,,460858,2,0,0,0
84,PadAuraTest,,132325,-1,0,104,0
85,Apply Stun test,,135891,1,0,0,0
86,Stun Aura Test,asdfasdfasdf,135906,-1,0,103,0
87,Apply Swap Lock,,460694,9,0,0,0
88,Swap Lock Aura,,132089,-1,0,0,0
97,Stun Shot,,0,6,0,0,0
110,Bite,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Bites at the enemy, dealing [StandardDamage(1,1)] [School()] damage.",132127,7,0,0,0
111,Punch,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Bashes the enemy, dealing [StandardDamage(1,1)] [School()] damage.",132298,0,0,0,0
112,Peck,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Pokes at the enemy with a sharp beak, dealing [StandardDamage(1,1)] [School()] damage.",133707,2,0,0,0
113,Burn,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Blasts the enemy with fire, dealing [StandardDamage(1,1)] Elemental damage.",132839,6,0,0,0
114,Beam,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Blasts the enemy with a beam of arcane power, dealing [StandardDamage(1,1)] [petTypeName(abilityPetType())] damage.",135189,5,0,0,0
115,Breath,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Overwhelms the enemy with draconic breath, dealing [StandardDamage(1,1)] [School()] damage.",135807,1,0,0,0
116,Zap,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Launches an electrical bolt at the target, dealing [StandardDamage(1,1)] [School()] damage.",136099,9,0,0,0
117,Infected Claw,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Tears at the enemy with plagued claws, dealing [StandardDamage(1,1)] [School()] damage.",237390,3,0,0,0
118,Water Jet,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Blasts the enemy with a spray of water, dealing [StandardDamage(1,1)] [petTypeName(abilityPetType())] damage.",463570,8,0,0,0
119,Scratch,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Scratches the enemy, dealing [StandardDamage(1,1)] [School()] damage.",611425,4,0,0,0
120,Howling Blast,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage to the enemy. 

Deals [StandardDamage(1,4)] additional damage to the enemy team if the target is |cFF0070DDChilled|r.",135833,6,3,0,0
121,Death Coil,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] Undead damage and heals the user for [points(1,3)]% of the damage dealt.",136145,3,0,0,0
122,Tail Sweep,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage.

Deals [StandardDamage(1,3)] additional damage if the user is slower than the enemy.",237407,1,0,0,0
123,Healing Wave,"Restores [StandardDamage(1,1)] health to the user.",136042,8,3,0,2
124,Rampage,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Goes on rampage, dealing [StandardDamage(1,1)] [School()] damage.

Rampage continues for [numTurns()] |4round:rounds.",132176,7,3,0,0
125,Stun Test 2.0,TEST: Patty Mac Stun,460857,3,0,0,0
131,Stun Aura Test 2.0,,0,-1,0,3,0
132,Custom Scripted Effect Test,,132090,0,0,0,0
