ID,Name_lang,OrderIndex
285,Dungeons,20
286,Burning Crusade Dungeons,15
287,Lich King Dungeons,6
288,Burning Crusade Heroic Dungeons,10
289,Lich King Heroic Dungeons,5
290,Classic Raids,20
291,Burning Crusade Raids,10
292,Lich King Normal Raids (10),4
293,Lich King Normal Raids (25),6
294,Holiday Dungeons,0
295,Eastern Kingdoms,15
296,Kalimdor,10
297,Outland,5
298,Northrend,0
299,Arenas,0
300,Battlegrounds,1
301,World PvP,2
311,Titan Rune Alpha,4
312,Titan Rune Beta,3
314,Titan Rune Gamma,3
320,Lich King Heroic Raids (10),5
321,Lich King Heroic Raids (25),7
364,Cataclysm Normal Raids (10),0
365,Cataclysm Heroic Raids (10),1
366,Cataclysm Normal Raids (25),2
367,Cataclysm Heroic Raids (25),3
368,Cataclysm Dungeons,2
369,Cataclysm Heroic Dungeons,1
376,Elemental Rune Inferno,0
379,Elemental Rune Twilight,0
