ID,QuestFeedbackEffectID,WhenToDisplay,TargetType,TargetAsset,PlayerConditionID,CombatConditionID
505,11,1,0,0,0,0
569,13,1,0,0,0,0
2099,104,1,0,0,0,0
2100,105,1,0,0,0,0
2101,106,1,0,0,0,0
23878,13,17,0,0,0,0
24047,13,16,0,0,0,0
26221,1130,4,2,442722,0,0
27841,1130,4,2,478440,0,0
27899,1178,1,2,0,0,0
27924,1130,4,2,494640,0,0
28157,104,16,2,500336,0,0
30373,1130,4,2,566779,0,0
31002,104,16,2,581822,146365,0
31501,1306,1,0,0,0,0
31716,1482,4,2,0,0,0
31765,1319,1,2,0,149981,0
31769,1319,1,2,0,149982,0
32159,1437,1,2,0,151473,0
32160,1437,1,2,0,151475,0
32286,71,1,1,1126,0,0
32287,71,1,1,1125,0,0
32288,71,1,1,1127,0,0
32289,71,1,1,1689,0,0
32339,13,17,0,0,152422,0
32478,107,1,1,3928,0,0
32906,1380,1,1,254588,0,0
33387,156,16,2,409289,0,0
33399,71,1,0,0,0,0
33650,13,1,0,0,142920,0
33652,13,1,0,0,157952,0
33655,71,1,1,5398,0,0
33656,71,1,2,582187,0,0
33657,71,1,2,649374,0,0
33658,71,1,1,254567,0,0
33659,71,1,1,254566,0,0
33660,71,1,1,254572,0,0
33661,71,1,1,254357,0,0
33688,71,1,1,249493,0,0
33735,13,1,0,0,158323,0
33738,13,1,0,0,158324,0
33739,1434,1,2,0,0,0
33755,71,16,2,630760,0,0
33756,71,16,2,630780,0,0
33799,13,1,2,657960,158553,0
33844,107,1,1,1919,0,0
33940,107,1,1,8761,0,0
33941,107,1,1,6378,0,0
33944,6,16,2,660624,0,0
33949,6,16,2,660652,0,0
34146,71,1,1,5843,0,0
34171,71,1,1,250812,0,0
34172,71,1,1,250856,0,0
34173,71,1,1,250783,0,0
34174,71,1,1,250819,0,0
34186,107,1,1,244530,0,0
34187,107,1,1,260822,0,0
34188,107,1,1,248042,0,0
34197,1319,16,2,0,160102,0
34198,271,1,1,265895,0,0
34199,271,1,1,265862,0,0
34202,107,1,1,1749,0,0
34254,107,1,1,10373,0,0
34340,107,1,1,5357,0,0
34341,107,1,1,5358,0,0
34342,107,1,1,5359,0,0
34343,107,1,1,5360,0,0
34344,107,1,1,5361,0,0
34345,107,1,1,14638,0,0
34346,107,1,1,14639,0,0
34347,107,1,1,476,0,0
34348,107,1,1,1919,0,0
34358,107,1,1,255851,0,0
34359,107,1,1,271334,0,0
34382,107,1,1,1464,0,0
34426,107,1,1,257196,0,0
34427,107,1,1,253195,0,0
34428,107,1,1,253511,0,0
34429,107,1,1,253622,0,0
34430,107,1,1,252664,0,0
34431,107,1,1,252665,0,0
34432,107,1,1,252762,0,0
34433,107,1,1,252763,0,0
34434,107,1,1,252764,0,0
34435,107,1,1,252765,0,0
34436,107,1,1,252767,0,0
34437,107,1,1,256966,0,0
34445,107,1,2,525441,0,0
34456,1034,1,0,0,0,0
34457,1034,1,1,271912,0,0
34486,13,1,2,660731,0,0
34487,1034,1,0,0,0,0
34488,1477,1,0,0,0,0
34497,13,1,2,673431,0,0
34501,107,1,1,2989,0,0
34502,107,1,1,2990,0,0
34507,107,1,1,3014,0,0
34508,107,1,1,3012,0,0
34509,107,1,1,3012,0,0
34510,107,1,1,3005,0,0
34511,107,1,1,3027,0,0
34531,107,1,1,239942,0,0
34533,104,1,0,0,0,0
34548,104,1,2,659742,0,0
34565,107,1,1,235909,0,0
34604,1040,1,0,0,0,0
34693,107,1,1,250868,0,0
34694,107,1,1,250874,0,0
34695,107,1,1,251291,0,0
34696,107,1,1,251284,0,0
34697,107,1,1,251261,0,0
34698,107,1,1,251661,0,0
34699,107,1,1,251707,0,0
34818,107,1,2,660624,0,0
34926,107,1,1,9016,0,0
35115,1040,16,2,562131,0,0
35158,107,1,1,6736,0,0
35159,107,1,1,3614,0,0
35163,107,1,1,4266,0,0
35185,107,1,1,10721,0,0
35195,107,1,1,1496,0,0
35196,107,1,1,251001,0,0
35197,107,1,1,10666,0,0
35202,1171,1,2,673390,0,0
35203,1171,1,2,673399,0,0
35204,1171,1,2,673385,0,0
35205,1171,1,2,673384,0,0
35206,1171,1,2,673376,0,0
35220,1171,1,1,255851,0,0
35286,107,1,2,403041,0,0
35287,107,1,2,403105,0,0
