ID,MountTypeID,MountCapabilityID,OrderIndex
916,230,226,1
917,230,227,0
918,231,231,1
919,231,265,0
942,241,256,2
943,241,257,1
944,241,258,0
1502,248,283,0
1503,248,282,1
1504,248,284,2
1505,248,252,3
1506,248,251,4
1507,248,250,5
1551,432,240,0
1552,432,239,1
1553,432,238,2
1554,432,243,3
1555,432,242,4
1556,432,241,5
1557,432,497,6
1558,432,495,7
1559,432,498,8
1560,432,496,9
1561,248,249,6
1562,248,248,7
1563,248,247,8
1564,248,246,9
1565,248,245,10
1566,248,244,11
1567,248,240,12
1568,248,239,13
1575,242,259,0
1578,205,203,0
1579,206,204,0
1580,207,205,0
1581,224,226,0
1582,225,227,0
1583,226,284,0
1584,226,250,1
1585,226,247,2
1586,226,244,3
1587,226,238,4
1588,227,282,0
1589,227,251,1
1590,227,248,2
1591,227,245,3
1592,227,239,4
1593,228,283,0
1594,228,252,1
1595,228,249,2
1596,228,246,3
1597,228,240,4
1598,229,283,0
1599,229,282,1
1600,229,284,2
1601,229,252,3
1602,229,251,4
1603,229,250,5
1604,229,249,6
1605,229,248,7
1606,229,247,8
1607,229,246,9
1608,229,245,10
1609,229,244,11
1610,229,240,12
1611,229,239,13
1612,229,238,14
1613,232,232,0
1614,233,234,0
1615,238,283,0
1616,238,282,1
1617,238,284,2
1618,238,252,3
1619,238,251,4
1620,238,250,5
1621,238,249,6
1622,238,248,7
1623,238,247,8
1624,238,246,9
1625,238,245,10
1626,238,244,11
1627,238,240,12
1628,238,239,13
1629,238,238,14
1630,238,243,15
1631,238,242,16
1632,245,284,0
1633,245,250,1
1634,245,247,2
1635,245,244,3
1636,245,238,4
1637,246,283,0
1638,246,282,1
1639,246,252,2
1640,246,251,3
1641,246,249,4
1642,246,248,5
1643,246,246,6
1644,246,245,7
1645,246,240,8
1646,246,239,9
1647,247,283,0
1648,247,282,1
1649,247,284,2
1650,247,252,3
1651,247,251,4
1652,247,250,5
1653,247,249,6
1654,247,248,7
1655,247,247,8
1656,247,246,9
1657,247,245,10
1658,247,244,11
1659,247,240,12
1660,247,239,13
1661,247,238,14
1662,247,243,15
1663,247,242,16
1664,248,238,14
1665,248,243,15
1666,248,242,16
1667,254,265,0
1668,254,272,1
1669,204,202,0
1670,283,315,0
1671,434,507,0
1724,226,241,5
1725,227,242,5
1726,228,243,5
1727,229,243,15
1728,229,242,16
1729,229,241,17
1730,229,305,18
1731,229,304,19
1732,238,241,17
1733,238,278,18
1734,238,277,19
1735,245,241,5
1736,246,243,10
1737,246,242,11
1738,247,241,17
1739,247,236,18
1740,247,235,19
1741,248,241,17
1742,248,227,18
1743,248,226,19
1744,261,281,0
1745,263,287,0
1746,263,286,1
1747,263,285,2
1748,263,289,3
1749,263,290,4
1750,263,291,5
1751,263,292,6
1752,263,293,7
1753,263,294,8
1754,263,295,9
1755,263,296,10
1756,263,297,11
1757,263,298,12
1758,263,299,13
1759,263,300,14
1760,263,301,15
1761,263,302,16
1762,263,303,17
1763,263,305,18
1764,263,304,19
1765,264,202,0
