ID,TraitTreeID,PosX,PosY,Type,Flags,TraitSubTreeID
103884,1058,1200,900,0,0,0
103885,1058,2100,900,0,0,0
103886,1058,3000,900,0,0,0
103887,1058,5700,900,0,0,0
103888,1058,4800,900,0,0,0
103889,1058,8700,900,0,0,0
103890,1058,9600,900,0,0,0
103891,1058,7800,900,0,0,0
103892,1058,1200,1500,0,0,0
104102,1066,2100,1800,0,8,0
104708,1081,900,4200,0,8,0
104709,1081,900,3000,0,8,0
104710,1081,2100,3000,0,8,0
104711,1081,300,3000,0,8,0
104712,1081,2100,2400,0,8,0
104713,1081,900,2400,0,8,0
104714,1081,300,2400,0,8,0
104715,1081,1500,3600,0,8,0
104716,1081,1500,1800,0,8,0
104717,1081,900,1800,0,8,0
104718,1081,300,1800,0,8,0
104719,1081,2100,1200,0,8,0
104720,1081,1500,1200,0,8,0
104721,1081,900,1200,0,8,0
104722,1081,1500,600,0,8,0
104723,1081,900,600,0,8,0
104724,1082,9680,5730,0,0,0
104725,1082,10280,5130,0,0,0
104726,1082,10280,4530,0,0,0
104727,1082,9680,4530,0,0,0
104728,1082,10280,3930,0,0,0
104729,1082,10280,2130,0,0,0
104730,1082,9680,3930,0,0,0
104731,1082,9080,3330,0,0,0
104732,1082,10280,3330,0,0,0
104733,1082,9680,3330,0,0,0
104734,1082,9080,2730,0,0,0
104735,1082,10280,2730,0,0,0
104736,1082,9680,2730,0,0,0
104737,1082,10880,2730,0,0,0
104738,1082,9080,3930,0,0,0
104739,1082,9680,2130,0,0,0
104740,1082,5620,5730,0,0,0
104741,1082,6220,5130,0,0,0
104742,1082,6220,4530,0,0,0
104743,1082,6220,3930,0,0,0
104744,1082,5620,4530,0,0,0
104745,1082,5020,4530,0,0,0
104746,1082,5020,3930,0,0,0
104747,1082,5620,3930,0,0,0
104748,1082,6820,3330,0,0,0
104749,1082,6220,3330,0,0,0
104750,1082,5020,3330,0,0,0
104751,1082,6820,2730,0,0,0
104752,1082,6220,2730,0,0,0
104753,1082,5620,2130,0,0,0
104754,1082,5020,2730,0,0,0
104755,1082,5620,2730,0,0,0
104756,1082,6220,2130,0,0,0
104757,1082,5020,2130,0,0,0
104758,1082,1620,5730,0,0,0
104759,1082,1620,4530,0,0,0
104760,1082,2820,4530,0,0,0
104761,1082,1020,4530,0,0,0
104762,1082,2220,3930,0,0,0
104763,1082,1620,3930,0,0,0
104764,1082,1020,3930,0,0,0
104765,1082,2220,3330,0,0,0
104766,1082,2220,5130,0,0,0
104767,1082,1620,2730,0,0,0
104768,1082,1620,3330,0,0,0
104769,1082,2820,2730,0,0,0
104770,1082,2220,2730,0,0,0
104771,1082,1020,2730,0,0,0
104772,1082,2220,2130,0,0,0
104773,1082,1620,2130,0,0,0
104775,1083,7500,600,0,8,0
104776,1083,6900,600,0,8,0
104777,1083,4500,4200,0,8,0
104778,1083,5100,3000,0,8,0
104779,1083,3900,3600,0,8,0
104780,1083,3300,3600,0,8,0
