ID,BattlePetAbilityTurnID,OrderIndex,BattlePetEffectPropertiesID,AuraBattlePetAbilityID,BattlePetVisualID,Param[0],Param[1],Param[2],Param[3],Param[4],Param[5]
19,10,1,52,822,0,0,100,2,0,0,0
209,205,1,23,0,0,50,100,0,0,0,0
210,206,1,24,0,0,10,0,0,0,0,0
211,207,1,24,0,0,10,100,0,0,0,0
212,207,2,23,0,0,5,100,0,0,0,0
213,208,1,24,0,0,50,100,0,0,0,0
214,209,1,24,0,0,20,100,0,0,0,0
215,210,1,0,0,0,25,100,0,0,0,0
216,210,2,0,0,0,5,100,0,0,0,0
217,211,1,0,0,0,90,100,0,0,0,0
218,211,2,0,0,0,10,100,0,0,0,0
224,214,1,25,0,0,25,25,0,0,0,0
225,215,1,26,79,0,5,100,6,0,0,0
228,217,1,26,81,0,0,100,0,0,0,0
229,219,1,22,0,0,0,100,0,0,0,0
230,220,1,22,0,0,0,100,0,0,0,0
231,221,1,24,0,0,75,100,0,0,0,0
232,222,1,28,79,0,5,100,-1,0,0,0
233,223,1,28,84,0,0,100,0,0,0,0
235,225,1,50,86,0,0,-1,0,0,0,0
237,227,1,26,88,0,0,100,3,0,0,0
253,239,1,0,0,0,4,100,0,0,0,0
254,239,2,0,0,0,4,100,0,0,0,0
277,254,1,24,0,0,20,100,0,0,0,0
278,255,1,24,0,0,20,100,0,0,0,0
279,256,1,24,0,0,20,100,0,0,0,0
280,257,1,24,0,0,24,90,0,0,0,0
281,258,1,24,0,0,22,95,0,0,0,0
282,259,1,24,0,0,24,90,0,0,0,0
283,260,1,24,0,0,20,100,0,0,0,0
284,261,1,24,0,0,26,85,0,0,0,0
285,262,1,24,0,0,22,95,0,0,0,0
286,263,1,24,0,0,22,95,0,0,0,0
287,264,1,24,0,0,25,95,0,0,0,0
288,265,1,24,0,329,15,95,0,0,0,0
289,265,2,158,0,0,0,0,0,0,0,0
290,266,1,24,0,0,18,95,0,0,0,0
291,267,1,23,0,0,30,100,0,0,0,0
292,268,1,24,0,0,25,95,0,0,0,0
293,269,1,24,0,0,25,95,0,0,0,0
294,270,1,24,0,0,25,95,0,0,0,0
295,271,1,24,131,0,5,100,0,0,0,0
298,277,1,24,0,12,5,100,0,0,0,0
299,279,1,26,133,0,0,100,5,0,0,0
300,280,1,0,0,0,0,100,0,0,0,0
301,278,1,179,0,0,5,0,0,0,0,0
302,281,1,25,0,0,30,30,0,0,0,0
310,295,1,23,0,0,20,100,0,0,0,0
311,296,1,24,0,0,20,100,0,0,0,0
312,296,2,24,0,0,30,100,0,0,0,0
313,297,1,24,0,0,5,100,1,0,0,0
314,298,1,24,0,0,15,100,0,0,0,0
315,298,2,54,379,0,1,100,5,0,0,0
316,301,1,24,0,0,10,100,0,0,0,0
317,302,1,27,0,0,15,100,5,25,21,0
319,304,1,24,0,493,20,100,0,0,0,0
320,304,2,29,0,494,10,100,28,0,0,0
323,306,1,24,0,0,35,80,0,0,0,0
329,310,1,24,0,338,13,95,0,0,0,0
330,310,2,158,0,0,0,0,0,0,0,0
332,312,1,24,0,0,10,100,0,0,0,0
333,313,1,24,0,571,3,100,0,0,0,0
334,314,1,24,0,571,3,100,0,1,0,0
335,315,1,24,0,571,3,100,0,1,0,0
336,317,1,85,0,0,161,0,0,0,0,0
337,318,1,24,0,571,3,100,0,0,0,0
338,319,1,24,0,571,9,80,0,0,0,0
339,319,2,24,0,571,9,80,0,1,0,0
340,320,1,23,0,0,20,100,0,0,0,0
341,320,2,44,0,0,50,100,0,0,0,0
342,321,1,31,0,0,113,1,0,0,0,0
343,322,1,24,0,0,50,90,0,0,0,0
346,324,1,24,0,223,35,80,0,0,0,0
350,327,1,24,0,641,25,100,0,0,0,0
351,328,1,23,0,0,20,100,0,0,0,0
352,328,2,44,0,0,50,100,0,0,0,0
353,329,1,22,0,0,0,100,0,0,0,0
354,330,1,22,0,0,0,100,0,0,0,0
355,331,1,22,0,0,0,100,0,0,0,0
356,332,1,24,0,0,17,100,0,0,0,0
357,332,2,177,0,0,149,0,0,0,0,0
358,333,1,50,175,0,0,100,4,3,0,0
360,334,1,24,0,0,5,100,1,0,0,0
361,335,1,24,0,0,11,100,0,0,0,0
362,335,2,54,177,0,1,100,4,0,0,0
363,336,1,24,0,0,30,95,0,0,0,0
364,336,2,158,0,0,0,0,0,0,0,0
367,205,2,23,0,0,50,100,0,0,0,0
368,344,1,24,0,0,10,100,0,0,0,0
369,344,2,158,0,0,0,0,0,0,0,0
370,344,3,164,0,0,10,50,0,0,0,0
371,346,1,24,0,0,30,90,0,0,0,0
372,346,2,158,0,0,0,0,0,0,0,0
375,348,1,26,187,40,0,100,5,0,0,0
376,349,1,164,0,0,7,35,0,0,0,0
377,350,1,50,189,0,0,100,5,0,0,0
379,354,1,24,0,0,10,100,0,0,0,0
380,354,2,158,0,0,0,0,0,0,0,0
381,354,3,164,0,0,10,50,0,0,0,0
383,358,1,26,841,0,0,100,5,0,0,0
384,359,1,24,0,571,3,100,0,0,0,0
392,367,1,24,0,0,10,100,0,0,0,0
397,373,1,26,207,0,0,100,1,0,0,0
398,374,1,24,0,0,50,100,0,0,0,0
401,377,1,24,0,0,24,90,0,0,0,0
402,378,1,24,0,343,4,100,1,0,0,0
403,378,2,23,0,337,4,100,0,0,0,0
404,379,1,54,211,0,0,100,3,0,0,0
405,264,2,158,0,0,0,0,0,0,0,0
406,380,1,24,0,0,3,100,0,0,0,0
407,381,1,54,213,0,0,100,9,0,0,0
408,383,1,26,215,0,0,100,1,0,0,0
409,384,1,22,0,0,0,100,0,0,0,0
410,385,1,22,0,0,0,100,0,0,0,0
411,386,1,22,0,0,0,100,0,0,0,0
412,387,1,22,0,0,0,100,0,0,0,0
413,388,1,24,0,0,40,100,0,0,0,0
414,389,1,50,217,0,0,100,4,0,0,0
