ID,QuestID,UiWidgetSetID,GlowAnimType
1,62280,472,0
2,61699,472,0
3,61841,472,0
4,60601,472,0
5,62051,472,0
6,61717,472,0
7,61394,472,0
11,78590,1045,0
12,76338,1055,0
13,79329,1054,0
14,79380,1056,0
15,78657,1058,0
16,79469,1061,0
17,79470,1062,0
18,79471,1063,0
20,69927,1096,1
23,69929,1097,1
24,69930,1098,1
25,69928,1099,1
26,70440,1101,1
27,82653,1,0
28,84787,1386,0
29,84835,1388,0
33,91210,1850,2
34,91211,1851,2
35,91212,1850,2
36,91213,1851,2
37,91214,1850,2
38,91215,1851,2
39,91216,1850,2
40,91217,1851,2
41,91218,1850,2
42,91219,1851,2
43,91220,1850,2
44,91221,1851,2
45,91222,1850,2
46,91223,1851,2
47,91224,1850,2
48,91225,1851,2
49,91226,1850,2
50,91227,1851,2
51,91228,1850,2
52,91229,1851,2
53,91230,1850,2
54,91231,1851,2
55,91232,1850,2
56,91233,1851,2
57,91234,1850,2
58,91235,1851,2
59,91236,1850,2
60,91237,1851,2
61,91238,1850,2
62,91239,1851,2
63,91240,1850,2
64,91241,1851,2
65,91242,1850,2
66,91256,1851,2
67,91243,1850,2
68,91257,1851,2
69,91244,1850,2
70,91258,1851,2
71,91245,1850,2
72,91259,1851,2
73,91246,1850,2
74,91260,1851,2
75,91247,1850,2
76,91261,1851,2
77,91248,1850,2
78,91262,1851,2
79,91249,1850,2
80,91263,1851,2
81,91250,1850,2
82,91264,1851,2
83,91251,1850,2
84,91265,1851,2
85,91252,1850,2
86,91266,1851,2
87,91253,1850,2
88,91267,1851,2
89,91254,1850,2
90,91268,1851,2
91,91255,1850,2
92,91269,1851,2
93,91095,1896,2
94,91096,1896,2
95,91097,1896,2
96,91098,1896,2
97,91099,1896,2
98,91100,1896,2
99,91101,1896,2
100,91102,1896,2
101,91103,1896,2
102,91104,1896,2
103,91105,1896,2
104,91106,1896,2
105,91107,1896,2
106,91108,1896,2
107,91109,1896,2
108,91110,1896,2
109,91111,1896,2
110,91112,1896,2
111,91113,1896,2
112,91114,1896,2
113,91115,1896,2
114,91116,1896,2
115,91117,1896,2
116,91118,1896,2
117,91119,1896,2
118,91120,1896,2
119,91121,1896,2
120,91122,1896,2
121,91123,1896,2
122,91124,1896,2
