ID,Name_lang,FactionID,DepositRate,ConsignmentRate
1,Stormwind Auction House,1,5,5
2,Alliance Auction House,3,5,5
3,Darnassus Auction House,4,5,5
4,Undercity Auction House,5,5,5
5,Thunder Bluff  Auction House,6,5,5
6,Horde Auction House,2,5,5
7,Blackwater Auction House,369,25,15
109,Auction House,1,5,5
110,Alliance Auction House,3,5,5
111,Alliance Auction House,3,5,5
112,Alliance Auction House,3,5,5
113,Horde Auction House,2,5,5
114,Horde Auction House,2,5,5
115,Horde Auction House,2,5,5
116,Blackwater Auction House,369,25,15
117,Blackwater Auction House,369,25,15
118,Blackwater Auction House,369,25,15
119,Alliance Auction House,3,5,5
120,Horde Auction House,2,5,5
121,Blackwater Auction House,369,25,15
122,Auction House,369,25,15
