ID,PlayerCritBloodSpurtID,PlayerHitBloodSpurtID,DefaultBloodSpurtID,PlayerOmniCritBloodSpurtID,PlayerOmniHitBloodSpurtID,DefaultOmniBloodSpurtID
1,58821,58822,58823,71932,71367,71931
2,58824,58825,58826,71941,71939,71938
3,58827,58828,58829,71934,71921,71933
4,58830,58831,58832,71937,71936,71935
5,61430,61432,61431,0,0,0
6,61427,58822,61428,69224,69225,69226
7,61448,61450,61449,72125,72127,72126
8,61454,61456,61455,72131,72133,72132
9,61457,61459,61458,72135,72137,72136
10,61433,61435,61434,72070,72072,72071
11,61451,61453,61452,72128,72130,72129
12,61422,61423,61421,72056,72061,72060
13,61436,61438,61437,72115,72117,72116
14,61439,61441,61440,72118,72121,72120
15,61425,61426,61424,72059,72063,72062
16,61388,61389,61390,71947,71946,71945
17,61386,61385,61387,71951,71950,71949
18,61420,61419,61418,72055,72054,72053
19,61442,61444,61443,72122,72124,72123
20,61460,61462,61461,72138,72140,72139
21,61391,61392,61393,71944,71943,71942
