ID,Text,Language
1,씨 퐁 자 지,1
2,씨 퐁 자지,1
3,씨 퐁넘,1
4,씨 퐁뇬,1
5,씨가랭넘,1
6,씨가랭년,1
7,씨가랭놈,1
8,씨댕,1
9,씨댕이,1
10,씨뎅,1
11,씨발,1
12,씨발 년,1
13,씨발 롬,1
14,씨발.년,1
15,씨발.놈,1
16,씨발년,1
17,씨발놈,1
18,씨발롬,1
19,씨발병신,1
20,씨방새,1
21,씨방세,1
22,씨뱅 가 리,1
23,씨뱅 가리,1
24,씨뱅가 리,1
25,씨뱅가리,1
26,씨벌,1
27,씨벌년,1
28,씨벌쉐이,1
29,씨부 랄,1
30,씨부랄,1
31,씨부럴,1
32,씨불 알,1
33,씨불알,1
34,씨브럴,1
36,씨블년,1
37,씨블새끼,1
38,씨븡새끼,1
39,씨섹 끼,1
40,씨섹끼,1
41,씨파 넘,1
42,씨파넘,1
43,씨팍새끼,1
44,씨팍세끼,1
45,씨팔,1
47,씨퐁 넘,1
48,씨퐁 뇬,1
49,씨퐁 보 지,1
50,씨퐁 보지,1
51,씨퐁 자 지,1
52,씨퐁 자지,1
53,씨퐁넘,1
54,씨퐁뇬,1
55,씨퐁보 지,1
56,씨퐁보지,1
57,씨퐁자 지,1
58,씨퐁자지,1
59,씹 년,1
60,씹 물,1
61,씹 보 지,1
62,씹 보지,1
63,씹 부 랄,1
64,씹 부랄,1
65,씹 빵 구,1
66,씹 빵구,1
67,씹 뽀 지,1
68,씹 뽀지,1
69,씹 새,1
70,씹 새 끼,1
71,씹 새끼,1
72,씹 세,1
73,씹 쌔 끼,1
74,씹 쌔끼,1
75,씹 자 지,1
76,씹 자지,1
77,씹 지 랄,1
78,씹 지랄,1
79,씹 창,1
80,씹 탱,1
81,씹 탱 이,1
82,씹 탱이,1
83,씹년,1
84,씹물,1
85,씹미랄,1
86,씹버지,1
87,씹보 지,1
88,씹보지,1
89,씹부 랄,1
90,씹부랄,1
91,씹브랄,1
92,씹빵 구,1
93,씹빵구,1
94,씹뽀 지,1
95,씹뽀지,1
96,씹새,1
97,씹새 끼,1
98,씹새끼,1
99,씹세,1
100,씹쌔 끼,1
101,씹쌔끼,1
102,씹자 지,1
103,씹자석,1
104,씹자슥,1
105,씹자지,1
106,씹지 랄,1
107,씹지랄,1
108,씹창,1
109,씹창녀,1
110,씹탱,1
111,씹탱 이,1
112,씹탱굴이,1
113,씹탱이,1
114,씹팔,1
115,아가리,1
121,애미랄,1
122,애미보지,1
123,애미씨뱅,1
124,애미자지,1
125,애미잡년,1
126,애미좃물,1
128,양 아 치,1
129,양 아치,1
130,양귀비,1
131,양아 치,1
132,양아치,1
133,양키,1
