ID,DifficultyID,CategoryRecoveryTime,RecoveryTime,StartRecoveryTime,AuraSpellID,SpellID
10,0,3000,0,0,0,78
120,0,3000,0,0,0,845
496,0,0,3000,0,0,6807
607,0,0,0,1500,0,8191
621,0,0,0,1500,0,8552
831,0,0,0,1500,0,12685
853,0,0,0,1500,0,13438
854,0,0,0,1500,0,13439
855,0,0,0,1500,0,13440
857,0,0,0,1500,0,13480
858,0,0,0,1500,0,13482
859,0,0,0,1500,0,13490
861,0,0,0,1500,0,13519
862,0,0,0,1500,0,13527
863,0,0,0,1500,0,13530
876,0,0,0,1500,0,13752
892,0,0,0,1500,0,14106
895,0,0,0,1500,0,14119
965,0,0,0,1500,0,15602
973,0,0,0,1500,0,15662
1010,0,0,0,1500,0,16408
1011,0,0,0,1500,0,16409
1014,0,0,0,1500,0,16413
1015,0,0,0,1500,0,16415
1026,0,0,0,1500,0,16603
1035,0,0,0,1500,0,16783
1067,0,0,0,1500,0,17154
1089,0,0,0,1500,0,17483
1090,0,0,0,1500,0,17484
1091,0,0,0,1500,0,17506
1093,0,0,0,1500,0,17510
1129,0,0,0,1500,0,18081
1130,0,0,0,1500,0,18082
1133,0,0,0,1500,0,18088
1134,0,0,0,1500,0,18089
1138,0,0,0,1500,0,18104
1144,0,0,0,1500,0,18138
1149,0,0,0,1500,0,18199
1151,0,0,0,1500,0,18205
1152,0,0,0,1500,0,18211
1153,0,0,0,1500,0,18214
1154,0,0,0,1500,0,18217
1169,0,0,0,1500,0,18381
1183,0,0,0,1500,0,18656
1186,0,0,0,1500,0,18796
1249,0,0,0,1500,0,19874
1327,0,0,0,1500,0,21151
1329,0,0,0,1500,0,21159
1330,0,0,0,1500,0,21162
1426,0,0,0,1500,0,23567
1427,0,0,0,1500,0,23568
1428,0,0,0,1500,0,23569
1429,0,0,0,1500,0,23592
1430,0,0,0,1500,0,23605
1484,0,0,0,1500,0,24412
1485,0,0,0,1500,0,24413
1486,0,0,0,1500,0,24414
1559,0,3000,0,0,0,25863
1603,0,3000,0,0,0,26655
2584,0,10000,0,0,0,37486
3077,0,1000,0,0,0,43574
3368,0,0,0,1500,0,47977
4158,0,0,0,1500,0,56815
4758,0,0,0,1500,0,63042
5493,4,20000,0,0,0,69278
5497,0,0,0,3000,0,71272
5517,0,12000,0,1500,0,71521
5597,4,0,1000,0,0,70360
5617,4,0,16000,0,0,72378
5624,0,0,90000,0,0,73325
5625,0,0,0,1500,0,73413
5629,0,0,0,1500,0,73510
5630,0,0,0,1000,0,73651
5632,0,0,15000,1500,0,73680
5636,0,0,15000,1500,0,73684
5637,0,0,15000,1500,0,73685
5642,0,8000,0,1500,0,73899
5643,0,0,0,1500,0,73910
5644,0,0,10000,1500,0,73920
5646,0,0,0,1500,0,73975
5647,0,0,60000,1000,0,73981
5648,0,120000,0,0,0,74001
5650,0,0,0,1500,0,74063
5665,4,60000,0,0,0,73654
5666,5,60000,0,0,0,73654
5667,6,60000,0,0,0,73654
5670,0,0,45000,0,0,74434
5674,0,0,0,1500,0,74623
5675,0,0,0,1500,0,74624
5676,0,0,0,1500,0,74625
5677,0,0,0,1500,0,74626
5678,0,300000,0,1500,0,74650
5686,0,0,0,1000,0,74860
5719,0,0,0,1500,0,75973
5721,0,0,4000,0,0,76102
5722,0,0,0,1500,0,76108
5723,0,300000,0,1500,0,76568
5724,0,0,180000,1000,0,76577
5725,0,0,0,1500,0,76780
5726,0,0,0,1000,0,76869
5727,0,0,3000,1000,0,76871
5728,0,0,30000,0,0,76891
5729,0,0,15000,0,0,76899
5730,0,8000,0,0,0,77276
5731,0,0,0,1500,0,77467
5732,0,0,0,1500,0,77472
5733,0,0,360000,1500,0,77479
5734,0,0,60000,1500,0,77575
5735,0,0,60000,0,0,77606
5736,0,0,6000,1500,0,77758
5737,0,120000,0,1500,0,77761
5738,0,120000,0,1500,0,77764
5741,0,0,0,1000,0,77767
5743,0,0,0,1500,0,77799
5744,0,0,120000,0,0,77801
5745,0,0,0,1500,0,77960
5746,0,0,0,1500,0,77961
5747,0,0,0,1500,0,78164
5749,0,0,15000,1500,0,78674
5750,0,0,60000,0,0,78675
5751,0,4000,0,0,0,78932
5752,0,0,0,1500,0,79038
5753,0,0,0,1500,0,79039
5754,0,0,0,1500,0,79057
5755,0,0,0,1500,0,79058
5756,0,0,0,1500,0,79060
5757,0,0,0,1500,0,79061
5758,0,0,0,1500,0,79062
5759,0,0,0,1500,0,79063
5760,0,0,0,1500,0,79101
5761,0,0,0,1500,0,79102
5762,0,0,0,1500,0,79104
5763,0,0,0,1500,0,79105
5764,0,0,0,1500,0,79106
5765,0,0,0,1500,0,79107
