Name_lang,ID,Flags,RoomComponentType,TextureFileDataID,Field_11_2_7_64438_005,HouseThemeID
Flagstone,3,1,2,7535056,2,1
Folk Hardwood,4,1,2,7535057,4,1
Folk Wood Beam,5,1,3,5658170,0,1
Folk Stucco,22,1,1,5658169,0,1
Rugged Stone,24,1,1,6856592,0,2
Silvermoon Etched Marble,33,1,1,6986816,0,5
Rugged Wood,40,1,2,7535058,4,2
Silvermoon Mosaic,49,1,2,7494198,2,5
Rugged Wood,54,1,3,6856593,0,2
Silvermoon Blood Marble,60,1,3,6986850,0,5
Bel'ameth Wood Panel,61,1,3,7196783,0,4
Bel'ameth Soft Wood,63,1,1,7114465,0,4
Bel'ameth Hardwood,65,1,2,7491486,4,4
Cottage,162,1,1,7535055,0,1
Folk Wood Beam,235,0,3,5658170,0,0
Bel'ameth Wood Beam,236,0,3,7196783,0,0
Bel'ameth Wood Beam,237,1,3,7114460,0,0
Stitched Hide,238,1,3,7570326,0,0
Bel'ameth Heartwood,250,1,3,7654234,0,4
