Description_lang,SourceText_lang,ID,CreatureID,SummonSpellID,IconFileDataID,PetTypeEnum,Flags,SourceTypeEnum,CardUIModelSceneID,LoadoutUIModelSceneID,CovenantID
,,39,2671,4055,132761,4,2,-1,1271,7,0
,,40,7385,10673,132599,4,2,-1,1269,7,0
,,41,7384,10674,132599,4,2,-1,1269,7,0
,,42,7383,10675,236547,4,2,-1,1269,7,0
,,43,7382,10676,132599,4,2,-1,1269,7,0
,,44,7380,10677,132599,4,2,-1,1269,7,0
,,45,7381,10678,132599,4,2,-1,1269,7,0
,,46,7386,10679,132599,4,2,-1,1269,7,0
,,47,7390,10680,132921,4,2,-1,1268,7,0
,,49,7391,10682,132921,4,2,-1,1268,7,0
,,50,7387,10683,132925,4,2,-1,1268,7,0
,,51,7389,10684,132924,4,2,-1,1268,7,0
,,52,7394,10685,2027860,4,2,-1,1271,7,0
,,55,7395,10688,294474,4,2,-1,1270,7,0
,,56,7543,10695,134154,4,2,-1,1272,7,0
,,57,7547,10696,134155,4,2,-1,1272,7,0
,,58,7544,10697,134158,4,2,-1,1272,7,0
,,59,7545,10698,134157,4,2,-1,1272,7,0
,,64,7550,10703,237579,4,2,-1,1271,7,0
,,65,7549,10704,237579,4,2,-1,1271,7,0
,,67,7555,10706,132150,4,2,-1,1268,7,0
,,68,7553,10707,132150,4,2,-1,1268,7,0
,,69,7554,10708,132150,4,58,-1,6,7,0
,,70,271972,10709,132161,4,2,-1,1271,7,0
,,72,7560,10711,132762,4,2,-1,1270,7,0
,,74,7561,10713,136040,4,2,-1,1269,7,0
,,75,7565,10714,136040,4,2,-1,1269,7,0
,,77,7562,10716,136040,4,2,-1,1269,7,0
,,78,7567,10717,136040,4,2,-1,1269,7,0
,,83,8376,12243,656513,4,18,-1,1271,7,0
,,85,9656,15048,133712,4,2,-1,1272,7,0
,,86,9657,15049,294476,4,16386,-1,1272,7,0
,,87,9662,15067,132833,4,2,-1,1268,7,0
,,89,10259,15999,132599,4,2050,-1,1272,7,0
,,90,10598,16450,132598,4,2,-1,1272,7,0
,,92,11325,17707,132494,4,16466,-1,1272,7,0
,,93,11326,17708,132787,4,16466,-1,1272,7,0
,,94,11327,17709,136217,4,16466,-1,1272,7,0
,,95,12419,19772,237579,4,2,-1,1271,7,0
,,106,14878,23811,237579,4,18,-1,1271,7,0
,,107,15186,24696,134169,4,16466,-1,1273,7,0
,,111,15358,24988,132834,4,16466,-1,1273,7,0
,,114,15429,25162,132107,4,2,-1,1272,7,0
,,116,15699,26010,132189,4,2,-1,1272,7,0
,,117,15710,26469,133650,4,2,-1,1273,7,0
,,118,15706,26529,133706,4,2,-1,1272,7,0
,,119,15698,26533,133204,4,2,-1,1273,7,0
,,120,15705,26541,133202,4,2,-1,1273,7,0
,,121,16069,27241,294479,4,16466,-1,1273,7,0
,,122,16085,27570,132382,4,2,-1,1272,7,0
,,124,16456,28505,132498,4,16466,-1,1272,7,0
,,125,16547,28738,132763,4,2,-1,1272,7,0
,,126,16548,28739,132514,4,2,-1,1269,7,0
,,127,16549,28740,294480,4,2,-1,1269,7,0
,,128,16701,28871,134813,4,2,-1,1269,7,0
,,130,17255,30156,132833,4,16466,-1,1267,7,0
,,162,23909,42609,134015,6,2,6,1272,7,0
,,341,55571,104047,236704,5,514,-1,1269,7,0
,,342,55574,104049,236704,5,258,-1,1269,7,0
,,757,14755,23531,134333,4,16466,-1,1268,7,0
,,758,14756,23530,134337,4,16466,-1,1268,7,0
,,1073,16445,28487,132834,4,114,-1,6,7,0
,,1168,15361,24987,132834,4,16466,-1,1273,7,0
,,1563,7546,10699,134156,4,34,-1,6,7,0
,,1927,17254,30152,134176,4,16450,-1,1269,7,0
,,4172,7388,10681,132916,4,34,-1,6,7,0
,,4180,7559,10712,132766,4,2,-1,1270,7,0
,,4182,7569,10718,136040,4,34,-1,6,7,0
,,4183,7568,10719,136040,4,34,-1,6,7,0
,,4184,7566,10720,136040,4,34,-1,6,7,0
,,4185,7570,10721,136116,4,34,-1,6,7,0
,,5004,7392,10686,135996,4,2,-1,1271,7,0
,,5005,259842,1281641,2399243,4,2,-1,1271,7,0
,,5006,9936,15648,132599,4,2,-1,1269,7,0
,,5008,260580,1283932,132787,4,16466,-1,1272,7,0
,,5018,261680,1286629,132266,4,2,-1,1271,7,0
,,5047,263559,1290131,237179,8,16400,-1,1268,7,0
,,5069,265797,1295738,135996,4,2,-1,1271,7,0
,,5075,266735,1297608,3459153,4,2,-1,1272,7,0
,,5094,267842,1299341,236197,4,2,-1,1272,7,0
,,5121,268707,1302196,132203,4,2,-1,1272,7,0
,,5122,268840,1302650,294471,4,16466,-1,1272,7,0
,,5135,271368,1308283,4528721,4,2,-1,1268,7,0
,,5136,271636,1308870,237144,4,2,-1,1268,7,0
,,5138,271867,1309420,7741132,4,16402,-1,1272,7,0
,,5139,271870,1309423,646586,4,2,-1,1268,7,0
,,5140,271874,1309436,7959843,4,16386,-1,1272,7,0
,,5141,271875,1309437,7959844,4,16386,-1,1272,7,0
,,5142,271876,1309438,7959845,4,16386,-1,1272,7,0
,,5143,271877,1309439,7959846,4,16386,-1,1272,7,0
,,5144,271878,1309440,7959847,4,16386,-1,1272,7,0
,,5145,271888,1309501,7929458,4,16386,-1,1272,7,0
,,5146,271889,1309503,7929459,4,16386,-1,1272,7,0
,,5147,271890,1309504,7929460,4,16386,-1,1272,7,0
,,5148,271891,1309505,7929461,4,16386,-1,1272,7,0
,,5149,271892,1309506,7929462,4,16386,-1,1272,7,0
,,5150,271893,1309507,7929463,4,16386,-1,1272,7,0
,,5151,271913,1309545,294474,4,2,-1,1270,7,0
,,5152,271914,1309546,294474,4,2,-1,1270,7,0
,,5153,271915,1309547,136040,4,2,-1,1269,7,0
,,5154,271979,1309730,132161,4,2,-1,1271,7,0
