ID,Position[0],Position[1],GarrTalentID
1,2005.67,-1589.77,1249
2,3352.57,-1052.93,1250
3,1458.99,-3308.43,1251
4,3731.53,-2385.58,1252
5,3054.5,-2690.56,1253
6,3386.76,-3638.17,1254
7,-2527.75,-6179.4,1239
8,-4008.09,-5754.19,1237
9,-3316.3,-3369.88,1238
10,-1430.26,-4751.86,1240
11,-1879.85,-2777.17,1241
12,-2184.3,-4011.07,1242
13,-6111.92,-366.664,1245
14,-6938.65,29.1702,1246
15,-5874.47,635.514,1243
16,-6125.67,1641.8,1244
17,-7615.9,610.28,1248
18,-7397.05,2890.55,1247
19,-3389.24,5544.3,1258
20,-2986.53,6603.47,1256
21,-1079.96,7524.12,1259
22,-1646.04,6990.77,1257
23,-1658.5,5317,1255
24,-2431.45,8189.39,1260
