ID,EffectAura,DifficultyID,EffectIndex,Effect,EffectAmplitude,EffectAttributes,EffectAuraPeriod,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectPos_facing,EffectRealPointsPerLevel,EffectTriggerSpell,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectBasePointsF,ScalingClass,Node__Field_12_0_0_63534_001,EffectMiscValue[0],EffectMiscValue[1],EffectRadiusIndex[0],EffectRadiusIndex[1],EffectSpellClassMask[0],EffectSpellClassMask[1],EffectSpellClassMask[2],EffectSpellClassMask[3],ImplicitTarget[0],ImplicitTarget[1],SpellID
34312,226,0,0,6,0,0,30000,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,42596
34313,4,0,0,6,0,0,0,1,1,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,42598
34321,0,0,0,28,1000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,23909,41,0,0,0,0,0,0,32,0,42609
35454,23,0,0,6,0,0,180000,0,1,0,0,0,0,0,0,43681,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,43680
35455,491,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-1000,0,0,0,0,0,0,0,0,0,0,1,0,43681
36873,0,0,0,24,0,0,0,0,1,0,34087,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,44950
36874,0,0,0,24,0,0,0,0,1,0,34086,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,44953
36878,0,0,0,24,0,0,0,0,1,0,34085,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,44958
113338,0,0,0,28,1000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,55571,41,0,0,0,0,0,0,32,0,104047
113341,0,0,0,28,1000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,55574,41,0,0,0,0,0,0,32,0,104049
215334,4,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,155059
326148,23,0,0,6,0,0,180000,0,1,0,0,0,0,0,0,219004,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,219003
326149,491,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-1000,0,0,0,0,0,0,0,0,0,0,1,0,219004
678891,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,528,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,540
678892,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,2866,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,541
678894,69,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,162,0,0,4,0,0,0,0,0,0,0,1,0,543
678895,74,0,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,543
678896,98,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,43,0,0,0,0,0,0,0,1,0,601
678897,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,3052,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,134
678898,0,0,0,24,0,0,0,0,1,0,7960,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,10015
678899,28,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,0,10074
678901,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,6134,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,490
678902,15,0,0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.6666666,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,461
678908,78,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4268,0,0,0,0,0,0,0,1,0,459
678913,0,0,0,67,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,633
678914,0,0,0,252,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,428
678915,3,0,0,6,0,0,3000,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,6,0,172
678917,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,3053,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,184
678918,0,0,0,2,0,0,0,0.429,1,0,0,0,0,0,0.4,0,0,1,0,0.14285715,0,1,14,0,0,0,0,0,0,0,0,0,0,6,0,403
678919,0,0,0,24,0,0,0,0,1,0,1113,0,0,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,597
678920,0,0,0,2,0,0,0,0.714,1,0,0,0,0,0,0.8,0,0,1,0,0.13793103,0,1,46,0,0,0,0,0,0,0,0,0,0,6,0,598
678921,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,554,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,575
678924,13,0,0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.6666666,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,463
678925,14,0,1,35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.6666666,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,463
678926,34,0,2,35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,463
678927,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,6148,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,481
678928,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,482
678931,0,0,0,8,0.5,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.6666666,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,14
678932,8,0,0,6,0,0,3000,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,21,0,139
678933,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.6666666,0,1,3,0,0,0,0,0,0,0,0,0,0,6,0,142
678934,0,0,0,252,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,446
678935,0,0,0,252,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,447
678936,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,448
