ID,Name_lang,ResourceName_lang,Verb_lang,CursorName,EnumID,TrackingIcon
1,Pick Lock,Locked Items,Pick,PickLock,0,0
2,Herbalism,Herbs,Gather,GatherHerbs,1,0
3,Mining,Ore Deposits,Mine,Mine,2,0
4,Disarm Trap,Trap,Disarm,,3,0
5,Open,Unlocked Items,Open,,4,0
6,Treasure (DND),Treasure,,,5,0
7,Calcified Elven Gems (DND),Calcified Elven Gems,,,6,0
8,Close,Unlocked Items,Close,,7,0
9,Arm Trap,Trap,Arm,,8,0
10,Quick Open,Unlocked Items,Open,,9,0
11,Quick Close,Unlocked Items,Close,,10,0
12,Open Tinkering,Unlocked Items,Open,,11,0
13,Open Kneeling,Unlocked Items,Open,,12,0
14,Open Attacking,Unlocked Items,Open,,13,0
15,Gahz'ridian (DND),Gahz'ridian,,,14,0
16,Blasting,Locked Items,Blast,,15,0
17,Slow Open,Unlocked Items,Open,,16,0
18,Slow Close,Unlocked Items,Close,,17,0
19,Fishing,Fish,Fish,,18,0
24,Beast Tracking,Beast Tracks,Track,,23,0
209,Open Tinkering,Unlocked Items,Open,,88,0
211,Kobold Tracks,Kobold Tracks,,,89,0
245,Comprehend Scroll,Scroll,Comprehend,,90,0
