ID,ModelFileDataID,SoundKitID
1,4559627,198638
2,4559606,0
4,4559605,0
5,4559607,0
6,4559608,0
7,4559609,0
8,4559610,0
9,4559614,0
10,4559615,0
11,4559616,0
12,4559617,0
13,4559618,0
14,4559619,0
15,4559623,0
16,4559624,0
17,4559625,0
18,4559626,0
19,4559628,0
20,4559632,0
21,4559633,0
22,4559634,0
23,4559635,0
24,4559636,0
25,4559637,0
26,4559638,0
27,4559639,0
28,4559640,0
29,4661356,0
30,4661357,0
31,4661358,0
32,4661360,0
33,4661361,0
34,4661368,0
37,5648066,256471
38,5648065,256472
39,5587941,256473
40,5587940,256474
