ID,TalentTabID,SpellID,Flags
4,398,55050,0
6,399,49143,0
7,400,55090,0
8,752,78674,0
11,750,84735,0
12,750,84840,0
13,748,18562,0
15,811,19577,0
17,807,19434,0
19,809,53301,0
20,809,84729,0
21,799,44425,0
22,799,84671,0
23,851,11366,0
24,851,84668,0
25,823,31687,0
26,823,84669,0
27,831,20473,0
28,839,31935,0
29,839,84839,0
30,855,85256,0
31,760,47540,0
32,760,84732,0
35,795,15407,0
37,182,1329,0
38,182,14117,0
39,182,84601,0
40,181,13877,0
41,181,61329,0
42,181,13852,0
43,183,36554,0
44,183,31223,0
45,183,31220,0
46,261,51490,0
48,261,60188,0
49,263,60103,0
52,263,30814,0
53,262,974,0
55,262,16213,0
56,871,30108,0
59,867,84740,0
60,865,17962,0
61,865,84739,0
62,746,12294,0
63,746,12296,0
64,746,12712,0
65,815,23881,0
67,815,23588,0
68,815,29592,0
69,845,23922,0
70,845,29144,0
73,398,50029,0
74,399,50887,0
75,399,54637,0
76,400,52143,0
77,400,56835,0
80,748,85101,0
82,831,85102,0
83,839,53592,0
84,855,53503,0
85,855,20113,0
89,398,50034,0
177,839,31878,0
180,261,62099,0
187,750,33917,0
194,752,16913,0
196,263,86629,0
201,795,87327,0
203,813,87336,0
205,748,87305,0
208,807,87326,0
209,811,87325,0
211,871,87339,0
235,813,88625,0
240,855,89901,0
241,400,91107,0
243,750,87335,0
244,263,51522,0
245,845,93098,0
246,398,93099,0
251,795,95740,0
262,262,95862,0
263,831,95859,0
264,813,95861,0
265,760,95860,0
270,748,96429,0
275,760,33167,0
276,813,33167,0
436,867,103958,0
