ID,AchievementID,QuestID,RetroactiveDecorRewardID
2,4405,0,1
3,19719,0,2
4,11124,0,3
5,938,0,4
6,940,0,5
7,20501,0,6
8,19458,0,7
9,41119,0,8
10,40894,0,9
11,12869,0,10
12,13284,0,11
13,12870,0,12
14,12509,0,13
15,12867,0,14
16,12479,0,15
17,13038,0,16
18,12733,0,17
19,12746,0,18
20,13039,0,19
21,12614,0,20
22,0,76213,21
23,0,36614,22
24,0,36615,23
25,0,37322,24
26,0,83176,25
27,0,85711,26
28,0,87008,27
29,0,85780,28
30,0,87297,29
31,0,86408,30
32,0,51985,31
33,0,51984,32
34,0,38882,33
35,0,52978,34
36,0,52122,35
37,0,51601,36
38,0,27098,37
39,0,27098,38
40,0,51986,39
41,0,46931,40
42,42674,0,41
43,61054,0,42
44,61060,0,43
45,42321,0,44
46,42689,0,45
47,42692,0,46
48,42675,0,47
49,42318,0,48
50,42547,0,49
51,42619,0,50
52,42627,0,51
53,42628,0,52
54,42655,0,53
55,42658,0,54
56,61218,0,55
57,13018,0,56
58,12997,0,57
59,12582,0,58
60,13049,0,59
61,11257,0,60
62,40504,0,61
63,20595,0,62
64,40859,0,63
65,40210,0,64
66,13475,0,65
67,13477,0,66
68,13473,0,67
69,19408,0,68
70,0,30612,69
71,11340,0,70
72,17529,0,71
73,19507,0,72
74,5442,0,73
75,10698,0,74
76,11258,0,75
77,4859,0,76
78,8316,0,77
79,5245,0,78
80,13723,0,79
81,10398,0,80
82,10996,0,81
83,5223,0,82
84,213,0,83
85,40612,0,84
86,200,0,85
87,231,0,86
88,158,0,87
89,229,0,88
90,167,0,89
91,221,0,90
92,1153,0,91
93,222,0,92
94,212,0,93
95,1157,0,94
96,6981,0,95
97,6981,0,96
98,42189,0,97
99,42187,0,98
100,42188,0,99
101,61467,0,100
102,40542,0,101
103,0,50963,102
104,0,47188,103
105,0,47250,104
106,0,50808,105
107,0,47741,106
108,0,48554,107
109,0,47874,108
110,0,53720,109
111,0,50972,110
112,0,48089,111
113,0,51401,112
114,0,47489,113
115,0,55045,114
116,0,50611,115
117,0,53887,116
118,0,50783,117
119,0,42622,118
120,0,42590,119
121,0,39496,120
122,0,39614,121
123,0,39780,122
124,0,39117,123
125,0,14402,124
126,0,46107,125
127,0,24675,126
128,0,26760,127
129,0,82895,128
130,0,79530,129
131,0,82144,130
132,0,78761,131
133,0,78999,132
134,0,79703,133
135,0,83160,134
136,0,78759,135
137,0,55736,136
138,0,31230,137
139,0,32816,138
140,0,42489,139
141,0,44052,140
142,0,41915,141
143,0,43318,142
144,0,44955,143
145,0,44756,144
146,0,71097,145
147,0,70880,146
148,0,72935,147
149,0,59583,148
150,0,54,149
151,0,26297,150
152,0,30526,151
153,0,12227,152
154,0,26270,153
155,0,26390,154
156,0,543,155
157,0,35176,156
158,0,114,157
159,0,60,158
160,0,53566,159
161,0,28064,160
162,0,28244,161
163,0,28655,162
164,0,26868,163
165,0,28035,164
166,0,42751,165
167,0,38147,166
168,0,40890,167
169,0,38663,168
170,0,78864,169
171,0,40573,170
172,0,40573,171
173,0,40321,172
174,0,36169,173
175,0,33256,174
176,0,34792,175
177,0,34792,176
178,0,47691,177
179,0,44004,178
180,0,70745,179
181,0,27550,180
182,0,28337,181
183,0,26754,182
184,0,7604,183
185,0,39426,184
186,0,39992,185
187,0,39305,186
188,0,39387,187
189,0,39579,188
190,0,39801,189
191,0,77283,190
192,0,67063,191
193,0,67047,192
194,0,37470,193
195,0,66001,194
196,0,26229,195
197,0,84675,196
198,0,39772,197
199,0,35196,198
200,0,35685,199
201,0,34099,200
202,0,35396,201
203,0,36592,202
204,0,36404,203
205,0,36202,204
206,0,34586,205
207,0,34192,206
208,0,26397,207
212,0,78642,208
213,0,80516,209
214,0,79565,210
215,0,79510,211
216,0,41143,212
217,0,40230,213
218,0,11566,214
219,11699,0,215
220,9415,0,216
221,0,35896,217
222,0,35671,218
223,0,33582,219
224,0,35704,220
225,0,35273,221
227,0,30000,246
228,0,39487,249
229,0,48897,250
230,0,47432,250
231,0,26187,251
232,0,25720,251
233,0,54992,252
234,0,55651,252
235,0,28425,253
236,0,28183,253
237,0,82141,254
238,0,86820,255
239,40953,0,256
240,40953,0,257
241,61451,0,258
242,42270,0,259
243,42271,0,260
244,42272,0,261
245,42273,0,262
246,42274,0,263
247,42275,0,264
248,42276,0,265
249,42277,0,266
250,42279,0,267
251,42280,0,268
252,42281,0,269
253,42282,0,270
254,61451,0,271
255,61467,0,272
256,62402,0,273
