Requirement_lang,ID,TraitCurrencyID,Amount,QuestID,AchievementID,PlayerLevel,TraitNodeEntryID,SuperDistrictSetID,OrderIndex
Level 10,36242,3820,1,0,0,10,0,0,0
Level 11,36243,3820,1,0,0,11,0,0,0
Level 12,36244,3820,1,0,0,12,0,0,0
Level 13,36245,3820,1,0,0,13,0,0,0
Level 14,36246,3820,1,0,0,14,0,0,0
Level 15,36247,3820,1,0,0,15,0,0,0
Level 16,36248,3820,1,0,0,16,0,0,0
Level 17,36249,3820,1,0,0,17,0,0,0
Level 18,36250,3820,1,0,0,18,0,0,0
Level 19,36251,3820,1,0,0,19,0,0,0
Level 20,36252,3820,1,0,0,20,0,0,0
Level 21,36253,3820,1,0,0,21,0,0,0
Level 22,36254,3820,1,0,0,22,0,0,0
Level 23,36255,3820,1,0,0,23,0,0,0
Level 24,36256,3820,1,0,0,24,0,0,0
Level 25,36257,3820,1,0,0,25,0,0,0
Level 26,36258,3820,1,0,0,26,0,0,0
Level 27,36259,3820,1,0,0,27,0,0,0
Level 28,36260,3820,1,0,0,28,0,0,0
Level 29,36261,3820,1,0,0,29,0,0,0
Level 30,36262,3820,1,0,0,30,0,0,0
Level 31,36263,3820,1,0,0,31,0,0,0
Level 32,36264,3820,1,0,0,32,0,0,0
Level 33,36265,3820,1,0,0,33,0,0,0
Level 34,36266,3820,1,0,0,34,0,0,0
Level 35,36267,3820,1,0,0,35,0,0,0
Level 36,36268,3820,1,0,0,36,0,0,0
Level 37,36269,3820,1,0,0,37,0,0,0
Level 38,36270,3820,1,0,0,38,0,0,0
Level 39,36271,3820,1,0,0,39,0,0,0
Level 40,36272,3820,1,0,0,40,0,0,0
Level 41,36273,3820,1,0,0,41,0,0,0
Level 42,36274,3820,1,0,0,42,0,0,0
Level 43,36275,3820,1,0,0,43,0,0,0
Level 44,36276,3820,1,0,0,44,0,0,0
Level 45,36277,3820,1,0,0,45,0,0,0
Level 46,36278,3820,1,0,0,46,0,0,0
Level 47,36279,3820,1,0,0,47,0,0,0
Level 48,36280,3820,1,0,0,48,0,0,0
Level 49,36281,3820,1,0,0,49,0,0,0
Level 50,36282,3820,1,0,0,50,0,0,0
Level 51,36283,3820,1,0,0,51,0,0,0
Level 52,36284,3820,1,0,0,52,0,0,0
Level 53,36285,3820,1,0,0,53,0,0,0
Level 54,36286,3820,1,0,0,54,0,0,0
Level 55,36287,3820,1,0,0,55,0,0,0
Level 56,36288,3820,1,0,0,56,0,0,0
Level 57,36289,3820,1,0,0,57,0,0,0
Level 58,36290,3820,1,0,0,58,0,0,0
Level 59,36291,3820,1,0,0,59,0,0,0
Level 60,36292,3820,1,0,0,60,0,0,0
Reach Level 25 for the first time on a Warrior,37077,4225,1,0,61499,0,0,60,0
Reach Level 45 for the first time on a Warrior,37085,4225,1,0,61500,0,0,60,0
Reach Level 60 for the first time on a Warrior,37086,4225,1,0,61501,0,0,60,0
Reach Level 25 for the first time on a Druid,37087,4225,1,0,61502,0,0,60,0
Reach Level 45 for the first time on a Druid,37088,4225,1,0,61503,0,0,60,0
Reach Level 60 for the first time on a Druid,37089,4225,1,0,61504,0,0,60,0
Reach Level 25 for the first time on a Hunter,37090,4225,1,0,61989,0,0,60,0
Reach Level 45 for the first time on a Hunter,37091,4225,1,0,61992,0,0,60,0
Reach Level 60 for the first time on a Hunter,37092,4225,1,0,61993,0,0,60,0
Reach Level 25 for the first time on a Mage,37093,4225,1,0,61994,0,0,60,0
Reach Level 45 for the first time on a Mage,37094,4225,1,0,61995,0,0,60,0
Reach Level 60 for the first time on a Mage,37095,4225,1,0,61996,0,0,60,0
Reach Level 25 for the first time on a Paladin,37096,4225,1,0,61997,0,0,60,0
Reach Level 45 for the first time on a Paladin,37097,4225,1,0,61998,0,0,60,0
Reach Level 60 for the first time on a Paladin,37098,4225,1,0,61999,0,0,60,0
Reach Level 25 for the first time on a Priest,37099,4225,1,0,62000,0,0,60,0
Reach Level 45 for the first time on a Priest,37100,4225,1,0,62001,0,0,60,0
Reach Level 60 for the first time on a Priest,37101,4225,1,0,62002,0,0,60,0
Reach Level 25 for the first time on a Rogue,37102,4225,1,0,62003,0,0,60,0
Reach Level 45 for the first time on a Rogue,37103,4225,1,0,62004,0,0,60,0
Reach Level 60 for the first time on a Rogue,37104,4225,1,0,62005,0,0,60,0
Reach Level 25 for the first time on a Shaman,37105,4225,1,0,62006,0,0,60,0
Reach Level 45 for the first time on a Shaman,37106,4225,1,0,62007,0,0,60,0
Reach Level 60 for the first time on a Shaman,37107,4225,1,0,62008,0,0,60,0
Reach Level 25 for the first time on a Warlock,37108,4225,1,0,62009,0,0,60,0
Reach Level 45 for the first time on a Warlock,37109,4225,1,0,62010,0,0,60,0
Reach Level 60 for the first time on a Warlock,37110,4225,1,0,62011,0,0,60,0
Reach 150 skill in Alchemy,37111,4225,1,0,62012,0,0,60,0
Reach 225 skill in Alchemy,37112,4225,1,0,62013,0,0,60,0
Reach 300 skill in Alchemy,37113,4225,1,0,62014,0,0,60,0
Reach 150 skill in Blacksmithing,37114,4225,1,0,62015,0,0,60,0
Reach 225 skill in Blacksmithing,37115,4225,1,0,62016,0,0,60,0
Reach 300 skill in Blacksmithing,37116,4225,1,0,62017,0,0,60,0
Reach 150 skill in Enchanting,37117,4225,1,0,62018,0,0,60,0
Reach 225 skill in Enchanting,37118,4225,1,0,62019,0,0,60,0
Reach 300 skill in Enchanting,37119,4225,1,0,62020,0,0,60,0
Reach 150 skill in Engineering,37120,4225,1,0,62021,0,0,60,0
Reach 225 skill in Engineering,37121,4225,1,0,62022,0,0,60,0
Reach 300 skill in Engineering,37122,4225,1,0,62023,0,0,60,0
Reach 150 skill in Leatherworking,37123,4225,1,0,62024,0,0,60,0
Reach 225 skill in Leatherworking,37124,4225,1,0,62025,0,0,60,0
Reach 300 skill in Leatherworking,37125,4225,1,0,62026,0,0,60,0
Reach 150 skill in Tailoring,37126,4225,1,0,62028,0,0,60,0
Reach 225 skill in Tailoring,37127,4225,1,0,62029,0,0,60,0
Reach 300 skill in Tailoring,37128,4225,1,0,62030,0,0,60,0
"Complete the questline beginning with an Earnest Proposition, and ending with Saving the Best for Last.",37129,4225,1,0,62054,0,0,60,0
Have a character with the Explore Azeroth achievement.,37130,4225,1,0,62382,0,0,60,0
Complete the Ruins of Loradaeron and Excavation: Wetlands dungeons.,37131,4225,1,0,62031,0,0,60,0
"Complete the City of Dalaran, Drowned City, and Krol'Dok Stronghold dungeons.",37132,4225,1,0,62032,0,0,60,0
"Complete the Alcaz Island, Timbermaw Hold, and Shaper's Terrace dungeons.",37133,4225,1,0,62033,0,0,60,0
Complete the Hyjal Summit raid.,37134,4225,1,0,62034,0,0,60,0
Complete the Barrow Deeps raid.,37135,4225,1,0,62035,0,0,60,0
Reach the rank of Sergeant in the Player vs. Player Honor System.,37136,4225,1,0,62041,0,0,60,0
Reach the rank of Knight-Lieutenant or Blood Guard in the Player vs. Player Honor System.,37137,4225,1,0,62042,0,0,60,0
Reach the rank of Commander or Champion in the Player vs. Player Honor System.,37138,4225,1,0,62043,0,0,60,0
Reach the rank of Field Marshal or Warlord in the Player vs. Player Honor System.,37139,4225,1,0,62044,0,0,60,0
Reach the rank of Grand Marshal or High Warlord in the Player vs. Player Honor System.,37140,4225,1,0,62045,0,0,60,0
Reach exalted reputation with the Frostwolf Clan or Stormpike Guard.,37141,4225,1,0,62046,0,0,60,0
Reach exalted reputation with the Defilers or League of Arathor.,37142,4225,1,0,62047,0,0,60,0
Reach exalted reputation with the Warsong Outriders or Silverwing Sentinels.,37143,4225,1,0,62048,0,0,60,0
Reach exalted reputation with the horde or alliance faction at the Southseas Archipelago battleground.,37144,4225,1,0,62049,0,0,60,0
Talented Rank 1 (Level 9),37163,3820,1,0,0,9,136852,0,0
Talented Rank 2 (Level 8),37164,3820,1,0,0,8,137374,0,0
Talented Rank 3 (Level 7),37165,3820,1,0,0,7,137373,0,0
Talented Rank 4 (Level 6),37166,3820,1,0,0,6,137372,0,0
Talented Rank 5 (Level 5),37167,3820,1,0,0,5,137371,0,0
Complete Onyxia's Lair.,37179,4225,1,0,684,0,0,60,0
Complete Week 4 of the Field of Honor Journey.,37182,4225,1,0,63340,0,0,60,0
Complete Week 7 of the Field of Honor Journey.,37183,4225,1,0,63341,0,0,60,0
Complete Week 10 of the Field of Honor Journey.,37184,4225,1,0,63342,0,0,60,0
Reach Level 25 for the first time on a Warrior,38797,4225,1,0,63969,0,0,61,0
Reach Level 45 for the first time on a Warrior,38798,4225,1,0,63970,0,0,61,0
Reach Level 60 for the first time on a Warrior,38799,4225,1,0,63971,0,0,61,0
Reach Level 25 for the first time on a Druid,38800,4225,1,0,63972,0,0,61,0
Reach Level 45 for the first time on a Druid,38801,4225,1,0,63973,0,0,61,0
Reach Level 60 for the first time on a Druid,38802,4225,1,0,63974,0,0,61,0
Reach Level 25 for the first time on a Hunter,38803,4225,1,0,63975,0,0,61,0
Reach Level 45 for the first time on a Hunter,38804,4225,1,0,63976,0,0,61,0
Reach Level 60 for the first time on a Hunter,38805,4225,1,0,63977,0,0,61,0
Reach Level 25 for the first time on a Mage,38806,4225,1,0,63978,0,0,61,0
Reach Level 45 for the first time on a Mage,38807,4225,1,0,63979,0,0,61,0
Reach Level 60 for the first time on a Mage,38808,4225,1,0,63980,0,0,61,0
Reach Level 25 for the first time on a Paladin,38809,4225,1,0,63981,0,0,61,0
Reach Level 45 for the first time on a Paladin,38810,4225,1,0,63982,0,0,61,0
Reach Level 60 for the first time on a Paladin,38811,4225,1,0,63983,0,0,61,0
Reach Level 25 for the first time on a Priest,38812,4225,1,0,63984,0,0,61,0
Reach Level 45 for the first time on a Priest,38813,4225,1,0,63985,0,0,61,0
Reach Level 60 for the first time on a Priest,38814,4225,1,0,63986,0,0,61,0
Reach Level 25 for the first time on a Rogue,38815,4225,1,0,63987,0,0,61,0
Reach Level 45 for the first time on a Rogue,38816,4225,1,0,63988,0,0,61,0
Reach Level 60 for the first time on a Rogue,38817,4225,1,0,63989,0,0,61,0
Reach Level 25 for the first time on a Shaman,38818,4225,1,0,63990,0,0,61,0
Reach Level 45 for the first time on a Shaman,38819,4225,1,0,63991,0,0,61,0
Reach Level 60 for the first time on a Shaman,38820,4225,1,0,63992,0,0,61,0
Reach Level 25 for the first time on a Warlock,38821,4225,1,0,63993,0,0,61,0
Reach Level 45 for the first time on a Warlock,38822,4225,1,0,63994,0,0,61,0
Reach Level 60 for the first time on a Warlock,38823,4225,1,0,63995,0,0,61,0
Reach 150 skill in Alchemy,38824,4225,1,0,63996,0,0,61,0
Reach 225 skill in Alchemy,38825,4225,1,0,63997,0,0,61,0
Reach 300 skill in Alchemy,38826,4225,1,0,63998,0,0,61,0
Reach 150 skill in Blacksmithing,38827,4225,1,0,63999,0,0,61,0
Reach 225 skill in Blacksmithing,38828,4225,1,0,64000,0,0,61,0
Reach 300 skill in Blacksmithing,38829,4225,1,0,64001,0,0,61,0
Reach 150 skill in Enchanting,38830,4225,1,0,64002,0,0,61,0
Reach 225 skill in Enchanting,38831,4225,1,0,64003,0,0,61,0
Reach 300 skill in Enchanting,38832,4225,1,0,64004,0,0,61,0
Reach 150 skill in Engineering,38833,4225,1,0,64005,0,0,61,0
Reach 225 skill in Engineering,38834,4225,1,0,64006,0,0,61,0
Reach 300 skill in Engineering,38835,4225,1,0,64007,0,0,61,0
Reach 150 skill in Leatherworking,38836,4225,1,0,64008,0,0,61,0
Reach 225 skill in Leatherworking,38837,4225,1,0,64009,0,0,61,0
Reach 300 skill in Leatherworking,38838,4225,1,0,64010,0,0,61,0
Reach 150 skill in Tailoring,38839,4225,1,0,64011,0,0,61,0
Reach 225 skill in Tailoring,38840,4225,1,0,64012,0,0,61,0
Reach 300 skill in Tailoring,38841,4225,1,0,64013,0,0,61,0
"Complete the questline beginning with an Earnest Proposition, and ending with Saving the Best for Last.",38842,4225,1,0,64014,0,0,61,0
Have a character with the Explore Azeroth achievement.,38843,4225,1,0,64015,0,0,61,0
Complete the Ruins of Loradaeron and Excavation: Wetlands dungeons.,38844,4225,1,0,64016,0,0,61,0
"Complete the City of Dalaran, Drowned City, and Krol'Dok Stronghold dungeons.",38845,4225,1,0,64017,0,0,61,0
"Complete the Alcaz Island, Timbermaw Hold, and Shaper's Terrace dungeons.",38846,4225,1,0,64018,0,0,61,0
Complete the Hyjal Summit raid.,38847,4225,1,0,64019,0,0,61,0
Complete the Barrow Deeps raid.,38848,4225,1,0,64020,0,0,61,0
Reach the rank of Sergeant in the Player vs. Player Honor System.,38849,4225,1,0,64021,0,0,61,0
Reach the rank of Knight-Lieutenant or Blood Guard in the Player vs. Player Honor System.,38850,4225,1,0,64022,0,0,61,0
Reach the rank of Commander or Champion in the Player vs. Player Honor System.,38851,4225,1,0,64023,0,0,61,0
Reach the rank of Field Marshal or Warlord in the Player vs. Player Honor System.,38852,4225,1,0,64024,0,0,61,0
Reach the rank of Grand Marshal or High Warlord in the Player vs. Player Honor System.,38853,4225,1,0,64025,0,0,61,0
Reach exalted reputation with the Frostwolf Clan or Stormpike Guard.,38854,4225,1,0,64026,0,0,61,0
Reach exalted reputation with the Defilers or League of Arathor.,38855,4225,1,0,64027,0,0,61,0
Reach exalted reputation with the Warsong Outriders or Silverwing Sentinels.,38856,4225,1,0,64028,0,0,61,0
Reach exalted reputation with the horde or alliance faction at the Southseas Archipelago battleground.,38857,4225,1,0,64029,0,0,61,0
Complete Onyxia's Lair.,38858,4225,1,0,64030,0,0,61,0
Complete Week 4 of the Field of Honor Journey.,38859,4225,1,0,64031,0,0,61,0
Complete Week 7 of the Field of Honor Journey.,38860,4225,1,0,64032,0,0,61,0
Complete Week 10 of the Field of Honor Journey.,38861,4225,1,0,64033,0,0,61,0
