ID,ZoneIntroMusicID,ZoneMusicID,SoundAmbienceID,SoundProviderPreferencesID,Flags
1,0,0,1170,0,0
7,1118,1419,1161,0,0
13,0,0,1218,0,0
14,0,0,1218,0,0
15,0,1465,0,0,0
16,0,1502,0,0,0
17,0,1508,0,0,0
18,0,1511,0,0,0
19,0,1512,0,0,0
20,0,1513,0,0,0
21,0,1518,0,0,0
22,0,0,0,0,0
23,0,0,1009,0,0
24,0,1614,0,0,0
25,0,0,1396,0,0
26,0,0,1475,0,0
27,0,0,1478,0,0
28,0,0,1452,0,0
31,0,1668,1452,0,0
32,0,1696,1452,0,0
33,1208,1696,1452,0,0
34,0,1700,0,0,0
35,0,1689,0,0,0
36,0,1725,0,0,0
37,0,1730,0,0,0
38,0,1731,0,0,0
39,0,1729,0,0,0
40,0,1750,0,0,0
41,0,1755,0,0,0
42,0,1756,0,0,0
43,0,1757,0,0,0
44,0,1720,0,0,0
45,0,1775,1540,0,0
46,1231,0,0,0,0
47,0,0,1563,0,0
48,1236,0,0,0,0
49,0,1831,1222,0,0
50,0,1830,1573,0,0
51,0,1831,1573,0,0
52,0,1863,0,0,0
53,0,1864,0,0,0
54,0,1862,0,0,0
55,0,1872,0,0,0
56,0,1873,0,0,0
57,0,0,1627,0,0
58,0,1899,0,0,0
59,0,1900,0,0,0
60,0,1910,0,0,0
61,0,0,1636,0,0
63,0,1930,0,0,0
64,0,1931,0,0,0
65,0,1932,0,0,0
66,0,1920,0,0,0
67,0,0,1645,0,0
68,0,0,1640,0,0
69,0,0,1655,0,0
70,0,0,1655,0,1
71,0,0,1640,0,0
72,0,0,1665,0,0
73,0,0,1666,0,0
75,0,0,1639,0,0
76,0,0,1570,0,0
77,0,0,1611,0,0
78,0,0,1670,0,0
79,0,0,1663,0,0
80,0,0,1571,0,0
182,0,0,1715,0,0
183,0,0,1830,0,0
184,0,0,1715,0,0
185,0,0,1835,0,0
186,0,0,1836,0,0
187,0,0,1838,0,0
188,1369,0,0,0,0
189,0,2091,0,0,0
190,1384,0,0,0,0
191,1254,2104,0,0,0
