Word,ID
Алое ядро,413694
Алый крестоносец,413695
Артиллерист Алого ордена,413696
Архимаг Нилус Премудрый,413697
Беженец из Нового Авалона,413698
Беженка из Нового Авалона,413699
Боевой орудийный ловчий,413700
Боец пехоты Алого ордена,413701
Верховный рыцарь Калдоран,413702
Всадница из ордена Серебряного Рассвета,413703
Главнокомандующая Беатриса,413704
Гриффин Роуэн,413705
Густав,413706
Двиба,413707
Джонни Большое Сердце,413708
Инквизитор Алого ордена Калдоран,413709
Инквизитор Тенн Огненный,413710
Капитан Бузен,413711
Капитан Джорн,413712
Капитан Кранвельд,413713
Капитан Манадар,413714
Кардинал Мартелл,413715
Командир Беатриса,413716
Командир Гранис Молотобоец,413717
Леонид Барталомей,413718
Лилиана Барталомей,413719
Магический оберег,413720
Мастер шпионажа Рики Висмут,413721
Морлун Могучий,413722
Наемник из братства Восточных Морей,413723
Насыщенный Светом дракончик,413724
Отвлеченная волшебница из Алого ордена,413725
Отвлеченный волшебник из Алого ордена,413726
Персиваль Барталомей,413727
Повелитель зверей Алексей,413728
Разведчица из ордена Серебряного Рассвета,413729
Рыцарь Калдоран,413730
Рыцарь Стерн,413731
Рыцарь Феррис,413732
Рыцарь-капитан Калдоран,413733
Священница из ордена Серебряного Рассвета,413734
Сержант Алого ордена,413735
Скоролента Среброверт,413736
Солистраза,413737
Фидриэль,413738
Частица возможностей,413739
