ID,Name_lang,ResearchFieldID,CurrencyID,TextureFileID,BigTextureFileID,ItemID
1,Dwarf,1,384,461831,461832,52843
2,Draenei,1,398,461829,461830,64394
3,Fossil,1,393,461833,461834,0
4,Night Elf,1,394,461837,461838,63127
5,Nerubian,1,400,461835,461836,64396
6,Orc,1,397,462321,462322,64392
7,Tol'vir,1,401,461839,461840,64397
8,Troll,1,385,461841,461842,63128
27,Vrykul,1,399,461843,461844,64395
29,Mantid,1,754,839111,839112,95373
229,Pandaren,1,676,633002,633003,79868
231,Mogu,1,677,633000,633001,79869
315,Arakkoa,1,829,1030616,1030821,109585
350,Draenor Clans,1,821,1030617,1030822,108439
382,Ogre,1,828,1030618,1030823,109584
404,Highborne,1,1172,1445575,1445576,130903
406,Highmountain Tauren,1,1173,1445577,1445578,130904
408,Demonic,1,1174,1445573,1445574,130905
423,Zandalari,1,1534,2060051,2060052,154989
424,Drust,1,1535,2060049,2060050,154990
