ID,MinLevel,MaxLevel,Field_9_0_1_35522_003Min,Field_9_0_1_35522_003Max,FactionTemplateID,ContentTuningID,Flags[0],Flags[1],Flags[2],Flags[3],Flags[4],Flags[5],Flags[6],Flags[7],Flags[8],CreatureID
2671,1,1,0,0,35,0,1065062,0,0,524288,16777216,0,0,0,0,2671
7380,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7380
7381,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7381
7382,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7382
7383,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7383
7384,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7384
7385,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7385
7386,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7386
7387,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7387
7388,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7388
7389,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7389
7390,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7390
7391,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7391
7392,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7392
7394,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7394
7395,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7395
7543,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7543
7544,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7544
7545,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7545
7546,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7546
7547,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7547
7548,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7548
7549,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7549
7550,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7550
7551,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7551
7552,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7552
7553,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7553
7554,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7554
7555,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7555
7556,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7556
7558,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7558
7559,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7559
7560,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7560
7561,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7561
7562,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7562
7565,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7565
7566,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7566
7567,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7567
7568,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7568
7569,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7569
7570,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,7570
8376,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,8376
9656,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,9656
9657,1,1,0,0,188,0,102,0,0,524288,16777216,0,0,0,0,9657
9662,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,9662
9936,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,9936
10259,1,1,-52,-52,188,5239,102,0,0,524288,16777216,0,0,0,0,10259
10598,1,1,-52,-52,188,5239,102,0,0,524288,16777216,0,0,0,0,10598
11236,1,1,0,0,188,0,102,0,0,524288,16777216,0,0,0,0,11236
11325,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,11325
11326,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,11326
11327,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,11327
12419,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,12419
14421,1,1,0,0,31,0,102,0,0,524288,16777216,0,0,0,0,14421
14629,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,14629
14630,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,14630
14631,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,14631
14632,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,14632
14633,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,14633
14755,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,14755
14756,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,14756
14878,5,5,0,0,1555,0,102,0,0,524288,16777216,0,0,0,0,14878
15186,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,15186
15356,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,15356
15357,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,15357
15358,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,15358
15359,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,15359
15360,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,15360
15361,1,1,0,0,188,0,102,0,0,524288,16777216,0,0,0,0,15361
15429,5,5,0,0,1555,0,268959846,0,0,524288,16777216,0,0,0,0,15429
15661,1,1,0,0,188,0,268697702,0,0,524288,16777216,0,0,0,0,15661
15698,1,1,0,0,188,0,102,0,0,524288,16777216,0,0,0,0,15698
15699,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,15699
15705,1,1,0,0,188,0,102,0,0,524288,16777216,0,0,0,0,15705
15706,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,15706
15710,1,1,0,0,188,0,358,0,0,524288,16777216,0,0,0,0,15710
16069,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,16069
16085,1,1,0,0,188,0,102,0,0,524288,16777216,0,0,0,0,16085
16445,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,16445
16456,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,16456
16547,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,16547
16548,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,16548
16549,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,16549
16701,1,1,0,0,188,0,268959846,0,0,524288,16777216,0,0,0,0,16701
17254,1,1,0,0,188,0,102,0,0,524288,16777216,0,0,0,0,17254
17255,1,1,0,0,188,0,102,0,0,524288,16777216,0,0,0,0,17255
19451,1,1,0,0,35,181,570425952,0,0,0,16777216,0,0,0,0,61544
20739,1,1,0,0,188,371,102,0,0,0,16777216,0,0,0,0,23909
29522,1,1,0,0,35,0,268959846,0,0,0,16777728,0,0,0,0,55574
29529,1,1,0,0,35,0,268959846,0,0,0,16777728,0,0,0,0,55571
