ID,Name
1681,18년
1682,18놈
1683,18새끼
1705,\bgarona\b
1708,\bguldan\b
1715,\blothar\b
1716,\bmalthar\b
1727,\bthrall\b
1797,gamemaster
1823,metzen
1830,morhaime
1934,개인정보보호관리자
1935,개인정보보호책임자
1958,게임관리자
1959,게임마스터
1961,겜마
1962,고객지원과장
1963,고객지원팀
1964,고객지원팀장
1966,그리스도
1967,김일성
1968,김정일
1990,뉘마
1991,뉘망
1992,뉘이마
1993,뉘이망
1994,뉘임아
1995,뉘임앙
1996,뉨두라
1997,뉨두랑
1998,뉨둘라
1999,뉨둘아
2000,뉨둘앙
2001,뉨드라
2002,뉨드랑
2003,뉨들아
2004,뉨들앙
2005,뉨아
2006,뉨앙
2008,늬마
2009,늬망
2010,늬아
2011,늬이마
2012,늬이망
2013,늬임앙
2014,늼두라
2015,늼두랑
2016,늼둘라
2017,늼둘아
2018,늼둘앙
2019,늼드라
2020,늼드랑
2021,늼들아
2022,늼들앙
2023,늼앙
2025,니마
2026,니망
2036,니이마
2037,니이망
2038,니임아
2039,니임앙
2041,님두라
2042,님두랑
2043,님둘라
2044,님둘아
2045,님둘앙
2046,님드라
2047,님드랑
2048,님들아
2049,님들앙
2050,님아
2051,님앙
2071,마리아
2072,마약
2098,버그담당
2099,버그테스터
2100,버그테스트
2166,부처
2167,북조선
2168,북한
2177,블리자드
2178,비뱅디
2179,비벤디
2180,비벤디겜마
2181,비벤디고객지원팀
2182,비벤디사장
2183,비벤디코리아
2184,비붼디
2196,서버관리자
2197,석가모니
2201,성모마리아
2210,시바
2216,시스템관리자
2312,알라
2322,양귀비
2324,양키
2339,예수
2340,예수그리스도
2341,예수님
2342,예수쟁이
2353,운영실장
2354,운영자
2355,운영진
2356,운영팀장
2374,인드라
2375,인민
2376,인민공화국
2452,조선인민공화국
2513,짱께
2515,쪽바리
2525,코란
2526,코쟁이
2527,코카인
2533,하나님
2534,하느님
2556,히로뽕
2564,\balexstrasza\b
2565,\barchimonde\b
2566,\barthas\b
2568,\bcenarius\b
2570,\bdoomhammer\b
2571,\belune\b
2572,\bfandral\b
2573,\bgrom\b
2574,\bhellscream\b
2575,\billidan\b
2576,\bkaelthas\b
2577,\bkelthuzad\b
2578,\bkiljaeden\b
2579,\blichking\b
2580,\blightbringer\b
2582,\bmalfurion\b
2583,\bmalygos\b
2584,\bmannoroth\b
2585,\bmedivh\b
2586,\bneltharion\b
2587,\bnerzhul\b
2588,\bnozdormu\b
2589,\borgrim\b
2590,\bproudmoore\b
2591,\bsargeras\b
2592,\bsenjin\b
2593,\bstaghelm\b
2594,\bstormrage\b
2595,\bsylvanas\b
2596,\bterenas\b
2598,\btyrande\b
2599,\buther\b
2600,\bvarimathras\b
2601,\bvoljin\b
2602,\bwhisperwind\b
2603,\bysera\b
2604,\bzuljin\b
2608,blizzard
2610,battlenet
2611,warcraft
2621,\btigole\b
2622,\bkalgan\b
