ID,MinItemLevel,ItemLevelSelectorQualitySetID,AzeriteUnlockMappingSetID
1,50,2,0
2,48,0,0
6,0,0,0
7,45,1,0
8,45,1,0
9,46,1,0
11,44,1,0
12,50,2,0
13,50,2,0
14,50,0,0
15,50,0,0
16,50,2,0
17,50,2,0
18,50,2,0
19,50,2,0
20,50,2,0
21,50,2,0
23,50,2,0
24,50,2,0
25,50,2,0
26,50,2,0
27,50,2,0
28,50,2,0
30,50,0,0
31,50,0,0
32,50,0,0
33,50,0,0
34,50,2,0
35,50,2,0
40,50,2,0
41,50,2,0
42,50,2,0
43,50,2,0
44,50,2,0
45,50,2,0
46,50,2,0
47,50,2,0
48,50,2,0
49,50,2,0
50,50,2,0
51,50,2,0
52,50,2,0
53,50,2,0
54,50,2,0
55,50,2,0
56,50,2,0
57,50,2,0
58,50,2,0
59,50,2,0
60,50,2,0
61,50,2,0
62,50,2,0
63,50,2,0
64,45,1,0
65,45,1,0
66,46,1,0
67,46,1,0
68,46,1,0
69,47,1,0
70,47,1,0
71,44,1,0
72,50,2,0
73,50,2,0
74,50,2,0
75,50,2,0
76,50,2,0
77,50,2,0
78,50,2,0
79,50,2,0
80,50,2,0
81,50,2,0
82,50,2,0
83,50,2,0
84,50,2,0
85,50,2,0
86,50,2,0
87,50,2,0
88,50,2,0
89,50,2,0
90,50,2,0
91,50,2,0
92,50,2,0
93,50,2,0
94,50,2,0
95,50,2,0
96,50,2,0
97,50,2,0
98,50,2,0
99,50,2,0
100,50,2,0
101,50,2,0
102,50,2,0
103,50,2,0
104,50,2,0
105,50,2,0
106,50,2,0
107,50,2,0
108,50,2,0
109,50,2,0
110,50,2,0
111,50,2,0
112,50,2,0
113,50,2,0
114,50,2,0
115,50,2,0
116,50,2,0
117,50,2,0
118,50,2,0
119,50,2,0
120,50,2,0
121,50,2,0
122,50,2,0
123,50,2,0
124,50,2,0
127,50,2,0
128,50,2,0
129,50,2,0
130,51,2,0
131,50,2,0
132,50,2,0
133,51,2,0
134,50,2,0
135,50,2,0
136,50,2,0
137,50,2,0
138,50,2,0
139,50,2,0
140,50,2,0
141,50,2,0
142,50,2,0
143,50,2,0
144,50,2,0
145,51,2,0
146,50,2,0
147,50,2,0
148,50,2,0
149,50,2,0
150,50,2,0
151,50,2,0
152,50,2,0
153,50,2,0
154,50,2,0
155,50,2,0
156,50,2,0
157,50,2,0
158,50,2,0
159,50,2,0
160,50,2,0
161,50,2,0
162,50,2,0
163,50,2,0
164,50,2,0
165,50,2,0
166,50,2,0
167,50,2,0
168,50,2,0
169,50,2,0
170,50,2,0
171,50,2,0
172,50,2,0
173,50,2,0
174,50,2,0
175,50,2,0
176,50,2,0
177,50,2,0
178,50,2,0
179,50,2,0
180,50,2,0
181,50,2,0
182,50,2,0
183,50,2,0
184,50,2,0
185,50,2,0
186,50,2,0
187,50,2,0
188,50,2,0
189,50,2,0
190,50,2,0
191,50,2,0
192,50,2,0
193,50,2,0
194,50,2,0
195,50,2,0
196,50,2,0
197,50,2,0
198,51,2,0
199,50,2,0
200,50,2,0
201,50,2,0
202,50,2,0
203,50,2,0
204,51,2,0
205,50,2,0
206,50,2,0
207,50,2,0
208,50,2,0
