ID,ReqID,Value,ParentWidgetID
928,226,0,1640
929,228,0,1640
932,236,0,1640
933,238,0,1640
6783,219,1,1645
32974,219,1,1640
32975,511,0,1640
38657,725,0,6592
39731,725,0,6656
50152,8,0,7467
50155,11,0,7467
50158,190,1,7467
50160,191,1,7468
50162,191,1,7469
51495,725,0,7555
55981,219,1,7860
55982,511,0,7860
56707,502,0,7467
56708,503,0,7467
56709,546,0,7467
56710,218,5,7467
59192,725,0,1891
59193,499,0,1891
59194,725,0,1892
59195,499,0,1892
59197,725,0,1894
59198,499,0,1894
59199,725,0,1893
59200,499,0,1893
59201,511,0,1645
62330,414,0,1881
62331,254,0,1881
62332,500,0,1881
62333,253,100,1881
62334,276,0,1881
62335,252,50,1881
62336,725,0,1879
62337,499,0,1879
62338,725,0,1880
62339,499,0,1880
62340,725,0,1895
62341,499,0,1895
62342,725,0,1896
62343,499,0,1896
