GeoBox[0],GeoBox[1],GeoBox[2],GeoBox[3],GeoBox[4],GeoBox[5],FileDataID,Flags,LodCount,ModelResourcesID
1,1,1,-1,-1,-1,116902,0,0,18251
-759.5534,3.0009911E-05,-990.10394,-734.0587,3.5277943E-05,-964.6092,116903,0,0,18270
1,1,1,-1,-1,-1,116904,0,0,18269
1,1,1,-1,-1,-1,116905,0,0,18268
1,1,1,-1,-1,-1,116906,0,0,18267
1,1,1,-1,-1,-1,116907,0,0,18266
1,1,1,-1,-1,-1,116908,0,0,18265
1,1,1,-1,-1,-1,116909,0,0,18264
1,1,1,-1,-1,-1,116910,0,0,18263
1,1,1,-1,-1,-1,116911,0,0,18262
1,1,1,-1,-1,-1,116912,0,0,18261
1,1,1,-1,-1,-1,116913,0,0,18260
1,1,1,-1,-1,-1,116914,0,0,18259
1,1,1,-1,-1,-1,116915,0,0,18258
1,1,1,-1,-1,-1,116916,0,0,18257
1,1,1,-1,-1,-1,116917,0,0,18256
1,1,1,-1,-1,-1,116918,0,0,18255
1,1,1,-1,-1,-1,116919,0,0,18254
1,1,1,-1,-1,-1,116920,0,0,18253
-0.8454748,-0.436436,-0.011938711,0.35251945,0.295984,2.0131094,116921,0,0,18252
-0.5344888,-0.52001214,-0.026688771,0.37028652,0.43785134,2.2299294,117170,0,0,18250
-0.75576544,-0.7049471,-0.0007343339,0.33082056,0.7049471,2.1455402,117400,0,0,18247
-1.3757432,-0.8284615,-0.00381322,0.63896775,0.8293387,2.4799452,117412,0,0,18246
-0.7859314,-0.47844854,0.00011950914,0.36567104,0.46591568,2.5038605,117437,0,0,18245
-1.313738,-0.80837923,0.00070261036,0.59440273,0.7583642,2.6946223,117721,0,0,18272
-0.49062794,-0.46646884,-0.011875307,0.25826287,0.4717423,1.5744897,118135,0,0,18271
-0.6394637,-0.6407619,-0.029353783,0.40068576,0.60729265,1.5969806,118355,0,0,18239
-0.725227,-0.8744483,-0.0069444072,0.6737027,0.8533546,2.3508484,118652,0,0,18238
-0.73345375,-0.8743484,-0.0067685004,0.67647636,0.85348964,2.2943773,118653,0,0,18241
-0.725227,-0.77651924,-0.0069444072,0.6737027,0.8533546,2.2941477,118654,0,0,18236
-0.725227,-0.8744483,-0.0069444072,0.6737027,0.8533546,2.2941477,118667,0,0,18240
-0.92971253,-0.92271495,-0.05180571,0.8530289,0.98712426,2.793336,118798,0,0,18235
-0.4591967,-0.31755358,-0.0067650303,0.17699262,0.31437185,1.1494595,119063,0,0,18244
-0.46101028,-0.39121324,-0.005306723,0.31527025,0.4013837,1.3023707,119159,0,0,18243
-0.6650493,-0.49960685,-0.032379378,0.23005314,0.5176707,1.5457815,119369,0,0,18249
-0.50476867,-0.51798856,-0.035262242,0.47203296,0.5642731,1.3660315,119376,0,0,18248
-0.55400157,-0.35989934,-0.002055709,0.2759341,0.37054473,1.9250361,119563,0,0,18242
-0.57685214,-0.54434466,-0.012979832,0.36806434,0.5359022,2.1291986,119940,0,0,18230
-1.8063781,-0.73834026,-0.02010177,0.6027641,0.7471938,2.6311662,120263,0,0,18232
-1.6484411,-1.1039097,-0.045228794,0.8001448,1.1141948,2.8153868,120294,0,0,18229
-0.6518477,-0.3886406,-0.010613625,0.3454309,0.59020495,2.3570108,120590,0,0,18234
-0.71376777,-0.6178125,-0.011990085,0.30306414,0.63702863,2.594933,120791,0,0,18237
-0.73592293,-0.5246252,-0.010864587,0.30342075,0.5255269,2.1483037,121087,0,0,18233
-0.73345375,-0.8743484,-0.020740226,0.7453843,0.8534896,2.4164171,121287,0,0,18231
-0.5095091,-0.4416138,-0.0037722662,0.41487062,0.43128678,2.054849,121608,0,0,18198
-0.82305956,-0.5306338,-0.023391286,0.40610576,0.46342883,2.101368,121768,0,0,18203
-0.11749437,-0.11709321,0,0.11866347,0.11906464,0.1461373,121941,0,0,18152
-0.82521254,-0.5628149,-0.005536687,0.37616518,0.46334493,1.815309,121942,0,0,18151
-0.89779925,-0.6644218,-0.0035750223,0.54079926,0.6644217,2.2652373,121961,0,0,18150
-1.0706764,-0.8681931,-0.011649504,0.9877714,0.8584764,2.2488127,122055,0,0,18228
-0.7209647,-0.5728874,0.0018226746,0.2824286,0.4396824,2.6752763,122414,0,0,18205
-1.1072811,-0.67586476,0.0061410246,0.9083872,0.7366015,2.640865,122560,0,0,18204
-1.3343893,-1.1523671,-0.014800209,0.6621036,1.1427097,2.7951827,122738,0,0,18202
-1.2580023,-1.3405752,-0.11753415,1.0173287,1.3828335,5.093497,122815,0,0,18201
-1.2973876,-2.59769,0.055942915,0.79262376,2.5351877,4.204048,122866,0,0,18200
-1.5832117,-2.638772,-0.15647109,1.2927327,2.5124931,4.2046137,122870,0,0,18199
-1.39394,-1.6496575,0.40455374,1.0460415,1.5112822,2.7419024,122877,0,0,18227
-1.0711986,-0.94209343,-0.0038135704,0.6000527,0.8030923,2.3730888,122883,0,0,18226
-2.5410147,-4.041359,0.033179313,1.9344547,4.030257,5.404322,122886,0,0,18225
-2.5823479,-3.7386475,0.010690175,3.7567368,3.5895953,10.76053,122889,0,0,18224
-2.5823498,-3.9539938,0.010692008,3.766291,3.8193603,9.135679,122893,0,0,18223
-2.5823483,-3.73865,0.010689273,4.7441564,3.5895984,9.485638,122895,0,0,18222
-1.8368973,-2.8125868,-0.03268291,2.672276,2.9771843,6.281038,122899,0,0,18221
-1.6470768,-3.0907278,-0.034068942,1.8883848,2.6507719,7.511227,122906,0,0,18220
-0.7285147,-0.8992781,-0.04800217,0.973398,0.87078226,2.46504,122910,0,0,18219
-0.7285134,-0.9343741,-0.047999233,0.97339356,0.8707857,2.3959188,122914,0,0,18218
-0.7285155,-0.89927053,-0.048000045,0.97339535,0.87078524,2.4650366,122924,0,0,18217
-0.8548343,-1.7357187,0.0023228095,1.8645518,1.5360159,3.0446055,122952,0,0,18216
-1.4298687,-1.3745263,0.003566704,0.8711811,1.6936023,3.1375554,122953,0,0,18215
-1.5741379,-2.819219,-0.06054338,4.1420383,3.206416,4.74187,122955,0,0,18214
-1.9397367,-2.2919798,-0.13340484,2.0980747,2.1170306,4.1225915,122957,0,0,18213
-1.5870421,-3.401952,0.5045581,2.2526314,3.4354415,4.467901,122961,0,0,18212
-0.6330831,-0.5632773,-0.012354213,0.3519185,0.56013995,1.9944413,122965,0,0,18211
-0.9139293,-1.24582,-0.07683658,1.6166729,0.56663805,2.160921,122968,0,0,18210
-0.7427051,-0.6897681,-0.015329903,0.4559844,0.689473,1.9957457,122971,0,0,18209
-2.4191802,-2.68918,2.0960004,3.1970549,2.6207597,9.149561,122975,0,0,18208
-2.9843407,-1.3829862,-0.03871398,2.39211,1.3842734,1.6621552,122977,0,0,18207
-1.8724546,-1.7987957,-0.39058638,2.7189085,1.6594905,3.82433,122982,0,0,18206
-2.7242308,-1.7114547,-0.0076678167,2.4917717,1.6740346,4.153881,122988,0,0,17969
-2.4759758,-2.4912624,-0.062491518,2.256285,2.3055031,4.3505607,122994,0,0,17968
