ID,Name_lang,PlayerConditionID,VisibleTrackingQuestID,QuestFeedbackEffectID,Flags,MaxHeight,MinHeight,VignetteType,RewardQuestID,Field_1_15_6_58185_009
4,Vignette Test Kill,18071,0,89,0,0,0,0,0,0
5,Vignette Test Loot,18071,0,91,0,0,0,0,0,0
9,Vignette Test Event,10345,0,90,0,25,-25,0,0,0
33,Bloodtip,19147,0,89,0,0,0,0,0,0
34,Cracklefang,0,0,89,0,0,0,0,0,0
35,Vicejaw,0,0,89,0,0,0,0,0,0
36,Quid,0,0,89,0,0,0,0,0,0
37,Aetha,0,0,89,0,0,0,0,0,0
38,Spirit of Lao-Fe,0,0,89,0,0,0,0,0,0
39,Bai'Jin the Butcher,0,0,89,0,0,0,0,0,0
40,Gochao the Ironfist,19146,0,89,0,0,0,0,0,0
41,Gaohun the Soul-Severer,19147,0,89,0,0,0,0,0,0
42,General Temuja,0,0,89,0,0,0,0,0,0
43,Shadowmaster Sydow,0,0,89,0,0,0,0,0,0
44,Wulon,0,0,89,0,0,0,0,0,0
45,Huo-Shuang,19147,0,89,0,0,0,0,0,0
46,Baolai the Immolator,0,0,89,0,0,0,0,0,0
47,Vyraxxis,0,0,89,0,0,0,0,0,0
48,Kri'chon,0,0,89,0,0,0,0,0,0
49,Really Skunky Beer,0,0,90,0,50,-50,0,0,0
50,Zesqua,0,0,89,0,50,-50,0,0,0
51,Sunken Treasure,22051,0,88,0,50,-50,0,0,0
52,Zarhym Altogether,22056,0,90,0,50,-50,0,0,0
53,Cranegnasher,0,0,89,0,50,-50,0,0,0
54,Blackguard's Jetsam,22347,0,88,0,50,0,0,0,0
55,Kukuru's Treasure Cache,0,0,88,0,50,-50,0,0,0
56,Rope-Bound Treasure Chest,0,0,88,8,0,-30,0,0,0
57,Gleaming Treasure Chest,0,0,88,8,0,-50,0,0,0
58,Gleaming Treasure Satchel,0,0,88,8,50,-50,0,0,0
59,Chelon,0,0,89,0,50,-50,0,0,0
60,Karkanos,0,0,89,0,50,-50,0,0,0
61,Battle of the Barnacle,0,0,90,0,0,0,0,0,0
63,Moonfang,0,0,89,0,0,0,0,0,0
64,Cave-in,22415,0,90,0,50,-50,0,0,0
65,Ironfur Steelhorn,0,0,89,0,50,-50,0,0,0
66,Leafmender,0,0,89,0,0,-50,0,0,0
67,Great Turtle Furyshell,0,0,89,0,50,-50,0,0,0
68,Emerald Gander,0,0,89,0,50,-50,0,0,0
69,Gu'chi the Swarmbringer,0,0,89,0,50,-50,0,0,0
70,Spirit of Jadefire,22604,0,89,0,50,-50,0,0,0
71,Rattleskew,0,0,89,0,50,-50,0,0,0
72,Whizzig,0,0,90,0,50,-50,0,0,0
73,Zhu-Gon the Sour,0,0,89,0,50,-50,0,0,0
74,Spelurk,0,0,89,0,50,-50,0,0,0
75,Garnia,0,0,89,0,0,-100,0,0,0
76,Rock Moss,22604,0,89,0,50,-50,0,0,0
77,Cinderfall,0,0,89,0,0,-50,0,0,0
78,Tsavo'ka,0,0,89,0,50,-50,0,0,0
79,Huolon,0,0,89,0,0,-50,0,0,0
80,Monstrous Spineclaw,0,0,89,0,50,-50,0,0,0
81,Bufo,0,0,89,0,0,-50,0,0,0
82,Dread Ship Vazuvius,0,0,89,0,50,-50,0,0,0
83,Golganarr,0,0,89,0,50,-50,0,0,0
84,Imperial Python,0,0,89,0,50,-50,0,0,0
85,Evermaw,0,0,89,0,50,-50,0,0,0
86,Archiereus of Flame,0,0,89,0,0,-50,0,0,0
87,Watcher Osu,0,0,89,0,0,-30,0,0,0
88,Urdur the Cauterizer,0,0,89,0,0,-50,0,0,0
89,Jakur of Ordon,0,0,89,0,0,-30,0,0,0
90,Flintlord Gairan,0,0,89,0,0,-50,0,0,0
91,Champion of the Black Flame,0,0,89,32,0,-50,0,0,0
92,Gleaming Crane Statue,22067,0,90,8,0,-50,0,0,0
95,Stinkbraid,0,0,89,0,0,0,0,0,0
96,Ra'sha,0,0,89,0,0,-50,0,0,0
97,Willy Wilder,0,0,89,0,0,-50,0,0,0
98,Zandalari Warscout,0,0,89,0,0,-50,0,0,0
99,Muerta,0,0,89,0,0,-50,0,0,0
