ID,Field_9_0_1_33978_001,QuestID,BroadcastTextID,Field_10_0_7_48295_004,WorldEffectID,Field_9_0_1_33978_005,Field_9_0_1_33978_006,PlayerConditionID,CreatureID
5,0,0,194456,0,0,30,300000,79022,164473
6,0,0,194660,0,0,15,300000,0,166804
11,0,0,194915,0,0,30,10000000,0,167150
12,0,58212,194981,0,0,30,300000,76274,0
26,0,57727,0,0,14306,30,60000,0,0
27,0,0,195380,0,0,15,300000,79463,167429
28,0,0,195381,0,0,30,300000,79466,161988
30,0,0,0,0,14221,30,30000,79070,165794
32,0,0,195788,0,0,30,300000,79729,159946
34,0,57511,179741,0,0,30,300000,0,0
37,0,0,0,0,14509,30,300000,79832,166776
38,0,0,188504,0,0,30,300000,79836,164244
41,0,57264,0,0,14608,30,300000,0,0
42,0,0,0,0,12655,30,300000,79923,159762
50,0,0,0,0,14855,30,300000,80596,168341
51,0,0,198274,0,0,30,100000,0,169145
52,0,0,197774,0,0,30,300000,80402,159740
54,0,0,198226,0,0,50,300000,80619,169116
55,0,0,198295,0,0,15,300000,80650,169166
56,0,0,198341,0,0,30,300000,80663,169202
57,0,0,198497,0,0,25,300000,80692,165859
66,0,0,198509,0,0,30,300000,80696,169226
67,0,0,198517,0,0,50,300000,80707,169217
69,0,0,198774,0,0,30,300000,80786,161353
70,0,0,198798,0,0,60,300000,80787,161900
71,0,0,0,0,14964,30,30000,80808,160941
72,0,0,0,0,14979,30,300000,80853,161056
73,0,0,196277,0,0,30,300000,80868,159638
74,0,0,199126,0,0,30,300000,80934,169748
75,0,0,199239,0,0,40,300000,80981,169802
76,0,0,199243,0,0,40,300000,80982,169824
78,0,0,0,0,15030,30,300000,80983,161298
79,0,0,199245,0,0,40,300000,81015,169817
80,0,0,199452,0,0,50,300000,81052,169031
81,0,0,186061,0,0,30,600000,86391,158004
82,0,0,199970,0,0,50,12000000,81280,158005
83,0,0,200118,0,0,50,600000,81369,159248
84,0,0,0,0,15226,50,300000,81461,170485
85,0,0,186221,0,0,30,300000,81515,170532
86,0,0,200361,0,0,25,600000,81519,159272
87,0,0,200429,0,0,50,300000,81553,170485
88,0,0,0,0,15263,50,300000,81617,160962
89,0,0,200595,0,0,50,600000,81628,170697
90,0,0,200595,0,0,40,600000,81616,170697
92,0,0,201091,0,0,30,300000,81904,168836
93,0,0,0,0,15373,35,300000,81915,171028
95,0,0,201199,0,0,30,300000,81988,157710
96,0,0,201475,0,0,30,300000,82126,158007
97,0,0,201566,0,0,30,300000,82189,170848
99,0,0,201572,0,0,30,300000,5703,171138
