ID,PlayerFactionGroupID,DisplayAchievementID,DisplayUIMapID,PlayerUIMapID
2,3,8671,525,525
3,3,8919,535,535
4,2,8920,535,535
5,2,8845,539,539
6,3,8926,542,542
7,2,8925,542,542
8,3,8924,543,543
9,2,8923,543,543
10,3,8928,550,550
11,2,8927,550,550
12,3,40580,630,630
13,2,40580,630,630
14,3,10059,650,650
15,2,10059,650,650
16,3,40581,634,634
17,2,40581,634,634
18,3,11124,680,680
19,2,11124,680,680
20,3,40579,641,641
21,2,40579,641,641
22,3,40582,646,646
23,2,40582,646,646
24,3,40583,905,905
25,2,40583,905,905
26,3,40583,905,830
27,2,40583,905,830
28,3,40583,905,885
29,2,40583,905,885
30,3,40583,905,882
31,2,40583,905,882
32,3,8671,525,590
33,3,8671,525,590
34,3,8671,525,590
35,3,8671,525,590
36,3,8671,525,590
37,2,8845,539,582
38,2,8845,539,582
39,2,8845,539,582
40,2,8845,539,582
41,2,8845,539,582
42,3,4927,76,76
43,3,4933,10,10
44,2,4926,106,106
45,2,4928,62,62
46,2,4903,52,52
47,3,4894,21,21
48,3,4908,95,95
49,2,4899,48,48
50,2,4902,49,49
51,3,4895,25,25
52,3,4976,63,63
53,2,4925,63,63
54,2,12430,47,47
55,3,4980,65,65
56,2,4936,65,65
57,2,12429,56,56
58,3,4981,199,199
59,2,4937,199,199
60,3,4896,14,14
61,2,4896,14,14
64,3,4906,50,50
65,2,4906,50,50
66,3,4930,66,66
67,2,4930,66,66
68,3,4897,26,26
69,2,4897,26,26
70,3,4938,64,64
71,2,4938,64,64
72,3,4979,69,69
73,2,4932,69,69
74,3,4978,70,70
75,2,4929,70,70
76,3,4905,210,210
77,2,4905,210,210
78,3,4893,22,22
79,2,4893,22,22
80,3,4931,77,77
82,2,4931,77,77
83,3,4900,15,15
84,2,4900,15,15
85,3,4935,71,71
86,2,4935,71,71
87,3,4910,32,32
88,2,4910,32,32
89,3,4901,36,36
90,2,4901,36,36
91,3,4904,51,51
92,2,4904,51,51
93,3,4939,78,78
94,2,4939,78,78
95,3,4940,83,83
96,2,4940,83,83
97,3,4909,17,17
98,2,4909,17,17
99,3,4892,23,23
100,2,4892,23,23
101,3,4934,81,81
102,2,4934,81,81
103,3,40574,100,100
104,2,40572,100,100
105,3,1190,102,102
106,2,1190,102,102
107,3,1272,108,108
108,2,1191,108,108
109,3,1273,107,107
110,2,1192,107,107
111,3,1193,105,105
112,2,1193,105,105
113,3,1194,109,109
114,2,1194,109,109
115,3,40573,104,104
116,2,40573,104,104
117,2,4871,207,207
118,3,4871,207,207
119,2,4869,203,203
120,3,4982,203,203
121,2,4869,201,201
122,3,4982,201,201
123,2,4869,205,205
124,3,4982,205,205
125,2,4869,204,204
126,3,4982,204,204
127,2,4870,198,198
128,3,4870,198,198
129,2,4872,249,249
130,3,4872,249,249
131,2,4873,241,241
132,3,5501,241,241
133,3,4894,217,217
134,3,4894,218,218
135,2,40569,114,114
136,3,40576,114,114
137,2,40570,117,117
138,3,40575,117,117
139,2,35,115,115
140,3,1359,115,115
141,2,37,116,116
142,3,1357,116,116
143,2,36,121,121
144,3,36,121,121
145,2,39,119,119
146,3,39,119,119
147,2,38,120,120
148,3,38,120,120
149,2,40571,118,118
150,3,40571,118,118
151,2,6300,371,371
152,3,6534,371,371
153,2,6301,376,376
154,3,6301,376,376
155,2,40577,418,418
156,2,40577,486,486
157,3,40578,418,418
158,3,40578,498,498
159,2,6537,379,379
160,3,6538,379,379
161,2,6539,388,388
162,3,6539,388,388
163,2,6540,422,422
164,3,6540,422,422
165,3,11861,862,862
166,3,12478,864,864
167,3,11868,863,863
168,2,40584,895,895
169,2,12496,942,942
172,2,12497,896,896
174,2,8845,539,579
175,3,8671,525,585
281,3,10059,650,657
