ID,Timestamp,TimeEventID,Cfg_TimeEventRegionGroupID
7861,1743519600,901,1
7862,1743634800,901,2
7863,1743634800,901,4
7864,1743566400,901,3
7865,1743634800,901,5
17465,1752863404,1775,11
17466,1752863404,1775,14
17467,1752863404,1775,16
17468,1752863404,1775,17
17469,1752863404,1775,15
17470,1754499600,1776,5
17471,1753011341,1776,15
17472,1753011342,1776,11
17748,1753805400,1116,18
17460,1755597600,1775,1
17461,1755597600,1775,3
17462,1755597600,1775,4
17463,1755597600,1775,2
17464,1755597600,1775,5
18449,1758042000,1866,1
18450,1758042000,1866,3
18451,1758042000,1866,4
18452,1758042000,1866,2
18453,1758042000,1866,5
18454,1755728453,1866,11
18455,1755728453,1866,14
18456,1755728453,1866,16
18457,1755728453,1866,17
18458,1755728453,1866,15
