ID,Title_lang,Description_lang,WorldPosition[0],WorldPosition[1],Type,PlayerConditionID,QuestID,LfgDungeonID,RewardItemID,UiTextureAtlasMemberID,UiTextureKitID,MapID,AreaTableID
1,Alliance Only Bro!,,0,0,0,6617,0,0,124562,0,232,-1,0
3,Azsuna,"The once-idyllic island paradise of Azsuna is being invaded - the Legion rains death from above, Queen Azshara's naga rise from the depths below, and the cursed ghosts of the island's former inhabitants stir. All seem drawn to a relic of great power hidden deep within the elven ruins.",625,6355,1,39938,39718,0,0,0,0,1220,0
4,Val'sharah,The ancient forest of Val'sharah is the home of the demi-god Cenarius and the birthplace of druidism. Malfurion Stormrage has returned to these sacred woods to commune with his great mentor and reclaim the Tears of Elune.,3265,6241,1,39935,39731,0,0,0,0,1220,0
6,Stormheim,"King Genn Greymane is preparing to take the mighty Skyfire to the bluffs of Stormheim to locate the Aegis of Aggramar. However, this land serves as the capital of an ancient vrykul clan whose leader also seeks the power of the Aegis and will stop at nothing to take its power for himself.",3117,1954,1,39937,39735,0,0,0,0,1220,0
7,Stormheim,"Warchief Sylvanas Windrunner has prepared her personal fleet to set off to the bluffs of Stormheim to locate the Aegis of Aggramar. However, this land serves as the capital of an ancient vrykul clan whose leader also seeks the power of the Aegis and will stop at nothing to take its power for himself.",3117,1954,1,39939,39864,0,0,0,0,1220,0
8,Highmountain,"One of the last great frontiers of the Broken Isles, Highmountain dominates the northern horizon with its jagged peak. Its treacherous slopes are home to both noble tauren tribes and the brutish subterranean drogbar, whose uneasy peace will be tested by the relentless march of the Legion.",4926,4256,1,39936,39733,0,0,0,0,1220,0
9,Test quest offer,Test quest offer desc.,-9344.97,-2279.12,1,5703,47512,0,0,0,0,-1,0
12,"worldport 1116, 6971.02, 1004.63, 398.974, 299.925",Test for insets,6279,-26.6,0,5703,36810,0,0,0,0,1116,0
14,Sanctum of Light,,-3200,9255,3,37830,0,0,0,5608,0,0,2268
15,Demon Hunt: Wingterror Ikzil,Your champion has located a powerful demon that must be destroyed.,625,6455,2,37103,39885,0,0,0,0,1220,0
16,Echoes of the Past,Your champion has found a lost titan communicator.,2900,5400,2,37136,39886,0,0,0,0,1220,0
17,"worldport 533, 2719.85, -3098.21, 267.686, 285.619",Test for insets 2,2719,-3098,0,5703,36810,0,0,0,0,533,0
18,"worldport 0, 2368.83, -5353.17, 52.6645, 315.291",Test for insets 3,2368,-5353,0,5703,36810,0,0,0,0,0,0
20,Halls of Valor,,-3200,10000,3,37831,0,0,0,5613,0,1479,7813
21,Test Offer,Test,2900,5400,3,5703,0,0,128966,0,0,-1,0
22,Acherus: The Ebon Hold,,-3200,10000,3,37835,0,0,0,5601,0,1220,7743
23,The Fel Hammer,,-3200,10000,3,37841,0,0,0,5602,0,1481,8023
24,Trueshot Lodge,,-3200,9255,3,37832,0,0,0,5605,0,1220,7877
25,The Dreamgrove,,-3200,10000,3,37840,0,0,0,5603,0,1220,7846
26,Hall of the Guardian,,-3200,9255,3,37837,0,0,0,5606,0,1513,7879
27,The Wandering Isle,,-3200,10000,3,37839,0,0,0,5607,0,1514,7902
28,Netherlight Temple,,-3200,10000,3,37834,0,0,0,5609,0,1512,7834
29,The Halls of Shadows,,-3200,9255,3,37833,0,0,0,5610,0,1220,8011
30,The Maelstrom,,-3200,9255,3,37836,0,0,0,5611,0,1469,7745
31,Dreadscar Rift,,-3200,9255,3,37838,0,0,0,5612,0,1522,7875
32,Suramar,"After 10,000 years in isolation, the Nightborne elves have lowered the magical barrier protecting the city of Suramar, allowing Gul'dan access to a font of incredible power - the Nightwell. Following a failed attempt to overthrow Grand Magistrix Elisande, a small group of Nightborne exiles seek to awaken the power of their ancient lands and free Suramar from the Legion's grasp.",1778.3,4348.73,1,44817,44555,0,0,0,0,1220,0
40,Zuldazar,Earn the trust of King Rastakhan and the Zanchuli Council.,-1489.27,1024.34,1,54073,47514,0,0,0,0,1642,0
41,Nazmir,Journey with Princess Talanji to the dark swamps of Nazmir to put an end to the threat of the blood trolls.,1920.37,939.103,1,54075,47512,0,0,0,0,1642,0
42,Vol'dun,General Jakra'zet's secrets lie somewhere in the sands. Head into the dunes and recover proof that will help remove him from power.,2545.47,3837.28,1,54076,47513,0,0,0,0,1642,0
43,Tiragarde Sound,Expose the corruption in Boralus and earn Katherine Proudmoore's trust.,584.562,-77.9022,1,61846,47960,0,0,0,0,1643,0
44,Drustvar,Lord and Lady Waycrest are strong allies of the Proudmoores. Investigate their sudden absence and the troubling rumors from Drustvar.,-454.389,2574.49,1,61848,47961,0,0,0,0,1643,0
45,Stormsong Valley,The legendary Kul Tiran fleet has gone missing. Seek answers from the reclusive ocean mystics of House Stormsong.,2513.85,537.756,1,61849,47962,0,0,0,0,1643,0
148,Tiragarde Sound,Assist Shadow Hunter Ty'jin in Tiragarde Sound.,-295,-1473,1,61822,51800,0,0,0,262,1643,0
149,Drustvar,Assist Gallywix and Eitrigg in Drustvar.,-413,4110,1,61823,51801,0,0,0,262,1643,0
150,Stormsong Valley,Assist Rexxar in Stormsong Valley.,3941,469,1,61824,51802,0,0,0,262,1643,0
151,Zuldazar,Assist Kelsey Steelspark in Zuldazar.,-1410,-663,1,61798,51570,0,0,0,261,1642,0
152,Nazmir,Assist Brann Bronzebeard in Nazmir.,2084,184,1,61800,51571,0,0,0,261,1642,0
153,Vol'dun,Assist Alliance forces in Vol'dun.,2840,4199,1,61799,51572,0,0,0,261,1642,0
161,Skoldus Hall,Warden Skoldus and his vicious beasts torment the souls chained within these halls.,300,700,1,34450,60092,0,0,0,0,2162,0
162,Fracture Chambers,"Prisoners from Maldraxxus are held in these chambers, their bones broken over and over again.",325,300,1,34450,60099,0,0,0,0,2162,0
