DisplayName_lang,AlternateVerb_lang,Description_lang,HordeDisplayName_lang,NeutralDisplayName,ID,CategoryID,SpellIconFileID,CanLink,ParentSkillLineID,ParentTierIndex,Flags,SpellBookSpellID,ExpansionNameSharedStringID,HordeExpansionNameSharedStringID
Frost,,,,,6,7,135846,0,0,0,1040,0,0,0
Fire,,,,,8,7,135810,0,0,0,1040,0,0,0
Arms,,,,,26,7,132292,0,0,0,1040,0,0,0
Combat,,,,,38,7,132090,0,0,0,1040,0,0,0
Subtlety,,,,,39,7,132320,0,0,0,1040,0,0,0
Poisons,,,,,40,9,136242,0,0,0,128,0,0,0
Swords,,Higher weapon skill increases your chance to hit.,,,43,6,136235,0,0,0,128,0,0,0
Axes,,Higher weapon skill increases your chance to hit.,,,44,6,136235,0,0,0,128,0,0,0
Bows,,Higher weapon skill increases your chance to hit.,,,45,6,136235,0,0,0,128,0,0,0
Guns,,Higher weapon skill increases your chance to hit.,,,46,6,136235,0,0,0,128,0,0,0
Beast Mastery,,,,,50,7,132164,0,0,0,1040,0,0,0
Survival,,,,,51,7,132215,0,0,0,1040,0,0,0
Maces,,Higher weapon skill increases your chance to hit.,,,54,6,136235,0,0,0,128,0,0,0
Two-Handed Swords,,Higher weapon skill increases your chance to hit.,,,55,6,136235,0,0,0,128,0,0,0
Holy,,,,,56,7,135920,0,0,0,1040,0,0,0
Shadow Magic,,,,,78,7,136207,0,0,0,1040,0,0,0
Defense,,Higher defense makes you harder to hit and makes monsters less likely to land a crushing blow.,,,95,6,136235,0,0,0,128,0,0,0
Language: Common,,,,,98,10,136235,0,0,0,128,0,0,0
Dwarven Racial,,,,,101,9,136235,0,0,0,146,0,0,0
Language: Orcish,,,,,109,10,136235,0,0,0,128,0,0,0
Language: Dwarven,,,,,111,10,136235,0,0,0,128,0,0,0
Language: Darnassian,,,,,113,10,136235,0,0,0,128,0,0,0
Language: Taurahe,,,,,115,10,136235,0,0,0,128,0,0,0
Dual Wield,,,,,118,6,136235,0,0,0,146,0,0,0
Tauren Racial,,,,,124,9,136235,0,0,0,146,0,0,0
Orc Racial,,,,,125,9,136235,0,0,0,146,0,0,0
Night Elf Racial,,,,,126,9,136235,0,0,0,146,0,0,0
First Aid,,Higher first aid skill allows you to learn higher level first aid abilities.  First aid abilities can be found on trainers around the world as well as from quests and as drops from monsters.,,,129,9,135966,1,0,0,128,0,0,0
Feral Combat,,,,,134,7,132276,0,0,0,1040,0,0,0
Staves,,Higher weapon skill increases your chance to hit.,,,136,6,136235,0,0,0,128,0,0,0
Language: Thalassian,,,,,137,10,136235,0,0,0,128,0,0,0
Language: Draconic,,,,,138,10,136235,0,0,0,128,0,0,0
Language: Demon Tongue,,,,,139,10,136235,0,0,0,128,0,0,0
Language: Titan,,,,,140,10,136235,0,0,0,128,0,0,0
Language: Old Tongue,,,,,141,10,136235,0,0,0,128,0,0,0
Survival,,,,,142,9,136235,0,0,0,0,0,0,0
Horse Riding,,,,,148,9,136235,0,0,0,144,0,0,0
Wolf Riding,,,,,149,9,136235,0,0,0,144,0,0,0
Tiger Riding,,,,,150,9,136235,0,0,0,144,0,0,0
Ram Riding,,,,,152,9,136235,0,0,0,144,0,0,0
Swimming,,,,,155,9,136235,0,0,0,0,0,0,0
Two-Handed Maces,,Higher weapon skill increases your chance to hit.,,,160,6,136235,0,0,0,128,0,0,0
Unarmed,,Higher skill increases your chance to hit.,,,162,6,136235,0,0,0,128,0,0,0
Marksmanship,,,,,163,7,132222,0,0,0,1040,0,0,0
Blacksmithing,,Higher smithing skill allows you to learn higher level smithing plans.  Blacksmithing plans can be found on trainers around the world as well as from quests and monsters.,,,164,11,136241,1,0,0,128,0,0,0
Leatherworking,,Higher leatherworking skill allows you to learn higher level leatherworking patterns.  Leatherworking patterns can be found on trainers around the world as well as from quests and monsters.,,,165,11,136247,1,0,0,128,0,0,0
Alchemy,,Higher alchemy skill allows you to learn higher level alchemy recipes.  Alchemy recipes can be found on trainers around the world as well as from quests and monsters.,,,171,11,136240,1,0,0,128,0,0,0
Two-Handed Axes,,Higher weapon skill increases your chance to hit.,,,172,6,136235,0,0,0,128,0,0,0
Daggers,,Higher weapon skill increases your chance to hit.,,,173,6,136235,0,0,0,128,0,0,0
Thrown,,Higher weapon skill increases your chance to hit.,,,176,6,136235,0,0,0,128,0,0,0
Herbalism,,"Higher herbalism skill allows you to harvest more difficult herbs around the world.  If you cannot harvest a specific herb, then increase your skill by harvesting easier to gather herbs in lower level areas.",,,182,11,136246,0,0,0,128,0,0,0
GENERIC (DND),,,,,183,12,136235,0,0,0,146,0,0,0
Retribution,,,,,184,7,135873,0,0,0,1040,0,0,0
Cooking,,Higher cooking skill allows you to learn higher level cooking recipes.  Recipes can be found on trainers around the world as well as from quests and as drops from monsters.,,,185,9,133971,1,0,0,128,0,0,0
Mining,,"Higher mining skill allows you to harvest more difficult minerals nodes around the world.  If you cannot harvest a specific mineral, then increase your skill by mining easier to mine minerals in lower level areas.",,,186,11,136248,0,0,0,128,0,0,0
Pet - Imp,,,,,188,7,136235,0,0,0,0,0,0,0
Pet - Felhunter,,,,,189,7,136235,0,0,0,0,0,0,0
Tailoring,,Higher tailoring skill allows you to learn higher level tailoring patterns.  Tailoring patterns can be found on trainers around the world as well as from quests and monsters.,,,197,11,136249,1,0,0,128,0,0,0
Engineering,,Higher engineering skill allows you to learn higher level engineering schematics.  Schematics can be found on trainers around the world as well as from quests and monsters.,,,202,11,136243,1,0,0,128,0,0,0
Pet - Spider,,,,,203,7,136235,0,0,0,0,0,0,0
Pet - Voidwalker,,,,,204,7,136235,0,0,0,0,0,0,0
Pet - Succubus,,,,,205,7,136235,0,0,0,0,0,0,0
