ID,ModelFileDataID,WeaponTrailID,AnimEnumID
2,0,78,978
3,921844,79,58
241,1011653,317,57
242,1011653,318,58
243,1011653,319,118
244,1011653,320,516
245,1000764,321,57
246,1000764,322,58
247,1000764,323,118
248,1000764,324,516
249,917116,325,57
250,917116,326,58
251,917116,327,118
252,917116,328,516
253,949470,329,57
254,949470,330,58
255,949470,331,118
256,949470,332,516
257,878772,333,57
258,878772,334,58
259,878772,335,118
260,878772,336,516
261,950080,337,57
262,950080,338,58
263,950080,339,118
264,950080,340,516
265,974343,341,57
266,974343,342,58
267,974343,343,118
268,974343,344,516
269,921844,345,57
270,921844,346,118
271,921844,347,516
272,959310,348,57
273,959310,349,58
274,959310,350,118
275,959310,351,516
276,997378,352,57
277,997378,353,58
278,997378,354,118
279,997378,355,516
280,968705,356,57
281,968705,357,58
282,968705,358,118
283,968705,359,516
284,986648,360,57
285,986648,361,58
286,986648,362,118
287,986648,363,516
288,900914,364,57
289,900914,365,58
290,900914,366,118
291,900914,367,516
292,940356,368,57
293,940356,369,58
294,940356,370,118
295,940356,371,516
296,1022938,372,57
297,1022938,373,58
298,1022938,374,118
299,1022938,375,516
300,1018060,376,57
301,1018060,377,58
302,1018060,378,118
303,1018060,379,516
304,119376,380,57
305,119376,381,58
306,119376,382,118
307,119376,383,516
308,119369,384,57
309,119369,385,58
310,119369,386,118
311,119369,387,516
312,1100087,388,57
313,1100087,389,58
314,1100087,390,118
315,1100087,391,516
316,1100258,392,57
317,1100258,393,58
318,1100258,394,118
319,1100258,395,516
320,1005887,396,57
321,1005887,397,58
322,1005887,398,118
323,1005887,399,516
324,1022598,400,57
325,1022598,401,58
326,1022598,402,118
327,1022598,403,516
328,307454,404,57
329,307454,405,58
330,307454,406,118
331,307454,407,516
332,307453,408,57
333,307453,409,58
334,307453,410,118
335,307453,411,516
336,535052,412,57
337,535052,413,58
338,535052,414,118
339,535052,415,516
340,589715,416,57
341,589715,417,58
342,589715,418,118
343,589715,419,516
344,0,420,818
345,0,421,970
346,0,422,822
347,0,423,972
348,0,424,824
349,0,425,812
350,0,426,826
351,0,427,810
352,0,428,844
353,0,429,846
354,0,430,848
355,0,431,850
356,0,432,974
357,0,433,976
358,0,434,814
359,0,450,1000
360,0,451,1034
361,0,457,1052
362,0,458,996
363,0,459,998
364,0,460,1004
365,0,461,1014
366,0,462,1016
367,0,463,1018
368,0,464,1020
369,0,465,1022
370,0,466,1024
371,0,467,1028
372,0,474,1056
373,0,475,1058
374,0,476,1060
375,0,481,1062
376,0,489,1064
377,1100258,550,1022
378,1100258,551,1024
379,0,561,1080
406,1011653,659,1102
407,1000764,660,1102
408,917116,661,1102
409,949470,662,1102
410,878772,663,1102
411,950080,664,1102
412,974343,665,1102
413,921844,666,1102
414,959310,667,1102
415,997378,668,1102
416,968705,669,1102
417,986648,670,1102
418,900914,671,1102
419,940356,672,1102
420,1022938,673,1102
421,1018060,674,1102
422,119376,675,1102
423,119369,676,1102
424,1100087,677,1102
425,1100258,678,1102
426,1005887,679,1102
427,1022598,680,1102
428,307454,681,1102
429,307453,682,1102
430,535052,683,1102
431,589715,684,1102
437,1630218,356,57
438,1630218,357,58
439,1630218,669,1102
440,1630218,359,516
441,1630218,358,118
442,1630402,360,57
443,1630402,361,58
444,1630402,670,1102
445,1630402,363,516
446,1630402,362,118
452,1593999,400,57
453,1593999,401,58
454,1593999,680,1102
455,1593999,403,516
456,1593999,402,118
457,1620605,396,57
458,1620605,397,58
459,1620605,679,1102
460,1620605,399,516
461,1620605,398,118
462,1733758,392,57
463,1733758,393,58
464,1733758,678,1102
465,1733758,395,516
466,1733758,394,118
468,1734034,388,57
469,1734034,389,58
470,1734034,677,1102
471,1734034,391,516
472,1734034,390,118
473,1814471,915,1102
474,1814471,913,57
475,1814471,916,516
476,1814471,914,58
477,1814471,917,118
478,1810676,919,58
479,1810676,918,57
480,1810676,921,516
481,1810676,920,1102
482,1810676,922,118
483,0,954,1320
584,0,1150,1322
585,1630447,1379,1102
586,1630447,1378,118
587,1630447,1377,516
588,1630447,1380,58
589,1630447,1381,57
590,1662187,1384,516
591,1662187,1382,57
592,1662187,1385,58
593,1662187,1386,118
594,1662187,1383,1102
595,1721003,1387,118
596,1721003,1388,516
597,1721003,1389,1136
598,1886724,1390,57
599,1886724,1391,1136
600,1886724,1392,1102
601,1886724,1393,58
602,1886724,1395,118
603,1886724,1394,516
604,2622502,1396,57
605,2622502,1399,516
606,2622502,1398,1102
607,2622502,1397,58
608,2622502,1400,118
609,2564806,1404,516
610,2564806,1402,58
611,2564806,1403,1102
612,2564806,1401,57
613,2564806,1405,118
614,1890765,1406,57
615,1890765,1407,58
616,1890765,1408,1102
617,1890765,1409,516
618,1890765,1410,118
619,1890763,1411,57
620,1890763,1412,58
621,1890763,1413,1102
622,1890763,1414,516
623,1890763,1415,118
624,1890761,1416,57
625,1890761,1417,58
626,1890761,1418,1102
627,1890761,1419,516
628,1890761,1420,118
629,1890759,1421,57
630,1890759,1422,58
631,1890759,1423,1102
632,1890759,1424,516
633,1890759,1425,118
635,1968587,325,57
636,1968587,326,58
637,1968587,661,1102
638,1968587,328,516
639,1968587,327,118
