ID,AttachModelFileID,TextureVariationFileID[0],TextureVariationFileID[1],TextureVariationFileID[2]
1,200266,0,0,0
2,200265,0,0,0
21,200267,0,0,0
61,192979,0,0,0
62,192978,0,0,0
63,192980,0,0,0
64,192983,0,0,0
65,192982,0,0,0
66,192984,0,0,0
67,192986,0,0,0
68,192987,0,0,0
69,192988,0,0,0
81,199959,0,0,0
82,0,0,0,0
101,191399,0,0,0
121,200085,0,0,0
122,200084,0,0,0
145,200284,0,0,0
146,200272,0,0,0
147,200280,0,0,0
149,200279,0,0,0
150,200271,0,0,0
192,324992,0,0,0
193,165861,0,0,0
297,775197,249275,249275,249275
299,2910483,0,0,0
300,2910482,0,0,0
301,2913876,0,0,0
302,1134016,0,0,0
304,0,2141744,0,0
305,3187961,3177046,0,0
306,4191057,0,0,0
308,3819942,0,0,0
310,0,4526261,0,0
311,950119,0,0,0
314,0,4036747,0,0
315,0,3731865,3731865,0
316,0,4619287,4619285,0
321,1551044,1551366,1551366,1551366
322,4036870,4038148,0,0
328,0,1598548,1598548,1598548
329,0,5095692,5095723,0
330,0,1047264,4957222,1355534
