ID,PlayerConditionID,DifficultyID,MapDifficultyID
1,90803,173,50
2,90803,174,131
3,90803,173,49
4,90803,174,130
5,90803,173,54
6,90803,174,134
7,90803,173,53
8,90803,174,133
9,90803,173,62
10,90803,174,140
11,90803,173,63
12,90803,174,141
13,90803,173,65
14,90803,174,142
15,90803,173,61
16,90803,174,139
17,90803,173,60
18,90803,174,138
19,90803,173,48
20,90803,174,129
21,90803,173,58
22,90803,174,136
23,90803,173,59
24,90803,174,137
25,90803,173,52
26,90803,174,132
27,90803,173,27
28,90803,174,4852
29,90803,173,57
30,90803,174,135
31,91281,175,4858
32,91281,176,68
33,91281,176,51
34,96026,176,55
35,96026,176,56
39,96068,173,81
40,96068,174,147
41,96068,176,78
56,110367,9,26
57,110367,9,323
58,104716,175,99
59,104716,176,154
