ID,Type,Field_11_0_0_54210_002,Field_11_0_0_54210_003
1,0,0,0
3,1,0,0
4,2,0,1317
5,3,0,1317
6,4,0,1317
7,5,0,1317
8,6,0,1317
9,7,0,1317
10,8,0,1317
11,9,0,1317
12,10,0,1317
13,11,0,1317
14,12,0,1317
15,13,0,1317
16,14,0,1317
17,15,0,1317
18,16,0,1317
19,17,0,1317
20,18,0,0
21,19,0,0
22,20,0,1317
23,21,0,1317
24,22,0,1317
25,23,0,1317
26,24,0,1317
27,25,0,1317
28,26,0,1317
29,27,0,1317
30,28,0,0
31,29,0,0
32,30,0,1317
33,31,0,1317
34,32,0,1317
35,33,0,1317
36,34,0,1317
37,35,0,1317
38,36,0,1317
39,37,0,0
40,38,0,1317
41,39,0,1317
42,40,0,1317
43,41,0,1317
44,42,0,1317
45,43,0,1317
46,44,0,1317
47,45,0,1317
48,46,0,1317
49,47,0,1317
50,48,0,0
51,49,0,0
52,50,0,1317
53,51,0,1317
54,52,0,1317
55,53,0,1317
56,54,0,0
57,55,0,1317
58,56,0,1317
59,57,0,0
60,58,0,1317
61,59,0,1317
62,60,0,1317
63,61,0,1317
64,62,0,0
65,63,0,0
66,64,0,1317
