ID,ContentSetID,AttackingPetType,DefendingPetType,Modifier
2,0,0,0,1
3,0,0,1,1.5
4,0,0,2,1
5,0,0,3,1
6,0,0,4,1
7,0,0,5,1
8,0,0,6,1
9,0,0,7,0.66
10,0,0,8,1
11,0,0,9,1
12,0,1,0,1
13,0,1,1,1
14,0,1,2,1
15,0,1,3,0.66
16,0,1,4,1
17,0,1,5,1.5
18,0,1,6,1
19,0,1,7,1
20,0,1,8,1
21,0,1,9,1
22,0,2,0,1
23,0,2,1,0.66
24,0,2,2,1
25,0,2,3,1
26,0,2,4,1
27,0,2,5,1
28,0,2,6,1
29,0,2,7,1
30,0,2,8,1.5
31,0,2,9,1
32,0,3,0,1.5
33,0,3,1,1
34,0,3,2,1
35,0,3,3,1
36,0,3,4,1
37,0,3,5,1
38,0,3,6,1
39,0,3,7,1
40,0,3,8,0.66
41,0,3,9,1
42,0,4,0,0.66
43,0,4,1,1
44,0,4,2,1
45,0,4,3,1.5
46,0,4,4,1
47,0,4,5,1
48,0,4,6,1
49,0,4,7,1
50,0,4,8,1
51,0,4,9,1
52,0,5,0,1
53,0,5,1,1
54,0,5,2,1.5
55,0,5,3,1
56,0,5,4,1
57,0,5,5,1
58,0,5,6,1
59,0,5,7,1
60,0,5,8,1
61,0,5,9,0.66
62,0,6,0,1
63,0,6,1,1
64,0,6,2,1
65,0,6,3,1
66,0,6,4,0.66
67,0,6,5,1
68,0,6,6,1
69,0,6,7,1
70,0,6,8,1
71,0,6,9,1.5
72,0,7,0,1
73,0,7,1,1
74,0,7,2,0.66
75,0,7,3,1
76,0,7,4,1.5
77,0,7,5,1
78,0,7,6,1
79,0,7,7,1
80,0,7,8,1
81,0,7,9,1
82,0,8,0,1
83,0,8,1,1
84,0,8,2,1
85,0,8,3,1
86,0,8,4,1
87,0,8,5,0.66
88,0,8,6,1.5
89,0,8,7,1
90,0,8,8,1
91,0,8,9,1
92,0,9,0,1
93,0,9,1,1
94,0,9,2,1
95,0,9,3,1
96,0,9,4,1
97,0,9,5,1
98,0,9,6,0.66
99,0,9,7,1.5
100,0,9,8,1
101,0,9,9,1
