ID,Description_lang,Field_11_2_5_62687_001_lang
1,Party Member,
2,Raid Member,
3,Trade,Traded
4,Whisper,Whispered
5,Public Order Filled By Them,Filled your Public Crafting Order
6,Public Order Filled By You,Filled their Public Crafting Order
7,Personal Order Fill By Them,Filled your Crafting Order
8,Personal Order Filled By You,Filled their Crafting Order
9,Guild Order Filled By Them,Filled your Crafting Order
10,Guild Order Filled By You,Filled their Crafting Order
11,Creature Kill,Fought Together
12,Complete Dungeon,Completed Dungeon Together
13,Kill Raid Boss,Raided Together
14,Kill LFR Boss,Raided Together
15,Complete Delve,Completed Delve Together
16,Complete Arena,Did Arena Together
17,Complete Battleground,Fought in Battleground Together
18,Duel,Dueled
19,Pet Battle,Pet Battled
20,PvP Kill,PvPed Together
