ID,RaceID,SexID,BaseSection,VariationIndex,ColorIndex,Flags,MaterialResourcesID[0],MaterialResourcesID[1],MaterialResourcesID[2]
1,1,0,0,0,0,17,5559,0,0
2,1,0,0,0,1,17,5560,0,0
3,1,0,0,0,2,17,5561,0,0
4,1,0,0,0,3,17,5562,0,0
5,1,0,0,0,4,17,5563,0,0
6,1,0,0,0,5,17,5564,0,0
7,1,0,0,0,6,17,5565,0,0
8,1,0,0,0,7,17,5566,0,0
9,1,0,0,0,8,17,5567,0,0
10,1,0,0,0,9,17,5568,0,0
131,1,0,2,0,0,17,3499,4073,0
132,1,0,2,0,1,17,3500,4074,0
133,1,0,2,0,2,17,3501,4075,0
134,1,0,2,0,3,17,3502,4076,0
135,1,0,2,0,4,17,3503,4077,0
136,1,0,2,0,5,17,3504,4078,0
137,1,0,2,0,6,17,4104,4079,0
138,1,0,2,0,7,17,3505,4080,0
139,1,0,2,0,8,17,3506,4081,0
140,1,0,2,0,9,17,3507,4082,0
141,1,0,2,1,0,17,3508,4083,0
142,1,0,2,1,1,17,3509,4084,0
143,1,0,2,1,2,17,3510,4085,0
144,1,0,2,1,3,17,3511,4086,0
145,1,0,2,1,4,17,3512,4087,0
146,1,0,2,1,5,17,3513,4088,0
147,1,0,2,1,6,17,3514,4089,0
148,1,0,2,1,7,17,3515,4090,0
149,1,0,2,1,8,17,3516,4091,0
150,1,0,2,1,9,17,3517,4092,0
151,1,0,2,2,0,17,3518,4093,0
152,1,0,2,2,1,17,3519,4094,0
153,1,0,2,2,2,17,3520,4095,0
154,1,0,2,2,3,17,3521,4096,0
155,1,0,2,2,4,17,3522,4097,0
156,1,0,2,2,5,17,3523,4098,0
157,1,0,2,2,6,17,3524,4099,0
158,1,0,2,2,7,17,3525,4100,0
159,1,0,2,2,8,17,3526,4101,0
160,1,0,2,2,9,17,4012,4102,0
161,1,0,2,3,0,17,4013,4103,0
162,1,0,2,3,1,17,4014,4111,0
163,1,0,2,3,2,17,4015,4116,0
164,1,0,2,3,3,17,4016,4105,0
165,1,0,2,3,4,17,4017,4106,0
166,1,0,2,3,5,17,4018,4107,0
167,1,0,2,3,6,17,4019,4108,0
168,1,0,2,3,7,17,4020,4109,0
169,1,0,2,3,8,17,4021,4110,0
170,1,0,2,3,9,17,4022,4112,0
171,1,0,2,4,0,17,4023,4113,0
172,1,0,2,4,1,17,4024,4114,0
173,1,0,2,4,2,17,4025,4115,0
174,1,0,2,4,3,17,4026,4117,0
175,1,0,2,4,4,17,4027,4118,0
176,1,0,2,4,5,17,4028,4119,0
177,1,0,2,4,6,17,4029,4120,0
178,1,0,2,4,7,17,4030,4121,0
179,1,0,2,4,8,17,4031,4122,0
180,1,0,2,4,9,17,4032,4123,0
181,1,0,2,5,0,17,4033,4124,0
182,1,0,2,5,1,17,4034,4125,0
183,1,0,2,5,2,17,4035,4126,0
184,1,0,2,5,3,17,4036,4127,0
185,1,0,2,5,4,17,4037,4128,0
186,1,0,2,5,5,17,4038,4129,0
187,1,0,2,5,6,17,4039,4130,0
188,1,0,2,5,7,17,4040,4131,0
189,1,0,2,5,8,17,4041,4132,0
190,1,0,2,5,9,17,4042,4133,0
191,1,0,2,6,0,17,4043,4134,0
192,1,0,2,6,1,17,4044,4135,0
193,1,0,2,6,2,17,4045,4136,0
194,1,0,2,6,3,17,4046,4137,0
195,1,0,2,6,4,17,4047,4138,0
196,1,0,2,6,5,17,4048,4139,0
197,1,0,2,6,6,17,4049,4140,0
198,1,0,2,6,7,17,4050,4141,0
199,1,0,2,6,8,17,4051,4142,0
200,1,0,2,6,9,17,4052,4143,0
201,1,0,2,7,0,17,4053,4144,0
202,1,0,2,7,1,17,4054,4145,0
203,1,0,2,7,2,17,4055,4146,0
204,1,0,2,7,3,17,4056,4147,0
205,1,0,2,7,4,17,4057,4148,0
206,1,0,2,7,5,17,4058,4149,0
207,1,0,2,7,6,17,4059,4150,0
208,1,0,2,7,7,17,4060,4151,0
209,1,0,2,7,8,17,4061,4152,0
210,1,0,2,7,9,17,4062,4153,0
211,1,0,2,8,0,17,4063,4154,0
212,1,0,2,8,1,17,4064,4155,0
213,1,0,2,8,2,17,4065,4156,0
214,1,0,2,8,3,17,4066,4157,0
215,1,0,2,8,4,17,4067,4158,0
216,1,0,2,8,5,17,4068,4159,0
217,1,0,2,8,6,17,4069,4160,0
218,1,0,2,8,7,17,4070,4161,0
219,1,0,2,8,8,17,4071,4162,0
220,1,0,2,8,9,17,4072,4163,0
231,1,0,3,2,0,17,5855,5591,5621
232,1,0,3,2,1,17,5856,5592,5622
233,1,0,3,2,2,17,5857,5593,5623
234,1,0,3,2,3,17,5858,5594,5624
235,1,0,3,2,4,17,5859,5595,5625
236,1,0,3,2,5,17,5860,5596,5626
237,1,0,3,2,6,17,5861,5597,5627
238,1,0,3,2,7,17,5862,5598,5628
239,1,0,3,2,8,17,5863,5599,5629
240,1,0,3,2,9,17,5864,5600,5630
241,1,0,3,3,0,17,5855,5581,5611
242,1,0,3,3,1,17,5856,5582,5612
243,1,0,3,3,2,17,5857,6355,5613
244,1,0,3,3,3,17,5858,5584,5614
245,1,0,3,3,4,17,5859,5585,5615
246,1,0,3,3,5,17,5860,5586,5616
247,1,0,3,3,6,17,5861,5587,5617
248,1,0,3,3,7,17,5862,5588,5618
249,1,0,3,3,8,17,5863,5589,5619
250,1,0,3,3,9,17,5864,5590,5620
251,1,0,3,4,0,17,5865,5591,5621
252,1,0,3,4,1,17,5866,5592,5622
253,1,0,3,4,2,17,5867,5593,5623
254,1,0,3,4,3,17,5868,5594,5624
255,1,0,3,4,4,17,5869,5595,5625
256,1,0,3,4,5,17,5870,5596,5626
