ID,Pos[0],Pos[1],Pos[2],Rot[0],Rot[1],Rot[2],MapID
189266,2087,-300,500,0,0,0,603
189267,2531,-288,500,0,0,0,603
189268,2531,-288,-2000,0,0,0,603
189269,2087,-300,-2000,0,0,0,603
189270,2087,300,500,0,0,0,603
189271,2538,212,500,0,0,0,603
189272,2538,212,-2000,0,0,0,603
189273,2087,300,-2000,0,0,0,603
189697,298.347,6122.54,124,0,0,0,530
189698,236.631,6101.06,124,0,0,0,530
189699,221.561,6027.54,124,0,0,0,530
189700,227.218,5996.12,124,0,0,0,530
189701,292.199,5971.68,124,0,0,0,530
189702,352.901,6017.67,124,0,0,0,530
189703,350.715,6078.74,124,0,0,0,530
189704,5567.66,714.34,596.68,0,0,0,571
189705,5605.32,394.26,596.68,0,0,0,571
189706,5888.74,382.14,596.68,0,0,0,571
189707,6026.98,494.67,596.68,0,0,0,571
189708,6051.12,634.18,596.68,0,0,0,571
189709,5952.54,849.71,596.68,0,0,0,571
189710,5793.61,991.54,596.68,0,0,0,571
189711,5582.06,799.39,596.68,0,0,0,571
189712,5634.5,419,630.4,0,0,0,571
189713,5612.57,814,630.4,0,0,0,571
189714,5810.19,953.83,630.4,0,0,0,571
189715,5955.67,785.4,630.4,0,0,0,571
189716,6025.93,545.39,630.4,0,0,0,571
189717,5817.91,394.35,630.4,0,0,0,571
189718,5892.49,627.3,620,0,0,0,571
189719,5892.49,627.3,664,0,0,0,571
189720,5990.5,557.7,664,0,0,0,571
189721,5990.5,557.7,620,0,0,0,571
189722,5847,539,620,0,0,0,571
189723,5847,539,685,0,0,0,571
189724,5800,526,685,0,0,0,571
189725,5800,526,620,0,0,0,571
189726,5827.39,603.35,620.34,0,0,0,571
189727,5827.39,603.35,679.34,0,0,0,571
189728,5786.06,590.07,678.06,0,0,0,571
189729,5786.06,590.07,620.06,0,0,0,571
189730,5730.99,679.31,620.76,0,0,0,571
189731,5730.99,679.31,670.76,0,0,0,571
189732,5679.87,720.15,670.76,0,0,0,571
189733,5679.87,720.15,620.76,0,0,0,571
189734,5774.5,655.43,620.15,0,0,0,571
189735,5774.5,655.43,661.15,0,0,0,571
189736,5762.92,611.93,661.15,0,0,0,571
189737,5762.92,611.93,620.15,0,0,0,571
189738,5784.65,664.97,620.02,0,0,0,571
189739,5784.65,664.97,658.02,0,0,0,571
189740,5823,686.91,658.02,0,0,0,571
189741,5823,686.91,620.02,0,0,0,571
189742,5841.56,633.28,620.66,0,0,0,571
189743,5841.56,633.28,669.66,0,0,0,571
189744,5845.92,669.59,664.72,0,0,0,571
189745,5845.92,669.59,620.72,0,0,0,571
189746,5904.17,618.49,620.41,0,0,0,571
189747,5904.17,618.49,672.41,0,0,0,571
189748,5883.92,591.09,672.36,0,0,0,571
189749,5883.92,591.09,620.36,0,0,0,571
189750,5895.04,627.82,620.553,0,0,0,571
189751,5895.04,627.82,649.553,0,0,0,571
