ID,Name,BoneDataID,ParentAnimKitBoneSetID,AltAnimKitBoneSetID,AltBoneDataID
0,Full Body,-1,-1,-1,-1
1,Upper Body,4,0,4,266
2,Right Shoulder,3,1,-1,275
3,Left Shoulder,2,1,-1,267
4,Head,6,1,-1,283
5,Right Arm,1,2,-1,276
6,Left Arm,0,3,-1,268
7,Right Hand,8,5,-1,278
8,Left Hand,13,6,-1,271
9,Jaw,7,4,-1,284
10,Wheel1,27,0,-1,-1
11,Wheel2,28,0,-1,-1
12,Wheel3,29,0,-1,-1
13,Wheel4,30,0,-1,-1
14,Wheel5,31,0,-1,-1
15,Wheel6,32,0,-1,-1
16,Wheel7,33,0,-1,-1
17,Wheel8,34,0,-1,-1
18,Face Upper - IGC,193,4,-1,-1
19,Face Lower - IGC,228,4,-1,-1
20,Face Hair - IGC,191,4,-1,-1
21,Face Beard - IGC,192,4,-1,-1
22,Right Eye,286,4,-1,-1
23,Left Eye,285,4,-1,-1
24,Right Upper Eyelid,288,4,-1,-1
25,Left Upper Eyelid,287,4,-1,-1
26,Right Lower Eyelid,290,4,-1,-1
27,Left Lower Eyelid,289,4,-1,-1
28,Wing R,293,1,-1,293
29,Wing L,292,1,-1,292
