ID,CreatureDisplayInfoID,UiModelSceneID
1,4270,750
2,53890,752
3,10828,755
4,59730,756
5,62494,756
6,34160,757
7,55920,758
8,79303,759
9,78855,759
10,52738,761
11,69191,772
12,107858,776
13,86315,777
14,51161,777
15,52417,786
16,98608,791
17,20476,792
18,78242,791
19,77554,799
21,94292,811
22,39725,814
23,5241,821
24,2193,750
25,92677,836
26,94407,838
27,101442,839
28,366,840
29,107970,791
30,1538,821
31,41399,842
32,105961,843
33,109318,844
34,1103,845
35,19219,846
36,16872,846
37,2161,846
38,98973,846
39,4434,847
40,94405,838
41,1917,846
42,20309,848
43,33990,791
44,51262,814
45,108203,849
46,107966,791
47,96838,838
48,61308,851
49,44093,852
50,31094,853
51,100368,854
52,112923,855
53,108123,839
54,98818,757
55,98829,856
56,55924,758
57,116984,855
58,59369,756
59,102500,857
60,21492,858
61,78853,759
62,95783,761
63,97324,761
64,44108,859
65,96271,761
66,87918,761
67,65258,756
68,15657,852
69,15742,851
70,62708,761
71,90723,852
72,46983,852
73,96751,756
74,68296,758
75,47776,861
76,47777,861
77,15658,852
78,46982,852
79,61927,862
80,57557,863
81,62977,864
82,70446,846
83,70451,846
84,74812,836
85,92676,836
86,86225,836
87,74804,836
88,86226,836
89,86227,836
90,86224,836
91,92457,868
92,8841,868
93,36372,869
94,6909,870
95,68855,871
96,68854,871
97,68852,871
98,71920,871
99,73898,871
100,68856,871
101,90510,871
102,90511,871
103,33559,872
104,68291,872
105,90775,871
106,3886,873
107,70105,874
108,70229,875
109,70230,875
110,70231,875
111,70228,875
112,10662,876
113,10664,876
114,9476,876
115,105562,877
116,110398,877
117,105566,877
118,110392,877
119,110397,877
120,110396,877
121,105561,877
122,105564,877
123,110394,877
124,105563,877
125,110399,877
126,110395,877
127,108954,877
128,105560,877
129,105567,877
130,108953,877
131,104585,854
132,100373,854
133,104586,854
134,107720,878
135,111856,878
136,116738,878
137,111857,878
138,107721,878
139,107718,878
140,107722,878
141,107723,878
142,107716,878
143,110198,878
144,107724,878
145,104033,878
146,104035,878
147,104031,878
148,104034,878
149,98847,878
150,98846,878
151,103119,878
152,112871,879
153,112869,879
154,112872,879
155,112873,879
157,112864,879
158,112868,879
159,112865,879
160,114402,879
161,112870,879
162,112867,879
164,104703,880
165,104705,880
166,102065,880
167,100208,880
168,104702,880
169,102063,880
170,104704,880
171,102064,880
172,98493,881
173,98494,881
174,98495,881
175,93462,882
176,93463,882
177,93464,882
178,3210,883
179,3212,883
180,6757,883
181,10889,883
182,12589,883
183,63621,883
184,63623,883
185,64535,883
186,65235,883
187,76357,883
188,116737,883
189,63631,883
190,67550,772
191,67551,772
192,67552,772
193,68603,772
194,76366,772
195,82019,884
196,85524,884
197,85539,884
198,106702,884
200,45046,863
201,110309,922
202,58410,863
203,110310,922
204,110308,922
205,110314,922
206,105449,922
207,58469,863
208,110312,922
209,105448,922
210,105447,922
211,105440,922
212,105445,922
213,110313,922
214,105443,922
215,17781,863
216,105444,922
217,105442,922
218,45045,863
219,105441,922
220,105446,922
221,18615,863
222,105450,922
223,20917,863
224,109028,922
225,100231,922
226,109029,922
227,108615,922
228,108265,922
229,109112,922
230,106316,922
231,108094,922
232,106798,922
233,106800,922
234,18194,863
