ID,ItemID,SpellID,ItemType
1,181333,336126,1
2,182553,336126,1
3,182554,336126,1
4,184052,336126,1
5,184055,336126,1
6,184058,336126,1
7,181816,336135,1
8,184054,336135,1
9,184057,336135,1
10,184060,336135,1
11,181335,336128,1
12,182555,336128,1
13,184053,336128,1
14,184056,336128,1
15,184059,336128,1
16,185304,336126,1
17,185310,336128,1
18,185306,336135,1
19,185305,336128,1
20,185309,336126,1
21,185311,336135,1
22,186869,336126,1
23,186870,336128,1
24,186871,336135,1
25,186966,336126,1
26,186967,336128,1
27,186968,336135,1
28,188524,363117,1
29,188691,363121,1
30,192414,336135,1
31,192412,336126,1
32,192413,336128,1
33,192300,336135,1
34,192298,336126,1
35,192299,336128,1
36,192302,363121,1
37,192301,363117,1
38,201810,336126,1
39,201811,336135,1
40,201450,336126,1
41,201453,336135,1
42,205711,336126,1
43,205712,336135,1
44,205779,336126,1
45,205782,336135,1
46,203375,336126,1
47,204164,336126,1
50,5512,6262,3
51,209346,336126,1
52,209347,336135,1
53,209764,336126,1
54,209767,336135,1
55,208307,336126,1
56,216282,336126,1
57,216283,336135,1
58,216369,336126,1
59,216372,336135,1
60,211606,336126,1
61,218716,336126,1
62,218717,336135,1
63,218422,336126,1
64,218425,336135,1
65,219931,336126,1
66,229784,336135,1
67,229783,336126,1
68,229495,336135,1
69,229492,336126,1
74,224464,452930,3
