Description_lang,ID,DataTag
Tiny,1,65
Small,2,66
Medium,3,67
Large,4,68
Huge,5,69
Dwarven,6,74
Wildhammer Dwarf,7,75
Bronzebeard Dwarf (Ironforge),8,76
Dark Iron Dwarf,9,77
Earthen (Dornish),10,78
Human,11,79
Stormwind,12,80
Kul Tiran,13,81
Gilnean / Worgen,14,82
Elven,15,83
Blood Elf,16,84
Night Elf,17,85
Void Elf,18,86
Nightborne,19,87
Tauren,20,88
Draenei,21,89
Orcish,22,90
Goblin,23,91
Vulpera,24,92
Troll,25,93
Darkspear Troll,26,94
Zandalari Troll,27,95
Undead,28,96
Gnomish,29,97
Pandaren,30,98
Haranir,31,452
Classic,32,99
Burning Crusade,33,100
Wrath of the Lich King,34,101
Cataclysm,35,102
Mists of Pandaria,36,103
Warlords of Draenor,37,104
Legion,38,105
Battle for Azeroth,39,106
Shadowlands,40,107
Dragonflight,41,108
The War Within,42,109
Midnight,43,110
WoW Anniversaries,44,111
Brewfest,45,112
Children's Week,46,113
Darkmoon Faire,47,114
Day of the Dead,48,115
Fireworks Spectacular,49,116
Hallow's End,50,117
Harvest Festival,51,118
Love is in the Air,52,119
Lunar Festival,53,120
Midsummer Fire Festival,54,121
Noblegarden,55,122
Pilgrim's Bounty,56,123
Pirate's Day,57,124
Feast of Winter Veil,58,125
Other,59,126
Bold,60,141
Casual,61,142
Cozy,62,143
Cute,63,144
Elegant,64,145
Fae,65,146
Fel,66,147
Lavish,67,148
Light,68,149
Mechanical,69,150
Nature,70,151
Pirate,71,152
Romantic,72,153
Simple,73,154
Spooky,74,155
Void,75,156
Vrykul,76,157
Whimsical,77,158
Alliance,78,159
Horde,79,160
Spring,80,161
Summer,81,162
Fall,82,163
Winter,83,164
path pathing,84,202
rug rugs,85,201
cup cups mug mugs tankard stein,86,196
cutlery silverware utensil fork spoon knife,87,198
drink drinks beverage beverages,88,195
food meal feast snack,89,194
kitchen,90,199
plate dish dishes,91,197
book books tome tomes,92,190
vases vase,93,189
art artwork painting canvas,94,192
water pond,95,236
chair chairs,96,177
couch couches sofa sofas,97,178
cabinet cabinets,98,185
shelf shelves shelving,99,184
counter counters countertop countertops,100,182
desk desks,101,181
table tables,102,180
mannequin mannequins,103,224
cook cooking oven stove range grill,104,222
craft crafting crafted profession,105,221
column columns pillar pillars post,106,208
fence fences fencing,107,209
partition partitions wall walls,108,207
Rugged,109,70
Folk,110,71
Opulent,111,72
Holiday/Event,112,73
Magical,113,458
Dracthyr,114,484
