ID,DifficultyID,SpellVisualID,Probability,Flags2,Priority,SpellIconFileID,ActiveIconFileID,ViewerUnitConditionID,ViewerPlayerConditionID,CasterUnitConditionID,CasterPlayerConditionID,SpellID
6,0,266,1,0,0,0,0,0,0,0,0,6409
7,0,51,1,0,0,0,0,0,0,0,0,6410
8,0,19,1,0,0,0,0,0,0,0,0,6411
9,0,3881,1,0,0,0,0,0,0,0,0,6412
10,0,3881,1,0,0,0,0,0,0,0,0,6413
11,0,3881,1,0,0,0,0,0,0,0,0,6414
12,0,3881,1,0,0,0,0,0,0,0,0,6415
13,0,3881,1,0,0,0,0,0,0,0,0,6416
14,0,3881,1,0,0,0,0,0,0,0,0,6417
15,0,3881,1,0,0,0,0,0,0,0,0,6418
16,0,3881,1,0,0,0,0,0,0,0,0,6419
17,0,309,1,0,0,0,0,0,0,0,0,6421
18,0,310,1,0,0,0,0,0,0,0,0,6422
19,0,308,1,0,0,0,0,0,0,0,0,6431
20,0,332,1,0,0,0,0,0,0,0,0,6432
21,0,44,1,0,0,0,0,0,0,0,0,6433
22,0,254,1,0,0,0,0,0,0,0,0,6434
23,0,205,1,0,0,0,0,0,0,0,0,6435
29,0,2641,1,0,0,0,0,0,0,0,0,6458
30,0,107,1,0,0,0,0,0,0,0,0,6460
31,0,205,1,0,0,0,0,0,0,0,0,6465
32,0,282,1,0,0,0,0,0,0,0,0,6466
33,0,47,1,0,0,0,0,0,0,0,0,6468
34,0,320,1,0,0,0,0,0,0,0,0,6469
35,0,39734,1,0,0,0,0,0,0,0,0,6474
37,0,180,1,0,0,0,0,0,0,0,0,6477
38,0,327,1,0,0,0,0,0,0,0,125948,6478
39,0,53,1,0,0,0,0,0,0,0,0,6483
40,0,53,1,0,0,0,0,0,0,0,0,6484
41,0,74,1,0,0,0,0,0,0,0,0,6487
42,0,74,1,0,0,0,0,0,0,0,0,6490
43,0,164,1,0,0,0,0,0,0,0,0,6497
44,0,3881,1,0,0,0,0,0,0,0,0,6499
45,0,3881,1,0,0,0,0,0,0,0,0,6500
