ID,QuestLineID,QuestID,OrderIndex,Flags,Field_11_1_0_58221_004
48224,5963,91564,0,0,0
49380,6026,92742,0,0,0
49381,6026,92744,1,0,0
49382,6026,92745,2,0,0
49383,6026,92747,3,0,0
49384,6026,92748,4,0,0
49385,6026,92749,5,0,0
49386,6026,92750,6,0,0
49387,6026,92751,7,0,0
49388,6026,92752,8,0,0
49389,6026,92753,9,0,0
49390,6026,92819,10,0,0
51952,6293,96912,0,0,0
51953,6293,96913,1,0,0
51954,6293,96914,2,0,0
51955,6293,96915,3,0,0
51956,6293,96916,4,0,0
51957,6293,96917,5,0,0
51958,6293,96918,6,0,0
51959,6293,96919,7,0,0
51960,6293,96920,8,0,0
51961,6293,96921,9,0,0
