ID,PlayerConditionID,CreatureDisplayInfoID,PriorityCategory,BattlePetSpeciesID
1,54774,82264,3,2136
2,54773,82267,2,2136
4,54772,82269,1,2136
5,54771,82270,0,2136
106,84026,98085,0,2967
107,84027,98086,0,2967
108,84029,98083,0,2967
109,84030,98087,0,2967
110,84031,98088,0,2967
111,84032,97437,0,2967
112,84033,98089,0,2967
113,84034,98090,0,2967
114,84035,98091,0,2967
115,84083,98118,0,2967
116,84037,93814,0,2967
117,84038,98092,0,2967
118,84039,98093,0,2967
119,84040,98094,0,2967
120,84041,98095,0,2967
121,84054,98115,0,2967
122,84056,98109,0,2967
123,84057,98112,0,2967
124,84058,98103,0,2967
125,84059,98106,0,2967
126,84060,98114,0,2967
127,84061,98108,0,2967
128,84062,98111,0,2967
129,84063,98102,0,2967
130,84064,98105,0,2967
131,84065,98113,0,2967
132,84066,98107,0,2967
133,84067,98110,0,2967
134,84068,98101,0,2967
135,84069,98104,0,2967
136,84070,98126,0,2967
137,84071,98129,0,2967
138,84072,98117,0,2967
139,84073,98120,0,2967
140,84074,98123,0,2967
141,84075,98125,0,2967
142,84076,98128,0,2967
143,84077,98116,0,2967
144,84078,98119,0,2967
145,84079,98122,0,2967
146,84080,98124,0,2967
147,84081,98127,0,2967
148,84082,98130,0,2967
149,84084,98121,0,2967
150,84637,98141,0,2967
151,84638,98144,0,2967
152,84639,98132,0,2967
153,84640,98135,0,2967
154,84641,98138,0,2967
155,84642,98140,0,2967
156,84643,98143,0,2967
157,84644,98131,0,2967
158,84645,98134,0,2967
159,84646,98137,0,2967
160,84647,98139,0,2967
161,84650,98133,0,2967
162,84648,98142,0,2967
163,84649,98145,0,2967
164,84651,98136,0,2967
165,84036,97440,0,2967
166,84657,98248,0,2967
167,84658,98249,0,2967
168,84659,98247,0,2967
169,84660,98246,0,2967
170,84661,98245,0,2967
171,84652,98250,0,2967
172,84653,98251,0,2967
173,84654,98252,0,2967
174,84655,98253,0,2967
175,84656,98254,0,2967
176,84667,98255,0,2967
177,84668,98256,0,2967
178,84669,98257,0,2967
179,84670,98258,0,2967
180,84671,98259,0,2967
181,84662,98260,0,2967
182,84663,98261,0,2967
183,84664,98262,0,2967
184,84665,98263,0,2967
185,84666,98264,0,2967
186,84677,98265,0,2967
187,84678,98266,0,2967
188,84679,98267,0,2967
189,84680,98268,0,2967
190,84681,98269,0,2967
191,84672,98270,0,2967
192,84673,98271,0,2967
193,84674,98272,0,2967
194,84675,98273,0,2967
195,84676,98274,0,2967
196,84687,98275,0,2967
197,84688,98276,0,2967
198,84689,98277,0,2967
199,84690,98278,0,2967
200,84691,98279,0,2967
201,84682,98280,0,2967
202,84683,98281,0,2967
203,84684,98282,0,2967
204,84685,98283,0,2967
205,84686,98284,0,2967
206,84697,98285,0,2967
207,84698,98286,0,2967
208,84699,98287,0,2967
209,84700,98288,0,2967
210,84701,98289,0,2967
211,84692,98290,0,2967
212,84693,98291,0,2967
213,84694,98292,0,2967
214,84695,98293,0,2967
215,84696,98294,0,2967
216,84707,98295,0,2967
217,84708,98296,0,2967
218,84709,98297,0,2967
219,84710,98298,0,2967
220,84711,98299,0,2967
221,84702,98300,0,2967
222,84703,98301,0,2967
223,84704,98302,0,2967
224,84705,98303,0,2967
225,84706,98304,0,2967
226,84717,98305,0,2967
227,84718,98306,0,2967
228,84719,98307,0,2967
