ID,Level,ClassID,ContentSetID,BaseMana,Field_1_60_1_69876_005,Field_1_60_1_69876_006,CritPerAgility,SpellCritPerIntellect
1,1,1,0,0,10,1,0.0025,0
2,2,1,0,0,10,2,0.002381,0
3,3,1,0,0,10,3,0.002381,0
4,4,1,0,0,10,4,0.002273,0
5,5,1,0,0,10,5,0.002174,0
6,6,1,0,0,10,6,0.002083,0
7,7,1,0,0,10,7,0.002083,0
8,8,1,0,0,10,9,0.002,0
9,9,1,0,0,10,11,0.001923,0
10,10,1,0,0,10,13,0.001923,0
11,11,1,0,0,10,18,0.001852,0
12,12,1,0,0,10,24,0.001786,0
13,13,1,0,0,10,29,0.001667,0
14,14,1,0,0,10,35,0.001613,0
15,15,1,0,0,10,40,0.001563,0
16,16,1,0,0,10,46,0.001515,0
17,17,1,0,0,10,51,0.001471,0
18,18,1,0,0,10,57,0.001389,0
19,19,1,0,0,10,62,0.001351,0
20,20,1,0,0,10,68,0.001282,0
21,21,1,0,0,10,73,0.001282,0
22,22,1,0,0,10,79,0.00125,0
23,23,1,0,0,10,84,0.00119,0
24,24,1,0,0,10,90,0.001163,0
25,25,1,0,0,10,95,0.001111,0
26,26,1,0,0,10,101,0.001087,0
27,27,1,0,0,10,106,0.001064,0
28,28,1,0,0,10,112,0.00102,0
29,29,1,0,0,10,117,0.001,0
30,30,1,0,0,10,123,0.000962,0
31,31,1,0,0,10,128,0.000943,0
32,32,1,0,0,10,134,0.000926,0
33,33,1,0,0,10,139,0.000893,0
34,34,1,0,0,10,145,0.000877,0
35,35,1,0,0,10,150,0.000847,0
36,36,1,0,0,10,156,0.000833,0
37,37,1,0,0,10,161,0.00082,0
38,38,1,0,0,10,167,0.000794,0
39,39,1,0,0,10,172,0.000781,0
40,40,1,0,0,10,178,0.000758,0
41,41,1,0,0,10,183,0.000735,0
42,42,1,0,0,10,188,0.000725,0
43,43,1,0,0,10,194,0.000704,0
44,44,1,0,0,10,199,0.000694,0
45,45,1,0,0,10,205,0.000676,0
46,46,1,0,0,10,210,0.000667,0
47,47,1,0,0,10,216,0.000649,0
48,48,1,0,0,10,221,0.000633,0
49,49,1,0,0,10,227,0.000625,0
50,50,1,0,0,10,232,0.00061,0
51,51,1,0,0,10,238,0.000595,0
52,52,1,0,0,10,243,0.000588,0
53,53,1,0,0,10,249,0.000575,0
54,54,1,0,0,10,254,0.000562,0
55,55,1,0,0,10,260,0.000549,0
56,56,1,0,0,10,265,0.000543,0
57,57,1,0,0,10,271,0.000532,0
58,58,1,0,0,10,276,0.000521,0
