ID,GarrFollowerTypeID,GarrMissionTextureID,GarrAbilityID,Radius,DurationSecs
1,2,28,47,86,300
13,2,27,48,66,10
15,2,29,317,120,432000
16,2,30,318,120,432000
17,2,33,318,120,432000
18,2,34,317,120,432000
19,2,31,319,120,432000
20,2,38,319,120,432000
21,2,40,321,120,432000
22,2,39,321,120,432000
23,2,36,322,120,432000
24,2,37,322,120,432000
25,2,35,322,120,432000
26,2,32,322,120,432000
27,2,42,320,120,432000
28,2,41,320,120,432000
29,4,45,393,120,28800
30,4,43,393,120,28800
31,4,48,393,120,28800
32,4,44,393,120,28800
33,4,47,393,120,28800
34,4,46,393,120,28800
35,4,46,393,120,28800
