ID,Start,End,Flags,PlayerConditionID,Field_8_1_5_29281_005
4,26,8,0,924,30
5,6,7,0,924,30
6,10,16,0,924,30
7,11,17,0,924,30
8,12,20,0,924,30
9,13,21,0,924,30
10,14,22,0,924,30
11,18,19,0,924,30
12,23,19,0,924,30
13,15,24,0,924,30
14,25,19,0,924,30
15,36,8,0,924,150
18,30,31,0,924,30
19,29,8,0,924,30
20,27,28,0,924,30
21,37,38,0,924,30
22,39,40,0,49081,30
23,41,8,0,924,30
24,9,8,2,924,0
25,44,33,1,924,30
26,42,43,0,924,60
27,44,33,1,924,30
28,45,46,1,924,30
29,47,8,0,924,400
30,48,49,0,924,30
31,50,8,0,924,30
32,51,52,0,924,30
33,32,33,1,924,30
34,53,8,0,924,30
35,54,8,0,924,30
36,55,56,1,924,150
37,57,58,1,924,0
38,59,60,3,924,30
39,61,8,0,924,30
40,62,31,0,924,30
41,63,46,0,924,30
42,64,165,0,924,300
43,66,67,2,924,60
44,68,69,2,924,60
45,70,71,2,924,60
46,72,73,2,49081,60
47,74,75,2,49081,60
48,76,77,2,49081,60
49,9,78,3,924,0
50,79,80,1,924,0
51,82,81,0,924,30
52,83,81,0,924,30
53,84,81,0,924,30
54,90,91,0,49081,10000
55,92,89,0,69535,30
56,85,86,0,69533,30
57,85,86,0,69534,30
58,85,87,0,69094,30
59,85,87,0,30949,30
60,280,88,0,87481,30
61,93,96,0,49081,30
62,94,96,0,49081,30
63,95,96,0,49081,30
64,97,55,3,924,0
65,163,55,1,924,150
66,8,42,0,924,5
67,8,48,0,924,5
68,8,51,0,924,5
69,8,27,0,924,5
70,8,6,0,924,5
71,8,37,0,924,5
72,8,30,0,924,5
73,98,38,1,924,30
74,99,17,0,923,30
75,100,101,0,923,30
76,102,103,0,923,30
77,104,101,0,923,30
78,105,106,0,923,30
79,107,108,0,923,30
80,109,16,0,923,30
81,110,111,0,923,30
82,112,113,0,923,30
83,114,108,0,923,30
84,115,116,0,923,30
85,117,101,0,923,30
86,118,119,0,923,30
87,120,38,0,923,30
88,121,101,0,923,30
89,122,123,0,923,60
90,124,125,2,924,30
91,126,101,0,923,400
92,128,127,2,923,30
93,129,131,0,923,30
94,130,101,0,923,30
95,132,133,0,923,30
96,134,116,0,923,30
97,135,101,0,923,30
98,136,137,0,923,30
99,138,195,0,923,30
100,140,141,0,923,30
101,142,101,0,923,30
102,143,101,0,923,30
103,144,145,0,923,30
104,146,101,0,923,30
105,147,119,0,923,30
106,148,149,2,923,60
107,150,151,2,923,60
108,152,101,0,923,30
109,351,352,0,113979,300
110,154,43,0,924,30
111,156,155,0,923,30
112,157,155,0,923,30
113,158,155,0,923,30
114,85,160,0,30948,30
115,85,160,0,69093,30
116,85,161,0,70244,30
117,85,161,0,70245,30
118,166,167,3,924,25
119,166,162,0,924,0
120,167,163,0,924,0
121,46,163,2,924,0
122,81,52,2,0,0
123,65,164,0,0,300
124,81,165,2,0,0
125,139,133,0,923,30
126,169,168,0,924,30
127,168,170,0,924,30
128,169,171,0,924,30
129,174,133,0,923,30
130,173,175,0,923,30
131,80,60,0,924,10
132,60,167,0,924,30
133,58,59,0,924,30
134,59,166,0,924,30
135,179,177,0,923,30
136,176,178,0,923,30
137,180,101,0,923,30
138,186,189,0,923,30
139,188,190,0,923,30
140,187,191,0,923,30
141,184,194,0,924,30
142,185,192,0,924,30
143,183,193,0,924,30
144,196,197,0,924,30
145,198,199,0,924,30
147,38,89,3,0,350
148,43,202,2,0,0
149,161,202,2,0,0
150,160,202,2,0,0
151,86,202,2,0,0
152,123,202,2,0,0
153,204,101,0,923,30
154,203,207,0,923,30
155,205,207,0,924,30
156,208,8,0,924,30
157,209,211,0,924,30
158,210,8,0,924,30
159,212,133,1,923,30
160,213,101,0,923,30
161,215,216,0,923,30
162,214,217,0,923,500
165,219,220,0,924,30
166,218,221,0,923,30
167,8,219,0,924,5
168,222,246,0,81254,40
169,223,247,0,81255,40
170,224,248,0,81256,40
171,225,249,0,81257,40
172,226,250,0,81258,40
173,227,260,0,81259,40
174,228,261,0,81260,40
175,229,262,0,81261,40
176,230,263,0,81262,40
177,231,264,0,81263,40
178,232,251,0,81264,40
179,233,265,0,81265,40
180,234,252,0,81266,40
181,235,253,0,81267,80
182,236,266,0,81268,80
183,237,254,0,81269,40
184,238,255,0,81270,40
185,239,267,0,81271,40
186,240,256,0,81272,40
187,241,268,0,81273,40
188,242,257,0,81275,40
189,243,258,0,81276,40
190,244,259,0,81277,40
191,245,269,0,81278,40
192,270,271,0,93068,0
193,272,273,0,80945,50
194,273,274,0,80945,0
195,273,275,0,80945,0
196,276,279,0,87423,0
197,277,278,0,83810,0
198,281,8,0,87609,30
200,284,101,0,87617,30
201,287,288,0,88449,40
202,273,290,0,80945,0
203,273,289,0,80945,0
204,291,292,1,90924,0
205,293,294,0,90925,50
206,295,296,0,90925,30
207,297,298,0,0,100
208,299,300,0,0,30
209,301,298,0,0,0
210,304,216,0,923,30
211,302,101,0,923,30
212,303,217,0,923,500
213,305,306,0,924,600
214,308,307,0,923,600
215,309,310,0,103380,300
216,312,311,0,103379,300
217,8,312,0,924,5
218,314,8,0,924,10
219,313,314,0,103379,30
220,315,316,0,924,600
221,319,318,0,103380,300
222,321,320,0,923,600
223,322,323,0,111518,50
224,324,325,0,111518,50
225,326,327,0,109942,40
226,328,329,0,111521,50
227,330,331,0,111520,50
228,332,333,0,111520,50
229,334,335,0,111521,50
230,336,337,0,41396,300
231,339,338,0,41396,300
232,342,343,0,41395,300
233,340,341,0,41395,300
234,344,347,0,113807,50
235,346,345,0,113806,50
238,351,352,0,113979,300
239,353,352,0,113979,300
240,354,352,0,113979,300
241,355,101,0,923,600
242,356,216,0,923,600
243,357,217,0,923,600
245,360,361,0,116632,10
246,360,362,0,116633,10
247,363,361,0,116632,10
248,364,361,0,116632,10
249,365,361,0,116632,10
250,367,362,0,116633,10
251,368,362,0,116633,10
252,366,362,0,116633,10
253,369,399,0,122784,30
254,370,371,0,924,30
255,372,373,0,924,30
256,374,375,0,924,300
257,376,377,0,924,300
258,378,379,0,4383,300
259,380,381,0,4383,300
260,382,383,0,924,300
261,384,385,0,924,300
262,382,386,0,924,300
263,387,388,0,924,300
264,389,391,0,120899,50
265,390,394,0,120900,50
266,392,393,0,120899,50
267,395,396,0,120900,50
268,397,398,0,121677,40
269,400,401,0,0,100
270,402,403,0,0,100
271,404,405,2,0,30
272,406,407,2,0,30
273,409,408,2,0,30
276,414,415,0,0,100
277,416,417,0,0,100
278,418,419,0,0,100
279,420,421,0,0,100
280,422,423,0,0,100
281,425,424,0,0,100
285,432,433,3,0,0
286,432,434,3,0,100
287,435,436,0,125509,30
288,437,438,0,125509,30
289,403,439,0,0,0
290,440,441,0,0,100
291,442,443,0,0,100
292,444,445,0,118328,30
293,447,446,0,118328,30
294,401,448,0,0,0
295,449,450,0,127635,30
297,8,395,0,924,5
298,394,8,0,924,10
