ID,TurnLingering,PitchLingering,MouseLingering,EndOpacity,ArcSpeed,ArcRepeat,ArcWidth,ImpactTexRadius,ArcTextureFileID,ImpactTextureFileID,ImpactRadius[0],ImpactRadius[1],ImpactModelFileID[0],ImpactModelFileID[1]
996,1,2,3,0.67,4,0.2,6,7,237680,0,7,0,237714,237715
997,1.5,1.5,1,1,0.5,0.5,1.6,1,307593,307592,10,1,237715,0
998,1.5,1.5,1,1,0.5,0.5,1.6,8,0,186224,8,0,0,0
999,1.5,1.5,1,1,0.5,0.5,1.6,1,307593,0,1,1,237714,0
1000,1.5,1.5,1,0.5,0.5,0.5,0.75,1,237680,0,4,15,237715,0
1001,1.5,1.5,1,1,3,0.5,1.6,10,307593,307592,10,1,237715,0
1002,1.5,1.5,1,1,2,0.333333,1.6,10,307593,307592,10,1,237715,0
1003,1.5,1.5,1,1,0.5,0.5,1.6,1,307593,0,0.5,0.5,0,237715
1004,1.5,1.5,1,1,0.5,0.5,1.6,10,165671,166706,10,10,0,0
1005,1.5,1.5,1,0.5,2,0.333333,1.6,8,307593,307592,8,0,237715,0
1006,1.5,1.5,1,1,2,0.5,1.6,10,307593,307592,1,1,0,237715
1007,1.5,1.5,1,0.5,0.5,0.5,1.6,8,0,186224,8,0,0,0
1008,1.5,1.5,1,1,0.5,0.5,1.6,10,307593,307592,10,10,237715,0
1009,1.5,1.5,1,1,5,0.5,1,5,307593,166861,5,0,237715,0
1010,1.5,1.5,1,1,3,0.5,1.6,12,307593,307592,12,0,237715,0
1011,1.5,1.5,1,1,2,0.5,1.6,10,307593,307592,10,1,237715,0
1012,1.5,1.5,1,1,0.5,0.5,1,10,307593,307592,0.5,2,237714,0
1013,1.5,1.5,1,1,3,0.5,1.6,6,307593,307592,6,0,237715,0
1014,1.5,1.5,0.25,1,0.5,1,0.6,5,307593,0,5,0,237715,0
1015,1.5,1.5,1,1,3,0.5,1.6,15,307593,0,15,10,237715,0
1016,1.5,1.5,1,1,3,0.5,1.6,15,0,307592,15,10,237715,0
1017,1.5,1.5,1,1,0.5,0.5,1.6,6,0,0,8,1,237715,0
1018,1.5,1.5,1,0.01,0,0,1,0,186186,0,0,0,0,0
1019,1.5,1.5,1,0.01,3,0.25,1,0,307593,0,5,0,237715,0
1020,1.5,1.5,1,1,2,0.5,1.6,15,307593,307592,10,1,237715,0
1021,1.5,1.5,1,1,0.5,0.5,1.6,5,307593,307592,1,5,0,237715
1022,1.5,1.5,1,1,0.5,0.5,1.6,1,0,0,1,1,0,237715
1023,1.5,1.5,1,1,3,0.5,1.6,10,0,166706,4,1,0,0
1024,99,99,99,1,2,2,0.3,1,307593,0,2,1,237715,0
1025,1.5,1.5,1,1,0.5,0.5,1.6,1,307593,307592,1,1,237714,0
1026,1,1,99,1,2,2,0.3,0,307593,307592,2,1,237715,0
1027,1.5,1.5,1,1,0.5,0.5,0.1,1,166686,0,1,1,0,0
1028,1.5,1.5,1,1,2,0.5,1.6,10,307593,307592,10,10,237715,0
1029,1.5,1.5,1,0.5,2,0.5,1.6,10,307593,307592,10,1,237715,0
1030,1.5,1.5,1,1,0.5,0.5,1.6,10,307593,307592,10,10,237714,237715
1031,1.5,1.5,1,1,0.5,0.5,1,10,237680,0,0.5,2,237714,237715
1032,1.5,1.5,1,1,3,0.5,1.6,5,307593,307592,10,10,237715,0
1033,1.5,1.5,1,1,0.5,0.5,1.6,1,237680,0,30,20,237715,0
1034,1.5,1.5,1,1,0.5,0.5,1.6,1,307593,307592,30,20,237715,0
1035,1.5,1.5,1,1,3,0.5,1.6,15,307593,307592,15,1,237715,0
1036,1.5,1.5,1,1,3,0.5,1.6,12,307593,307592,12,1,237715,0
1037,1.5,1.5,1,1,0.5,0.5,1.6,1,307593,307592,15,20,237715,0
