Name_lang,ID,MapID,Flags,Field_12_0_0_63854_004,ExpansionLevel,RequiredWorldStateID,CriteriaCount[0],CriteriaCount[1],CriteriaCount[2],CriteriaCount[3],CriteriaCount[4],FirstRewardQuestID[0],FirstRewardQuestID[1],FirstRewardQuestID[2],FirstRewardQuestID[3],FirstRewardQuestID[4],FirstRewardQuestID[5],RewardQuestID[0],RewardQuestID[1],RewardQuestID[2],RewardQuestID[3],RewardQuestID[4],RewardQuestID[5]
Temple of the Jade Serpent,2,960,2,3,4,21775,1800,1440,1080,0,0,31498,31499,31500,31501,0,0,31498,31499,31500,31501,0,0
Stormstout Brewery,56,961,2,3,0,21783,2700,1260,720,0,0,31620,31621,31622,31623,0,0,31620,31621,31622,31623,0,0
Gate of the Setting Sun,57,962,2,3,0,21776,2700,1320,780,0,0,31624,31631,31638,31645,0,0,31624,31631,31638,31645,0,0
Shado-Pan Monastery,58,959,2,3,0,21781,3600,2100,1260,0,0,31625,31632,31639,31646,0,0,31625,31632,31639,31646,0,0
Siege of Niuzao Temple,59,1011,2,3,0,21782,3000,1800,1050,0,0,31626,31633,31640,31647,0,0,31626,31633,31640,31647,0,0
Mogu'shan Palace,60,994,2,3,0,21777,2700,1440,720,0,0,31627,31634,31641,31648,0,0,31627,31634,31641,31648,0,0
Scholomance,76,1007,2,3,0,21780,3300,1980,1140,0,0,31628,31635,31642,31649,0,0,31628,31635,31642,31649,0,0
Scarlet Halls,77,1001,2,3,0,21778,2700,1320,780,0,0,31630,31636,31643,31650,0,0,31630,31636,31643,31650,0,0
Scarlet Monastery,78,1004,2,3,0,21779,2700,1320,780,0,0,31629,31637,31644,31651,0,0,31629,31637,31644,31651,0,0
Skyreach,161,1209,2,3,0,21789,3400,1700,1020,0,0,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Bloodmaul Slag Mines,163,1175,2,3,5,21785,1800,1440,1080,0,0,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Auchindoun,164,1182,2,3,0,21784,3300,1920,1140,0,0,37502,34539,34540,34541,0,0,34527,34539,34540,34541,0,0
Shadowmoon Burial Grounds,165,1176,2,3,5,21788,1980,1584,1188,0,0,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
